Umpire,Abbr,Games,Called Pitches,Called Correctly,Called Wrong,Accuracy,Min. Accuracy,Max. Accuracy,Avg. Consistency,Avg. Favor,Avg. Run Impact,Avg. Leverage
Jansen Visconti,jansen_visconti,30,4549,4310,239,94.7,90.9,98.8,96.7,0.35,1.15,0.14
Jeff Nelson,jeff_nelson,29,4493,4197,296,93.4,89.8,97.7,96,0.5,1.35,0.13
Jeremie Rehak,jeremie_rehak,30,4417,4190,227,94.9,88.7,97.8,96.4,0.44,1.18,0.16
Jeremy Riggs,jeremy_riggs,31,4607,4350,257,94.4,89.7,97.4,97.5,0.38,1.09,0.13
Jerry Layne,jerry_layne,5,804,746,58,92.8,91.1,94.8,94.8,0.74,1.56,0.13
Jerry Meals,jerry_meals,31,5014,4663,351,93,89.8,96.2,95.5,0.47,1.67,0.15
Jim Reynolds,jim_reynolds,21,3339,3142,197,94.1,92.1,97.9,96,0.6,1.37,0.15
Jim Wolf,jim_wolf,30,4452,4204,248,94.4,91.4,98.2,97,0.45,1.27,0.15
Joe West,joe_west,32,4940,4554,386,92.2,86.8,97.6,95.7,0.57,1.62,0.13
John Bacon,john_bacon,10,1627,1515,112,93.1,90.3,95.1,95.1,0.46,1.54,0.14
John Libka,john_libka,32,5000,4778,222,95.6,90.8,98.5,97.4,0.41,0.94,0.14
John Tumpane,john_tumpane,20,2962,2791,171,94.2,89.9,96.9,96.3,0.43,1.13,0.13
Jordan Baker,jordan_baker,29,4459,4190,269,94,87.9,98,96.7,0.31,1.09,0.12
Jose Navas,jose_navas,16,2563,2391,172,93.3,90.2,96.6,95.2,0.65,1.6,0.15
Junior Valentine,junior_valentine,14,2266,2145,121,94.7,91.4,97.1,96.3,0.53,1.07,0.12
Kerwin Danley,kerwin_danley,14,2238,2065,173,92.3,87.2,95.1,93.7,0.63,1.62,0.13
Kyle McCrady,kyle_mccrady,2,339,317,22,93.5,92,94.9,95.7,0.13,1.21,0.11
Lance Barksdale,lance_barksdale,29,4549,4282,267,94.1,89.3,99.4,95.6,0.38,1.31,0.14
Lance Barrett,lance_barrett,30,4497,4210,287,93.6,85.7,97.6,96.2,0.48,1.44,0.15
Larry Vanover,larry_vanover,27,4025,3725,300,92.5,87.4,97.2,95.4,0.45,1.54,0.14
Laz Diaz,laz_diaz,28,4357,4002,355,91.9,87.6,96.8,95.1,0.47,1.69,0.13
Lew Williams,lew_williams,1,139,133,6,95.7,95.7,95.7,95.4,0.71,1.3,0.22
Malachi Moore,malachi_moore,8,1260,1168,92,92.7,88.3,95.2,95.7,0.37,1.49,0.13
Manny Gonzalez,manny_gonzalez,25,3836,3617,219,94.3,90.5,97.3,95.3,0.4,1.18,0.13
Mark Carlson,mark_carlson,28,4253,3966,287,93.3,89.9,96.9,95.5,0.28,1.27,0.12
Mark Ripperger,mark_ripperger,25,3925,3691,234,94,88.7,97,95.9,0.47,1.32,0.14
Mark Wegner,mark_wegner,18,2804,2644,160,94.3,91.2,97.2,95.4,0.43,1.16,0.13
Marty Foster,marty_foster,7,1141,1058,83,92.7,90.4,96.6,95.9,0.5,1.69,0.14
Marvin Hudson,marvin_hudson,31,4677,4361,316,93.2,89.6,97.6,95.8,0.49,1.5,0.15
Mike Estabrook,mike_estabrook,32,4830,4528,302,93.7,90.2,96.6,95.9,0.41,1.21,0.13
Mike Muchlinski,mike_muchlinski,32,4840,4539,301,93.8,88.3,96.7,96.4,0.38,1.4,0.15
Nate Tomlinson,nate_tomlinson,1,150,138,12,92,92,92,93.7,0.05,1.52,0.13
Nestor Ceja,nestor_ceja,26,3982,3726,256,93.6,89,97.9,96.3,0.53,1.46,0.15
Nic Lentz,nic_lentz,27,3951,3748,203,94.9,90.4,97.8,97.6,0.3,0.97,0.13
Nick Mahrley,nick_mahrley,31,4552,4289,263,94.2,91,97.6,96.8,0.37,1.13,0.13
Pat Hoberg,pat_hoberg,31,4625,4397,228,95.1,88.3,98.8,97.9,0.31,0.98,0.13
Paul Clemons,paul_clemons,8,1244,1170,74,94.1,91.7,97.1,93.8,0.31,1.09,0.12
Phil Cuzzi,phil_cuzzi,28,4241,3967,274,93.5,88.1,97.4,95.6,0.5,1.5,0.15
Quinn Wolcott,quinn_wolcott,25,3603,3390,213,94.1,89.6,97,96.4,0.34,1.09,0.13
Ramon De Jesus,ramon_de_jesus,28,4244,3968,276,93.5,89.8,97.4,94.9,0.47,1.37,0.14
Rob Drake,rob_drake,29,4206,3874,332,92.1,86.5,96.5,96.1,0.5,1.56,0.14
Roberto Ortiz,roberto_ortiz,32,4568,4256,312,93.2,88.7,99.2,95.6,0.49,1.3,0.13
Ron Kulpa,ron_kulpa,29,4331,3982,349,91.9,84.8,97.3,95.5,0.4,1.66,0.14
Ryan Additon,ryan_additon,34,5258,4935,323,93.9,88.4,96.9,97.1,0.43,1.22,0.13
Ryan Blakney,ryan_blakney,31,4707,4456,251,94.7,90.8,98.4,96.6,0.4,1.17,0.14
Ryan Wills,ryan_wills,22,3477,3269,208,94,87.4,97.1,95.2,0.31,1.26,0.13
Sam Holbrook,sam_holbrook,30,4481,4172,309,93.1,89.4,96.9,94.9,0.29,1.3,0.13
Scott Barry,scott_barry,29,4445,4135,310,93,89.4,95.6,95.5,0.43,1.51,0.14
Sean Barber,sean_barber,31,4796,4469,327,93.2,88.2,97.7,96.5,0.43,1.57,0.15
Shane Livensparger,shane_livensparger,21,3322,3118,204,93.9,91.1,98.7,96.6,0.26,1.2,0.12
Stu Scheurwater,stu_scheurwater,28,4160,3877,283,93.2,90.2,95.9,95.3,0.45,1.37,0.14
Ted Barrett,ted_barrett,31,4812,4453,359,92.5,87.4,96.9,94.7,0.43,1.49,0.13
Tim Timmons,tim_timmons,30,4789,4453,336,93,88.6,97.1,95.6,0.49,1.61,0.14
Todd Tichenor,todd_tichenor,28,4293,4039,254,94.1,90.1,99.1,95.7,0.36,1.23,0.14
Tom Hallion,tom_hallion,25,3950,3660,290,92.7,85.6,95,95,0.44,1.73,0.15
Tony Randazzo,tony_randazzo,26,4193,3920,273,93.5,87.7,97.7,95.9,0.47,1.54,0.15
Tripp Gibson,tripp_gibson,32,4511,4288,223,95.1,91.5,99.1,97.5,0.28,0.9,0.13
Vic Carapazza,vic_carapazza,31,4895,4595,300,93.9,89.2,98.6,96.9,0.48,1.36,0.14
Will Little,will_little,27,4198,3972,226,94.6,92,97.4,96.6,0.38,1.02,0.12
