Umpire,Abbr,Games,Called Pitches,Called Correctly,Called Wrong,Accuracy,Min. Accuracy,Max. Accuracy,Avg. Consistency,Avg. Favor,Avg. Run Impact,Avg. Leverage
Adam Beck,adam_beck,25,3832,3616,216,94.4,89.8,97.4,96.2,0.48,1.16,0.13
Adam Hamari,adam_hamari,31,4645,4353,292,93.7,86.5,99.3,96,0.35,1.15,0.12
Adrian Johnson,adrian_johnson,24,3711,3417,294,92.1,87.5,96.7,95.4,0.32,1.66,0.14
Alan Porter,alan_porter,29,4317,4102,215,95,90.4,98.6,97.2,0.4,0.95,0.13
Alex Tosi,alex_tosi,9,1351,1286,65,95.2,90,97.1,96.8,0.37,0.98,0.14
Alfonso Marquez,alfonso_marquez,30,4450,4163,287,93.6,88.7,98.5,96.5,0.46,1.38,0.14
Andy Fletcher,andy_fletcher,21,3096,2866,230,92.6,87.7,98.2,96.3,0.51,1.39,0.13
Angel Hernandez,angel_hernandez,31,4833,4477,356,92.6,86.3,97.4,95.6,0.58,1.62,0.14
Ben May,ben_may,34,5097,4810,287,94.4,92,97.4,97,0.46,1.16,0.14
Bill Miller,bill_miller,31,4459,4164,295,93.4,86.8,98.2,96.3,0.43,1.23,0.13
Bill Welke,bill_welke,18,2798,2600,198,92.9,88.8,98,94.1,0.34,1.34,0.12
Brennan Miller,brennan_miller,10,1486,1391,95,93.6,91.5,95.8,96.9,0.5,1.4,0.15
Brian Gorman,brian_gorman,17,2536,2346,190,92.5,87.2,97.1,95.9,0.39,1.52,0.14
Brian Knight,brian_knight,24,3659,3417,242,93.4,89.6,97.4,96.5,0.34,1.4,0.14
Brian O'Nora,brian_onora,26,3790,3481,309,91.8,86.5,98.2,96.1,0.5,1.59,0.13
Bruce Dreckman,bruce_dreckman,29,4533,4206,327,92.8,87.3,97.1,96.2,0.51,1.61,0.14
Carlos Torres,carlos_torres,29,4650,4374,276,94.1,90.2,98.7,96.3,0.47,1.36,0.14
CB Bucknor,cb_bucknor,29,4196,3891,305,92.7,87,97.1,95,0.5,1.35,0.13
Chad Fairchild,chad_fairchild,30,4642,4311,331,92.9,85.6,96.2,96.1,0.61,1.65,0.15
Chad Whitson,chad_whitson,28,4254,3993,261,93.9,89.9,98.1,95.6,0.44,1.22,0.13
Charlie Ramos,charlie_ramos,2,339,317,22,93.5,92,95.2,95.5,1.04,2.07,0.19
Chris Conroy,chris_conroy,32,4862,4585,277,94.3,89.5,97.9,96.4,0.44,1.1,0.13
Chris Guccione,chris_guccione,28,4227,3966,261,93.8,88.4,97.5,96,0.57,1.33,0.14
Chris Segal,chris_segal,30,4656,4365,291,93.8,88.2,99.1,96.1,0.35,1.32,0.14
Cory Blaser,cory_blaser,28,4008,3758,250,93.8,89.4,96.9,96.1,0.33,1.05,0.12
D.J. Reyburn,dj_reyburn,29,4521,4244,277,93.9,89.3,97.1,96.8,0.45,1.35,0.14
Dan Bellino,dan_bellino,32,4884,4588,296,93.9,90.2,99,96,0.35,1.29,0.14
Dan Iassogna,dan_iassogna,32,5021,4680,341,93.2,90.2,97.2,95.3,0.44,1.55,0.15
Dan Merzel,dan_merzel,22,3384,3160,224,93.4,89,98.5,96.1,0.34,1.32,0.13
David Rackley,david_rackley,28,4252,3984,268,93.7,89.8,97.2,96.4,0.42,1.34,0.14
Doug Eddings,doug_eddings,31,4477,4145,332,92.6,87,98.5,95.6,0.61,1.69,0.16
Ed Hickox,ed_hickox,18,2830,2584,246,91.3,86.7,95.7,93.3,0.51,1.72,0.13
Edwin Moscoso,edwin_moscoso,33,5221,4946,275,94.7,90.6,98.6,96.7,0.52,1.23,0.15
Erich Bacchus,erich_bacchus,17,2645,2462,183,93.1,87.2,96,95.5,0.34,1.44,0.13
Fieldin Culbreth,fieldin_culbreth,20,3065,2859,206,93.3,91,100,95.3,0.32,1.51,0.15
Gabe Morales,gabe_morales,32,4873,4609,264,94.6,91.6,98.2,97,0.41,1.14,0.14
Gerry Davis,gerry_davis,10,1522,1410,112,92.6,90,95.5,94.6,0.5,1.64,0.15
Greg Gibson,greg_gibson,30,4658,4292,366,92.1,85.8,96.2,95.5,0.6,1.77,0.14
Hunter Wendelstedt,hunter_wendelstedt,24,3837,3538,299,92.2,88.6,95.7,93.3,0.53,1.74,0.14
James Hoye,james_hoye,31,4928,4634,294,94,90.6,97.4,96.4,0.43,1.34,0.14
