,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,61944,FF,20200913,95.7,-1.6,5.86,214.0,592660,628452,field_out,hit_into_play,4.0,R,R,STL,CIN,X,4.0,popup,-0.8,2.68,Paul Clemons,-0.212,0.1999999999999999,0.8199999999999998,in,in,r
1,1,1,61945,SL,20200913,85.9,-1.81,5.66,84.0,592660,628452,,called_strike,5.0,R,R,STL,CIN,S,,,-0.19,2.38,Paul Clemons,-0.041,0.81,0.8799999999999999,in,in,r
2,2,2,61946,SL,20200913,84.2,-1.75,5.77,80.0,543543,628452,field_out,hit_into_play,8.0,L,R,STL,CIN,X,9.0,line_drive,0.11,1.84,Paul Clemons,-0.268,0.89,0.3400000000000001,in,in,r
3,3,3,61947,SL,20200913,85.1,-1.93,5.7,69.0,543543,628452,,foul,9.0,L,R,STL,CIN,S,,,0.62,1.61,Paul Clemons,-0.062,0.38,0.1100000000000001,in,in,r
4,4,4,61948,FF,20200913,96.8,-2.0,5.63,219.0,543543,628452,,ball,12.0,L,R,STL,CIN,B,,,1.11,2.44,Paul Clemons,0.031,0.1100000000000001,0.94,out,in,w
5,5,5,61949,FF,20200913,98.8,-2.0,5.59,221.0,502671,628452,walk,ball,14.0,R,R,STL,CIN,B,,,0.87,1.81,Paul Clemons,0.226,0.13,0.31,in,in,r
6,6,6,61950,CH,20200913,90.3,-2.89,4.91,254.0,502671,628452,,ball,14.0,R,R,STL,CIN,B,,,0.54,0.79,Paul Clemons,0.06,0.4599999999999999,0.71,in,out,w
7,7,7,61951,FF,20200913,98.3,-3.06,4.99,230.0,502671,628452,,ball,12.0,R,R,STL,CIN,B,,,0.86,3.02,Paul Clemons,0.03,0.14,0.48,in,in,r
8,8,8,61952,FF,20200913,96.7,-1.74,5.74,215.0,502671,628452,,foul,8.0,R,R,STL,CIN,S,,,-0.17,2.12,Paul Clemons,0.0,0.83,0.6200000000000001,in,in,r
9,9,9,61953,SI,20200913,97.8,-3.12,4.91,235.0,502671,628452,,ball,14.0,R,R,STL,CIN,B,,,1.47,1.14,Paul Clemons,0.015,0.47,0.3600000000000001,out,out,w
10,10,10,61954,SL,20200913,84.1,-2.88,5.01,74.0,502671,628452,,called_strike,4.0,R,R,STL,CIN,S,,,-0.37,2.75,Paul Clemons,-0.039,0.63,0.75,in,in,r
11,11,11,61955,SL,20200913,84.7,-2.02,5.6,62.0,502671,628452,,called_strike,14.0,R,R,STL,CIN,S,,,0.17,1.38,Paul Clemons,-0.026,0.83,0.1200000000000001,in,out,w
12,12,12,61956,FF,20200913,95.9,-1.85,5.67,216.0,657557,628452,strikeout,swinging_strike,2.0,R,R,STL,CIN,S,2.0,,-0.04,3.2,Paul Clemons,-0.18,0.96,0.2999999999999998,in,in,r
13,13,13,61957,FF,20200913,96.8,-1.8,5.73,216.0,657557,628452,,foul,5.0,R,R,STL,CIN,S,,,-0.17,2.48,Paul Clemons,-0.06,0.83,0.98,in,in,r
14,14,14,61958,SL,20200913,84.9,-2.01,5.51,79.0,657557,628452,,ball,12.0,R,R,STL,CIN,B,,,2.0,2.59,Paul Clemons,0.032,1.0,0.91,out,in,w
15,15,15,61959,FF,20200913,95.3,-2.12,5.6,209.0,657557,628452,,called_strike,12.0,R,R,STL,CIN,S,,,0.87,2.5,Paul Clemons,-0.042,0.13,,in,in,r
16,16,16,61960,CH,20200913,81.2,-2.53,5.36,232.0,673451,622503,field_out,hit_into_play,8.0,L,R,STL,CIN,X,3.0,ground_ball,0.26,1.97,Paul Clemons,-0.095,0.74,0.47,in,in,r
17,17,17,61961,CU,20200913,73.3,-2.26,5.56,44.0,673451,622503,,called_strike,4.0,L,R,STL,CIN,S,,,-0.75,2.33,Paul Clemons,-0.017,0.25,0.8300000000000001,in,in,r
18,18,18,61962,CH,20200913,81.0,-2.46,5.38,237.0,676480,622503,strikeout,foul_tip,14.0,R,R,STL,CIN,S,2.0,,0.61,0.95,Paul Clemons,-0.208,0.39,0.55,in,out,w
19,19,19,61963,CH,20200913,81.7,-2.42,5.44,243.0,676480,622503,,swinging_strike,8.0,R,R,STL,CIN,S,,,-0.22,1.93,Paul Clemons,-0.058,0.78,0.4299999999999999,in,in,r
20,20,20,61964,CH,20200913,82.2,-2.32,5.36,235.0,676480,622503,,ball,14.0,R,R,STL,CIN,B,,,0.98,0.85,Paul Clemons,0.072,0.02,0.65,in,out,w
