Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,call
606,SI,20200927,95.8,-1.52,6.26,232.0,592348,534910,strikeout,called_strike,14.0,L,R,KC,DET,S,2.0,,1.1,2.25,Erich Bacchus,-0.25,w
607,CU,20200927,79.6,-1.46,6.38,42.0,592348,534910,,ball,14.0,L,R,KC,DET,B,,,2.15,1.18,Erich Bacchus,0.018,r
608,SI,20200927,94.8,-1.66,6.22,234.0,592348,534910,,swinging_strike,4.0,L,R,KC,DET,S,,,-0.76,2.91,Erich Bacchus,-0.053,
609,SI,20200927,94.2,-1.61,6.27,232.0,592348,534910,,called_strike,9.0,L,R,KC,DET,S,,,0.29,1.8,Erich Bacchus,-0.041,r
610,SL,20200927,82.2,-1.47,6.24,54.0,663662,534910,strikeout,swinging_strike_blocked,14.0,R,R,KC,DET,S,2.0,,1.97,0.7,Erich Bacchus,-0.206,
611,SI,20200927,94.7,-1.46,6.29,226.0,663662,534910,,foul,14.0,R,R,KC,DET,S,,,0.44,1.38,Erich Bacchus,0.0,
612,SI,20200927,94.7,-1.39,6.22,233.0,663662,534910,,ball,14.0,R,R,KC,DET,B,,,1.8,1.42,Erich Bacchus,0.016,r
613,SL,20200927,81.4,-1.5,6.28,57.0,663662,534910,,foul,14.0,R,R,KC,DET,S,,,1.46,1.79,Erich Bacchus,0.0,
614,SL,20200927,79.9,-1.55,6.18,,663662,534910,,foul,14.0,R,R,KC,DET,S,,,0.25,0.42,Erich Bacchus,0.0,
615,CU,20200927,78.7,-1.41,6.34,39.0,663662,534910,,foul,6.0,R,R,KC,DET,S,,,0.62,2.28,Erich Bacchus,0.0,
616,CU,20200927,78.4,-1.33,6.42,36.0,663662,534910,,foul,14.0,R,R,KC,DET,S,,,1.32,2.34,Erich Bacchus,0.0,
617,SL,20200927,81.6,-1.62,6.26,59.0,663662,534910,,called_strike,3.0,R,R,KC,DET,S,,,0.59,2.95,Erich Bacchus,-0.059,r
