,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
66453,FF,20170915,92.8,-2.07,5.84,186.0,605119,658792,strikeout,swinging_strike,6.0,R,R,MIA,MIL,S,2.0,,0.49,2.82,Ryan Additon,-0.089
66454,FF,20170915,91.7,-2.2,5.74,181.0,605119,658792,,foul,14.0,R,R,MIA,MIL,S,,,0.89,2.11,Ryan Additon,-0.033
66455,FF,20170915,91.1,-2.17,5.87,189.0,605119,658792,,foul,5.0,R,R,MIA,MIL,S,,,0.26,2.53,Ryan Additon,-0.022
66456,FF,20170915,91.6,-2.19,5.82,185.0,605119,658792,,ball,14.0,R,R,MIA,MIL,B,,,0.98,0.72,Ryan Additon,0.02
66457,FF,20170915,92.4,-2.04,5.84,201.0,605119,658792,,ball,14.0,R,R,MIA,MIL,B,,,0.61,1.11,Ryan Additon,0.018
66458,CU,20170915,75.9,-2.15,5.98,52.0,571506,658792,field_out,hit_into_play,2.0,L,R,MIA,MIL,X,9.0,fly_ball,-0.22,3.3,Ryan Additon,-0.145
66459,FF,20170915,91.9,-2.34,5.75,189.0,571506,658792,,called_strike,8.0,L,R,MIA,MIL,S,,,0.21,1.75,Ryan Additon,-0.026
66460,FF,20170915,91.8,-1.96,5.84,183.0,592663,658792,strikeout,swinging_strike,6.0,R,R,MIA,MIL,S,2.0,,0.7,2.59,Ryan Additon,-0.216
66461,SL,20170915,85.8,-2.06,6.03,113.0,592663,658792,,ball,14.0,R,R,MIA,MIL,B,,,1.65,1.41,Ryan Additon,0.043
66462,SL,20170915,84.0,-2.16,6.14,118.0,592663,658792,,foul_tip,14.0,R,R,MIA,MIL,S,,,0.95,1.95,Ryan Additon,-0.062
66463,FF,20170915,91.3,-2.25,5.72,190.0,592663,658792,,called_strike,14.0,R,R,MIA,MIL,S,,,1.08,2.25,Ryan Additon,-0.046
66464,FF,20170915,90.8,-2.15,5.83,173.0,592663,658792,,ball,14.0,R,R,MIA,MIL,B,,,1.23,2.27,Ryan Additon,0.036
66465,CH,20170915,87.9,-1.95,5.97,276.0,519299,430661,grounded_into_double_play,hit_into_play,5.0,L,R,MIA,MIL,X,4.0,ground_ball,-0.24,2.36,Ryan Additon,-0.531
66466,FT,20170915,93.1,-2.18,6.02,248.0,519299,430661,,called_strike,5.0,L,R,MIA,MIL,S,,,-0.18,2.14,Ryan Additon,-0.073
66467,FF,20170915,94.7,-1.99,6.2,228.0,606115,430661,single,hit_into_play,13.0,R,R,MIA,MIL,X,1.0,line_drive,-0.13,1.24,Ryan Additon,0.53
66468,FT,20170915,93.5,-1.97,6.11,251.0,606115,430661,,foul,7.0,R,R,MIA,MIL,S,,,-0.77,1.47,Ryan Additon,-0.046
66469,FT,20170915,93.4,-1.91,6.12,242.0,621433,430661,force_out,hit_into_play,14.0,L,R,MIA,MIL,X,4.0,ground_ball,0.34,1.14,Ryan Additon,-0.752
66470,FT,20170915,92.8,-1.86,6.16,249.0,621433,430661,,foul,8.0,L,R,MIA,MIL,S,,,-0.01,1.62,Ryan Additon,-0.107
66471,CH,20170915,90.8,-2.07,5.97,260.0,621433,430661,,ball,13.0,L,R,MIA,MIL,B,,,-1.69,1.96,Ryan Additon,0.18
66472,FT,20170915,94.0,-1.8,6.18,235.0,621433,430661,,ball,11.0,L,R,MIA,MIL,B,,,-1.2,2.63,Ryan Additon,0.122
66473,FF,20170915,93.4,-2.04,6.31,224.0,621433,430661,,ball,11.0,L,R,MIA,MIL,B,,,-1.64,2.68,Ryan Additon,0.065
66474,SL,20170915,88.4,-2.2,6.03,106.0,444489,430661,single,hit_into_play,4.0,R,R,MIA,MIL,X,7.0,line_drive,-0.46,2.62,Ryan Additon,0.396
66475,SL,20170915,89.3,-2.05,6.27,127.0,444489,430661,,ball,14.0,R,R,MIA,MIL,B,,,0.09,0.8,Ryan Additon,0.027
66476,FT,20170915,93.3,-1.98,6.23,237.0,444489,430661,,called_strike,13.0,R,R,MIA,MIL,S,,,-0.89,2.25,Ryan Additon,-0.037
66477,SL,20170915,87.7,-1.25,6.14,114.0,542303,461872,force_out,hit_into_play,8.0,R,R,MIA,MIL,X,6.0,ground_ball,0.28,1.78,Ryan Additon,-0.208
66478,SL,20170915,87.3,-1.2,6.17,88.0,542303,461872,,blocked_ball,14.0,R,R,MIA,MIL,B,,,0.96,0.33,Ryan Additon,0.016
66479,FF,20170915,93.4,-1.15,6.11,207.0,542303,461872,,called_strike,2.0,R,R,MIA,MIL,S,,,0.2,3.46,Ryan Additon,-0.032
66480,FF,20170915,94.5,-0.94,6.15,210.0,592885,461872,strikeout,swinging_strike,2.0,L,R,MIA,MIL,S,2.0,,-0.22,3.02,Ryan Additon,-0.216
66481,FF,20170915,94.1,-1.11,6.07,205.0,592885,461872,,foul,12.0,L,R,MIA,MIL,S,,,0.11,3.5,Ryan Additon,0.0
66482,SL,20170915,87.9,-1.05,6.12,124.0,592885,461872,,ball,14.0,L,R,MIA,MIL,B,,,0.94,1.31,Ryan Additon,0.015
66483,SL,20170915,87.8,-1.27,6.16,148.0,592885,461872,,foul,8.0,L,R,MIA,MIL,S,,,-0.01,1.91,Ryan Additon,-0.065
66484,SL,20170915,87.8,-1.25,6.15,116.0,592885,461872,,swinging_strike,14.0,L,R,MIA,MIL,S,,,0.85,2.08,Ryan Additon,-0.046
66485,SL,20170915,87.8,-1.23,6.09,132.0,519317,461872,single,hit_into_play,5.0,R,R,MIA,MIL,X,6.0,ground_ball,0.06,2.33,Ryan Additon,0.284
66486,SL,20170915,88.2,-1.19,6.29,149.0,519317,461872,,called_strike,3.0,R,R,MIA,MIL,S,,,0.56,3.48,Ryan Additon,-0.026
66487,SL,20170915,88.1,-1.37,6.08,138.0,543829,461872,field_out,hit_into_play,8.0,L,R,MIA,MIL,X,4.0,ground_ball,0.08,1.45,Ryan Additon,-0.173
66488,FF,20170915,94.4,-1.1,6.08,200.0,543829,461872,,foul,11.0,L,R,MIA,MIL,S,,,-0.02,3.93,Ryan Additon,0.0
66489,SL,20170915,86.9,-1.44,6.01,120.0,543829,461872,,foul,3.0,L,R,MIA,MIL,S,,,0.73,2.86,Ryan Additon,-0.062
66490,SL,20170915,87.0,-1.51,6.15,138.0,543829,461872,,foul,6.0,L,R,MIA,MIL,S,,,0.5,2.35,Ryan Additon,-0.046
66491,FF,20170915,93.3,-1.25,6.19,204.0,543829,461872,,ball,14.0,L,R,MIA,MIL,B,,,0.9,1.37,Ryan Additon,0.036
66492,SL,20170915,89.5,-2.01,6.3,102.0,542979,430661,field_out,hit_into_play,8.0,R,R,MIA,MIL,X,5.0,ground_ball,0.15,1.73,Ryan Additon,-0.106
66493,FT,20170915,94.3,-1.93,6.17,244.0,570267,430661,home_run,hit_into_play,2.0,R,R,MIA,MIL,X,,fly_ball,-0.14,3.28,Ryan Additon,2.774
66494,SL,20170915,88.9,-2.12,6.27,117.0,570267,430661,,blocked_ball,14.0,R,R,MIA,MIL,B,,,0.64,-0.68,Ryan Additon,0.057
66495,FT,20170915,95.5,-2.15,6.2,232.0,570267,430661,,swinging_strike,13.0,R,R,MIA,MIL,S,,,-0.91,1.24,Ryan Additon,-0.112
66496,SL,20170915,88.8,-2.26,6.02,68.0,570267,430661,,foul,5.0,R,R,MIA,MIL,S,,,-0.02,2.29,Ryan Additon,-0.067
66497,FF,20170915,95.0,-2.18,6.32,220.0,543768,430661,single,hit_into_play,5.0,L,R,MIA,MIL,X,9.0,line_drive,-0.1,2.3,Ryan Additon,0.304
66498,CH,20170915,88.4,-2.23,6.3,249.0,543768,430661,,ball,11.0,L,R,MIA,MIL,B,,,-1.36,3.54,Ryan Additon,0.016
66499,FT,20170915,92.9,-2.08,6.32,235.0,543768,430661,,swinging_strike,13.0,L,R,MIA,MIL,S,,,-1.25,2.2,Ryan Additon,-0.032
66500,FF,20170915,99.9,-3.26,5.9,215.0,460075,623395,single,hit_into_play,4.0,R,R,MIA,MIL,X,9.0,line_drive,-0.76,2.34,Ryan Additon,0.102
66501,CU,20170915,88.7,-2.89,6.24,111.0,460075,623395,,ball,14.0,R,R,MIA,MIL,B,,,1.21,1.82,Ryan Additon,0.018
66502,FF,20170915,98.4,-3.17,5.92,211.0,435522,623395,home_run,hit_into_play,4.0,L,R,MIA,MIL,X,,fly_ball,-0.64,2.28,Ryan Additon,3.196
66503,CH,20170915,89.2,-3.26,5.78,237.0,435522,623395,,ball,7.0,L,R,MIA,MIL,B,,,-0.4,1.71,Ryan Additon,0.116
66504,FF,20170915,99.0,-3.2,5.89,215.0,435522,623395,,called_strike,5.0,L,R,MIA,MIL,S,,,-0.25,2.4,Ryan Additon,-0.118
66505,FF,20170915,100.7,-3.24,6.02,206.0,435522,623395,,ball,12.0,L,R,MIA,MIL,B,,,0.56,3.73,Ryan Additon,0.129
66506,FF,20170915,99.6,-3.19,5.77,204.0,519299,623395,walk,ball,13.0,L,R,MIA,MIL,B,,,-2.13,2.22,Ryan Additon,0.273
66507,FF,20170915,98.1,-3.35,5.68,223.0,519299,623395,,swinging_strike,4.0,L,R,MIA,MIL,S,,,-0.32,2.24,Ryan Additon,-0.107
66508,FF,20170915,99.8,-3.33,5.78,216.0,519299,623395,,called_strike,11.0,L,R,MIA,MIL,S,,,-0.96,2.63,Ryan Additon,-0.075
66509,FF,20170915,99.3,-3.3,5.91,218.0,519299,623395,,ball,2.0,L,R,MIA,MIL,B,,,0.15,3.25,Ryan Additon,0.123
66510,FF,20170915,99.5,-3.08,5.94,209.0,519299,623395,,ball,11.0,L,R,MIA,MIL,B,,,-1.33,2.95,Ryan Additon,0.069
66511,CH,20170915,89.7,-3.15,5.88,220.0,519299,623395,,ball,13.0,L,R,MIA,MIL,B,,,-1.97,2.19,Ryan Additon,0.052
66512,FF,20170915,98.2,-2.89,6.02,212.0,542908,623395,walk,ball,12.0,R,R,MIA,MIL,B,,,1.03,2.59,Ryan Additon,0.084
66513,FT,20170915,98.7,-3.07,5.81,235.0,542908,623395,,blocked_ball,14.0,R,R,MIA,MIL,B,,,1.15,0.78,Ryan Additon,0.071
66514,FF,20170915,99.7,-3.09,5.88,217.0,542908,623395,,ball,14.0,R,R,MIA,MIL,B,,,1.17,1.29,Ryan Additon,0.048
66515,CU,20170915,86.6,-2.84,6.14,110.0,542908,623395,,ball,13.0,R,R,MIA,MIL,B,,,-0.07,1.18,Ryan Additon,0.026
66516,FF,20170915,97.9,-3.42,5.76,223.0,621433,623395,field_out,hit_into_play,9.0,L,R,MIA,MIL,X,8.0,fly_ball,0.41,1.59,Ryan Additon,-0.314
66517,FF,20170915,99.3,-3.03,5.88,200.0,444489,623395,single,hit_into_play,6.0,R,R,MIA,MIL,X,8.0,line_drive,0.54,2.54,Ryan Additon,0.231
66518,CU,20170915,88.5,-2.91,6.05,90.0,444489,623395,,ball,14.0,R,R,MIA,MIL,B,,,0.91,1.31,Ryan Additon,0.026
66519,FF,20170915,100.7,-3.29,5.92,219.0,519346,623395,home_run,hit_into_play,5.0,L,R,MIA,MIL,X,,line_drive,0.17,2.4,Ryan Additon,1.0
66520,FF,20170915,99.8,-2.99,6.02,210.0,570267,623395,strikeout,swinging_strike,12.0,R,R,MIA,MIL,S,2.0,,0.88,2.91,Ryan Additon,-0.152
66521,FF,20170915,100.3,-3.02,6.03,219.0,570267,623395,,swinging_strike,2.0,R,R,MIA,MIL,S,,,-0.12,3.2,Ryan Additon,-0.056
66522,FT,20170915,101.1,-3.07,5.81,233.0,570267,623395,,foul,6.0,R,R,MIA,MIL,S,,,0.51,2.99,Ryan Additon,-0.037
66523,SI,20170915,92.6,-2.69,5.62,272.0,400085,453172,field_out,hit_into_play,4.0,L,R,MIA,MIL,X,3.0,ground_ball,-0.48,2.57,Ryan Additon,-0.144
