,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
66524,SI,20170915,93.3,-2.97,5.57,269.0,400085,453172,,ball,13.0,L,R,MIA,MIL,B,,,-1.1,1.03,Ryan Additon,0.02
66525,SI,20170915,93.1,-2.74,5.75,258.0,400085,453172,,ball,13.0,L,R,MIA,MIL,B,,,-1.41,2.24,Ryan Additon,0.018
66526,SI,20170915,92.4,-2.9,5.43,280.0,500743,453172,strikeout,swinging_strike,14.0,R,R,MIA,MIL,S,2.0,,0.13,1.08,Ryan Additon,-0.122
66527,SL,20170915,85.1,-2.4,5.74,85.0,500743,453172,,ball,14.0,R,R,MIA,MIL,B,,,1.14,-0.17,Ryan Additon,0.015
66528,SL,20170915,85.0,-2.44,5.98,147.0,500743,453172,,foul,9.0,R,R,MIA,MIL,S,,,0.34,1.72,Ryan Additon,-0.038
66529,SI,20170915,92.5,-2.67,5.81,257.0,500743,453172,,called_strike,5.0,R,R,MIA,MIL,S,,,0.05,2.45,Ryan Additon,-0.026
66530,SI,20170915,92.5,-2.58,5.77,267.0,605119,453172,field_out,hit_into_play,6.0,R,R,MIA,MIL,X,1.0,ground_ball,0.77,2.49,Ryan Additon,-0.216
66531,SI,20170915,92.4,-2.7,5.66,270.0,605119,453172,,ball,13.0,R,R,MIA,MIL,B,,,-1.45,1.19,Ryan Additon,0.043
66532,SL,20170915,85.8,-2.38,5.7,73.0,605119,453172,,ball,14.0,R,R,MIA,MIL,B,,,2.29,0.51,Ryan Additon,0.021
66533,SI,20170915,92.7,-2.86,5.59,270.0,605119,453172,,foul,13.0,R,R,MIA,MIL,S,,,-1.15,1.38,Ryan Additon,0.0
66534,SL,20170915,85.4,-2.38,6.11,149.0,605119,453172,,swinging_strike,14.0,R,R,MIA,MIL,S,,,1.04,2.16,Ryan Additon,-0.056
66535,SL,20170915,84.4,-2.29,5.54,57.0,605119,453172,,called_strike,6.0,R,R,MIA,MIL,S,,,0.73,2.14,Ryan Additon,-0.037
66536,SL,20170915,82.7,-1.35,6.17,136.0,543768,608716,strikeout,swinging_strike_blocked,14.0,L,R,MIA,MIL,S,2.0,,0.98,1.33,Ryan Additon,-0.329
66537,FF,20170915,96.5,-1.58,6.09,204.0,543768,608716,,ball,11.0,L,R,MIA,MIL,B,,,-1.22,3.06,Ryan Additon,0.057
66538,FF,20170915,96.0,-1.17,6.15,200.0,543768,608716,,foul,2.0,L,R,MIA,MIL,S,,,0.12,3.38,Ryan Additon,-0.112
66539,FF,20170915,95.4,-1.42,6.01,216.0,543768,608716,,swinging_strike,2.0,L,R,MIA,MIL,S,,,-0.08,3.18,Ryan Additon,-0.067
66540,FF,20170915,95.7,-1.14,6.06,209.0,460075,608716,strikeout,swinging_strike,11.0,R,R,MIA,MIL,S,2.0,,-0.14,4.64,Ryan Additon,-0.416
66541,FF,20170915,95.2,-1.33,6.27,195.0,460075,608716,,ball,11.0,R,R,MIA,MIL,B,,,-1.72,3.56,Ryan Additon,0.065
66542,FF,20170915,94.6,-1.23,6.16,201.0,460075,608716,,ball,11.0,R,R,MIA,MIL,B,,,-1.13,4.57,Ryan Additon,0.046
66543,FF,20170915,94.8,-1.4,6.5,199.0,460075,608716,,swinging_strike,11.0,R,R,MIA,MIL,S,,,-0.8,4.01,Ryan Additon,-0.1
66544,FF,20170915,94.6,-1.18,6.21,193.0,460075,608716,,called_strike,9.0,R,R,MIA,MIL,S,,,0.51,1.66,Ryan Additon,-0.073
66545,FF,20170915,93.5,-1.52,6.13,204.0,435522,608716,walk,ball,13.0,L,R,MIA,MIL,B,,,-1.82,2.72,Ryan Additon,0.141
66546,FF,20170915,93.6,-1.38,6.2,197.0,435522,608716,,ball,11.0,L,R,MIA,MIL,B,,,-1.27,2.71,Ryan Additon,0.12
66547,FF,20170915,92.7,-1.06,6.05,207.0,435522,608716,,ball,12.0,L,R,MIA,MIL,B,,,1.96,2.95,Ryan Additon,0.068
66548,FF,20170915,93.5,-1.36,6.06,202.0,435522,608716,,ball,13.0,L,R,MIA,MIL,B,,,-0.45,1.51,Ryan Additon,0.045
66549,FF,20170915,95.8,-1.46,6.16,208.0,519299,608716,walk,ball,11.0,L,R,MIA,MIL,B,,,-1.38,2.69,Ryan Additon,0.209
66550,FF,20170915,94.7,-1.43,6.2,207.0,519299,608716,,called_strike,7.0,L,R,MIA,MIL,S,,,-0.44,1.99,Ryan Additon,-0.054
66551,FF,20170915,94.2,-1.5,6.1,209.0,519299,608716,,ball,11.0,L,R,MIA,MIL,B,,,-1.51,2.83,Ryan Additon,0.072
66552,FF,20170915,94.6,-1.44,6.17,208.0,519299,608716,,ball,13.0,L,R,MIA,MIL,B,,,-1.53,2.15,Ryan Additon,0.038
66553,FF,20170915,95.5,-1.54,6.1,204.0,519299,608716,,ball,11.0,L,R,MIA,MIL,B,,,-1.13,3.21,Ryan Additon,0.021
66554,FF,20170915,94.5,-1.44,6.17,210.0,519299,608716,,called_strike,4.0,L,R,MIA,MIL,S,,,-0.66,2.74,Ryan Additon,-0.026
66555,SL,20170915,81.3,-1.29,6.09,31.0,541650,608716,field_out,hit_into_play,5.0,R,R,MIA,MIL,X,7.0,fly_ball,-0.04,2.1,Ryan Additon,-0.152
66556,FF,20170915,95.3,-1.57,6.0,221.0,541650,608716,,foul,2.0,R,R,MIA,MIL,S,,,-0.2,2.98,Ryan Additon,-0.056
66557,FF,20170915,94.1,-1.33,6.15,205.0,541650,608716,,called_strike,2.0,R,R,MIA,MIL,S,,,0.15,3.05,Ryan Additon,-0.037
66558,SL,20170915,80.2,3.75,4.87,281.0,571506,623352,strikeout,called_strike,6.0,L,L,MIA,MIL,S,2.0,,0.44,2.94,Ryan Additon,-0.089
66559,FF,20170915,96.3,3.5,5.12,159.0,571506,623352,,ball,11.0,L,L,MIA,MIL,B,,,-1.02,3.14,Ryan Additon,0.016
66560,FF,20170915,95.5,3.52,5.0,152.0,571506,623352,,called_strike,11.0,L,L,MIA,MIL,S,,,-0.93,2.82,Ryan Additon,-0.029
66561,SL,20170915,80.3,3.94,5.02,270.0,571506,623352,,ball,9.0,L,L,MIA,MIL,B,,,0.4,1.71,Ryan Additon,0.014
66562,SL,20170915,81.7,3.87,4.94,233.0,571506,623352,,called_strike,6.0,L,L,MIA,MIL,S,,,0.46,2.87,Ryan Additon,-0.018
66563,FT,20170915,96.6,3.51,5.01,132.0,592663,623352,strikeout,swinging_strike,6.0,R,L,MIA,MIL,S,2.0,,0.56,2.53,Ryan Additon,-0.107
66564,FF,20170915,95.2,3.4,5.24,151.0,592663,623352,,foul,12.0,R,L,MIA,MIL,S,,,1.2,3.78,Ryan Additon,0.0
66565,CH,20170915,88.9,3.36,5.08,104.0,592663,623352,,foul,9.0,R,L,MIA,MIL,S,,,0.82,1.35,Ryan Additon,-0.038
66566,FF,20170915,94.4,3.43,5.24,146.0,592663,623352,,called_strike,9.0,R,L,MIA,MIL,S,,,0.54,2.18,Ryan Additon,-0.026
66567,FF,20170915,93.3,3.44,5.42,159.0,542303,623352,field_out,hit_into_play,2.0,R,L,MIA,MIL,X,9.0,fly_ball,-0.14,3.35,Ryan Additon,-0.281
66568,CH,20170915,85.9,3.48,5.18,97.0,542303,623352,,ball,14.0,R,L,MIA,MIL,B,,,1.56,1.59,Ryan Additon,0.036
66569,SL,20170915,86.5,1.78,6.36,263.0,621433,606424,strikeout,called_strike,1.0,L,L,MIA,MIL,S,2.0,,-0.5,2.95,Ryan Additon,-0.19
66570,SL,20170915,86.6,1.89,6.56,193.0,621433,606424,,foul,6.0,L,L,MIA,MIL,S,,,0.57,2.74,Ryan Additon,0.0
66571,FF,20170915,95.9,2.01,6.04,146.0,621433,606424,,ball,11.0,L,L,MIA,MIL,B,,,-1.63,2.65,Ryan Additon,0.034
66572,SL,20170915,87.4,1.88,6.69,202.0,621433,606424,,called_strike,4.0,L,L,MIA,MIL,S,,,-0.64,2.68,Ryan Additon,-0.055
66573,SL,20170915,87.0,1.86,6.33,230.0,621433,606424,,blocked_ball,14.0,L,L,MIA,MIL,B,,,0.27,0.82,Ryan Additon,0.016
66574,SL,20170915,87.0,1.82,6.43,237.0,621433,606424,,swinging_strike,7.0,L,L,MIA,MIL,S,,,-0.6,1.6,Ryan Additon,-0.032
66575,SL,20170915,87.2,1.94,6.17,339.0,519390,606424,field_out,hit_into_play,6.0,L,L,MIA,MIL,X,7.0,fly_ball,0.36,2.45,Ryan Additon,-0.268
66576,FF,20170915,95.0,2.24,6.05,138.0,519390,606424,,called_strike,1.0,L,L,MIA,MIL,S,,,-0.41,3.03,Ryan Additon,-0.046
66577,FF,20170915,96.3,2.1,6.34,143.0,519346,606424,hit_by_pitch,hit_by_pitch,12.0,L,L,MIA,MIL,B,,,1.38,4.06,Ryan Additon,0.209
66578,FF,20170915,95.9,1.9,6.0,129.0,519346,606424,,ball,13.0,L,L,MIA,MIL,B,,,-1.86,1.8,Ryan Additon,0.071
66579,SL,20170915,89.4,1.83,6.45,229.0,519346,606424,,ball,13.0,L,L,MIA,MIL,B,,,-2.31,1.8,Ryan Additon,0.031
66580,SL,20170915,87.9,2.02,6.35,226.0,519346,606424,,ball,9.0,L,L,MIA,MIL,B,,,0.62,1.54,Ryan Additon,0.015
66581,FF,20170915,95.3,2.08,5.91,130.0,519346,606424,,called_strike,7.0,L,L,MIA,MIL,S,,,-0.31,1.9,Ryan Additon,-0.038
66582,FF,20170915,94.4,2.31,6.17,122.0,519346,606424,,called_strike,13.0,L,L,MIA,MIL,S,,,-0.93,2.6,Ryan Additon,-0.026
66583,FF,20170915,96.1,1.97,6.11,136.0,570267,606424,strikeout,called_strike,1.0,R,L,MIA,MIL,S,2.0,,-0.82,3.38,Ryan Additon,-0.173
66584,SL,20170915,88.1,1.48,6.5,201.0,570267,606424,,ball,13.0,R,L,MIA,MIL,B,,,-2.12,1.73,Ryan Additon,0.021
66585,CH,20170915,88.4,1.72,6.54,132.0,570267,606424,,called_strike,6.0,R,L,MIA,MIL,S,,,0.54,2.94,Ryan Additon,-0.056
66586,SL,20170915,86.5,1.59,6.53,213.0,570267,606424,,called_strike,8.0,R,L,MIA,MIL,S,,,0.17,2.03,Ryan Additon,-0.037
66587,SL,20170915,81.4,4.0,4.97,272.0,592885,623352,strikeout,swinging_strike_blocked,13.0,L,L,MIA,MIL,S,2.0,,-0.98,0.64,Ryan Additon,-0.089
66588,FF,20170915,96.0,3.42,5.1,148.0,592885,623352,,called_strike,7.0,L,L,MIA,MIL,S,,,-0.82,2.21,Ryan Additon,-0.033
66589,FF,20170915,95.8,3.28,5.45,154.0,592885,623352,,ball,1.0,L,L,MIA,MIL,B,,,-0.81,3.21,Ryan Additon,0.02
66590,FF,20170915,96.1,3.5,5.36,140.0,592885,623352,,foul,12.0,L,L,MIA,MIL,S,,,1.26,3.24,Ryan Additon,-0.022
66591,FF,20170915,95.4,3.27,5.29,143.0,592885,623352,,ball,14.0,L,L,MIA,MIL,B,,,0.19,1.46,Ryan Additon,0.018
66592,FF,20170915,96.5,3.64,5.43,156.0,519317,623352,strikeout,swinging_strike,2.0,R,L,MIA,MIL,S,2.0,,0.01,3.27,Ryan Additon,-0.223
66593,FF,20170915,96.3,3.32,5.05,142.0,519317,623352,,swinging_strike,2.0,R,L,MIA,MIL,S,,,-0.12,3.11,Ryan Additon,-0.054
66594,FF,20170915,95.5,3.31,5.32,154.0,519317,623352,,ball,13.0,R,L,MIA,MIL,B,,,-0.16,1.54,Ryan Additon,0.072
66595,FF,20170915,96.6,3.56,5.45,155.0,519317,623352,,ball,12.0,R,L,MIA,MIL,B,,,1.39,3.25,Ryan Additon,0.038
66596,FF,20170915,94.4,3.45,5.26,154.0,519317,623352,,swinging_strike,7.0,R,L,MIA,MIL,S,,,-0.38,2.14,Ryan Additon,-0.032
66597,CH,20170915,88.4,3.33,5.11,147.0,519317,623352,,ball,14.0,R,L,MIA,MIL,B,,,0.12,1.53,Ryan Additon,0.026
66598,FF,20170915,96.5,3.43,5.01,151.0,543829,623352,strikeout,swinging_strike,1.0,L,L,MIA,MIL,S,2.0,,-0.31,3.03,Ryan Additon,-0.152
66599,SL,20170915,80.1,3.63,5.04,265.0,543829,623352,,foul_bunt,3.0,L,L,MIA,MIL,S,,,0.73,2.62,Ryan Additon,-0.056
66600,FF,20170915,95.0,3.49,5.09,143.0,543829,623352,,called_strike,14.0,L,L,MIA,MIL,S,,,0.92,2.25,Ryan Additon,-0.037
66601,SL,20170915,86.4,1.72,6.41,270.0,543768,606424,strikeout,swinging_strike,1.0,L,L,MIA,MIL,S,2.0,,-0.73,2.92,Ryan Additon,-0.513
66602,FF,20170915,94.8,2.16,6.23,130.0,543768,606424,,ball,11.0,L,L,MIA,MIL,B,,,-0.24,4.53,Ryan Additon,0.095
66603,FF,20170915,96.0,2.0,6.12,133.0,543768,606424,,ball,11.0,L,L,MIA,MIL,B,,,-1.36,3.47,Ryan Additon,0.088
66604,SL,20170915,86.3,1.78,6.36,294.0,543768,606424,,foul,5.0,L,L,MIA,MIL,S,,,-0.25,2.22,Ryan Additon,-0.112
66605,FF,20170915,93.8,2.32,6.17,136.0,543768,606424,,foul,4.0,L,L,MIA,MIL,S,,,-0.41,2.64,Ryan Additon,-0.063
66606,SL,20170915,86.2,1.81,6.48,262.0,543768,606424,,ball,13.0,L,L,MIA,MIL,B,,,-0.67,1.49,Ryan Additon,0.052
66607,CH,20170915,90.3,-1.52,6.23,215.0,460075,570632,walk,ball,11.0,R,R,MIA,MIL,B,,,-1.81,3.15,Ryan Additon,0.205
66608,FT,20170915,96.4,-1.77,5.83,239.0,460075,570632,,foul,5.0,R,R,MIA,MIL,S,,,-0.16,2.46,Ryan Additon,-0.06
66609,FT,20170915,96.6,-1.78,5.88,237.0,460075,570632,,ball,13.0,R,R,MIA,MIL,B,,,-2.08,2.43,Ryan Additon,0.069
66610,FF,20170915,95.9,-1.29,6.12,220.0,460075,570632,,swinging_strike,3.0,R,R,MIA,MIL,S,,,0.29,3.02,Ryan Additon,-0.059
66611,FF,20170915,95.6,-1.83,5.95,224.0,460075,570632,,ball,13.0,R,R,MIA,MIL,B,,,-1.5,2.27,Ryan Additon,0.048
66612,SL,20170915,85.5,-1.62,5.88,141.0,460075,570632,,ball,12.0,R,R,MIA,MIL,B,,,1.3,2.94,Ryan Additon,0.026
66613,FT,20170915,95.7,-1.87,5.76,236.0,435522,570632,strikeout,swinging_strike,8.0,L,R,MIA,MIL,S,2.0,,0.14,1.65,Ryan Additon,-0.386
66614,FF,20170915,96.0,-1.29,5.95,227.0,435522,570632,,ball,12.0,L,R,MIA,MIL,B,,,0.95,3.55,Ryan Additon,0.112
66615,CH,20170915,85.9,-1.89,6.02,235.0,435522,570632,,foul,5.0,L,R,MIA,MIL,S,,,-0.18,2.17,Ryan Additon,-0.08
66616,FF,20170915,92.5,-2.08,5.89,227.0,435522,570632,,called_strike,4.0,L,R,MIA,MIL,S,,,-0.61,2.49,Ryan Additon,-0.072
66617,CH,20170915,91.0,-1.96,5.89,230.0,435522,570632,,ball,13.0,L,R,MIA,MIL,B,,,-0.92,0.97,Ryan Additon,0.068
66618,FF,20170915,93.7,-2.13,5.81,232.0,435522,570632,,ball,11.0,L,R,MIA,MIL,B,,,-1.65,2.67,Ryan Additon,0.045
66619,CH,20170915,87.3,-1.78,5.81,231.0,519299,570632,single,hit_into_play,13.0,L,R,MIA,MIL,X,8.0,line_drive,-0.96,1.86,Ryan Additon,0.277
66620,FF,20170915,97.4,-1.81,6.19,221.0,519299,570632,,ball,11.0,L,R,MIA,MIL,B,,,-1.39,3.55,Ryan Additon,0.031
66621,CH,20170915,87.0,-1.89,5.81,241.0,519299,570632,,ball,13.0,L,R,MIA,MIL,B,,,-1.31,1.29,Ryan Additon,0.015
