Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,call
3644,SL,20200927,83.1,-0.35,5.54,112.0,453943,502179,strikeout,swinging_strike,6.0,R,R,WAS,NYM,S,2.0,,0.76,2.72,Junior Valentine,-0.216,
3645,CU,20200927,72.0,-0.68,5.35,34.0,453943,502179,,ball,13.0,R,R,WAS,NYM,B,,,-0.99,1.65,Junior Valentine,0.039,w
3646,FF,20200927,91.3,-0.34,5.49,205.0,453943,502179,,ball,12.0,R,R,WAS,NYM,B,,,1.46,3.17,Junior Valentine,0.018,r
3647,FF,20200927,91.1,-0.44,5.48,203.0,453943,502179,,foul,12.0,R,R,WAS,NYM,S,,,0.5,3.52,Junior Valentine,-0.053,
3648,CU,20200927,70.6,-0.67,5.4,35.0,453943,502179,,swinging_strike,8.0,R,R,WAS,NYM,S,,,0.06,1.57,Junior Valentine,-0.041,
3649,FF,20200927,91.1,-0.33,5.47,199.0,624413,502179,field_out,hit_into_play,3.0,R,R,WAS,NYM,X,3.0,popup,0.32,3.33,Junior Valentine,-0.249,
3650,SI,20200927,90.3,-0.8,5.25,221.0,624413,502179,,foul,6.0,R,R,WAS,NYM,S,,,0.39,2.25,Junior Valentine,0.0,
3651,CU,20200927,73.0,-0.48,5.33,34.0,624413,502179,,foul,13.0,R,R,WAS,NYM,S,,,-0.14,1.45,Junior Valentine,0.0,
3652,FF,20200927,91.3,-0.43,5.48,203.0,624413,502179,,ball,13.0,R,R,WAS,NYM,B,,,-0.65,1.22,Junior Valentine,0.037,r
3653,FF,20200927,91.7,-0.4,5.47,201.0,624413,502179,,foul,14.0,R,R,WAS,NYM,S,,,0.84,2.22,Junior Valentine,-0.056,
3654,FF,20200927,90.3,-0.41,5.47,206.0,624413,502179,,ball,13.0,R,R,WAS,NYM,B,,,-1.07,2.1,Junior Valentine,0.013,r
3655,CU,20200927,71.6,-0.57,5.44,36.0,624413,502179,,called_strike,5.0,R,R,WAS,NYM,S,,,0.1,2.32,Junior Valentine,-0.044,r
3656,FF,20200927,92.1,-0.26,5.57,196.0,605204,502179,walk,ball,11.0,R,R,WAS,NYM,B,,,-0.5,3.74,Junior Valentine,0.226,r
3657,CU,20200927,72.7,-0.29,5.47,30.0,605204,502179,,foul,13.0,R,R,WAS,NYM,S,,,-0.92,1.43,Junior Valentine,0.0,
3658,FF,20200927,91.1,-0.37,5.57,204.0,605204,502179,,ball,12.0,R,R,WAS,NYM,B,,,1.11,4.09,Junior Valentine,0.06,r
3659,FF,20200927,92.2,-0.25,5.53,200.0,605204,502179,,foul,5.0,R,R,WAS,NYM,S,,,0.12,2.67,Junior Valentine,-0.047,
3660,FF,20200927,91.7,-0.33,5.53,198.0,605204,502179,,swinging_strike,9.0,R,R,WAS,NYM,S,,,0.37,2.06,Junior Valentine,-0.039,
3661,FF,20200927,91.2,-0.23,5.51,200.0,605204,502179,,ball,14.0,R,R,WAS,NYM,B,,,0.91,1.27,Junior Valentine,0.04,r
3662,CU,20200927,71.5,-0.45,5.45,37.0,605204,502179,,ball,14.0,R,R,WAS,NYM,B,,,0.84,0.9,Junior Valentine,0.027,r
3663,FF,20200927,92.0,-0.2,5.61,199.0,607043,502179,field_out,hit_into_play,5.0,L,R,WAS,NYM,X,7.0,line_drive,-0.02,2.31,Junior Valentine,-0.215,
3664,FF,20200927,90.9,-0.55,5.57,205.0,607043,502179,,ball,11.0,L,R,WAS,NYM,B,,,-0.35,3.69,Junior Valentine,0.035,r
3665,FF,20200927,90.9,-0.41,5.63,206.0,607043,502179,,foul,6.0,L,R,WAS,NYM,S,,,0.49,2.39,Junior Valentine,-0.06,
3666,FF,20200927,90.6,-0.4,5.58,204.0,607043,502179,,foul,6.0,L,R,WAS,NYM,S,,,0.7,2.36,Junior Valentine,-0.05,
