,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,0,0,27617,SL,20210926,86.1,-0.15,6.01,185.0,663630,669618,strikeout,swinging_strike,5.0,R,R,BAL,TEX,S,2.0,,0.04,2.25,Charlie Ramos,-0.192,0.96,0.75,in,in,r
1,1,1,1,1,27618,FF,20210926,93.9,0.09,6.08,199.0,663630,669618,,foul_tip,6.0,R,R,BAL,TEX,S,,,0.54,2.54,Charlie Ramos,-0.063,0.4599999999999999,0.96,in,in,r
2,2,2,2,2,27619,SL,20210926,85.7,-0.06,5.98,172.0,663630,669618,,blocked_ball,14.0,R,R,BAL,TEX,B,,,0.34,0.49,Charlie Ramos,0.041,0.6599999999999999,1.01,in,out,r
3,3,3,3,3,27620,FF,20210926,93.3,-0.04,6.09,203.0,663630,669618,,called_strike,6.0,R,R,BAL,TEX,S,,,0.51,2.53,Charlie Ramos,-0.048,0.49,0.9700000000000002,in,in,r
4,4,4,4,4,27621,FF,20210926,92.8,0.03,6.15,202.0,663630,669618,,ball,12.0,R,R,BAL,TEX,B,,,0.5,3.75,Charlie Ramos,0.036,0.5,0.25,in,out,r
5,5,5,5,5,27622,FF,20210926,90.1,1.96,5.43,302.0,663330,663465,walk,ball,13.0,R,L,BAL,TEX,B,,,-0.19,0.88,Charlie Ramos,0.066,0.81,0.62,in,out,r
6,6,6,6,6,27623,FC,20210926,86.0,2.28,5.36,152.0,663330,663465,,ball,13.0,R,L,BAL,TEX,B,,,-1.6,2.29,Charlie Ramos,0.042,0.6000000000000001,0.79,out,in,r
7,7,7,7,7,27624,CH,20210926,82.6,2.22,5.61,67.0,663330,663465,,ball,14.0,R,L,BAL,TEX,B,,,1.58,1.86,Charlie Ramos,0.02,0.5800000000000001,0.3600000000000001,out,in,r
8,8,8,8,8,27625,FF,20210926,90.3,1.96,5.41,143.0,663330,663465,,called_strike,9.0,R,L,BAL,TEX,S,,,0.3,1.67,Charlie Ramos,-0.02,0.7,0.1699999999999999,in,in,r
9,9,9,9,9,27626,CU,20210926,75.9,2.02,5.7,333.0,663330,663465,,ball,13.0,R,L,BAL,TEX,B,,,-1.15,0.96,Charlie Ramos,0.016,0.1499999999999999,0.54,out,out,r
10,10,10,10,10,27627,FF,20210926,91.7,1.99,5.5,150.0,642721,663465,field_out,hit_into_play,3.0,R,L,BAL,TEX,X,3.0,ground_ball,0.7,2.94,Charlie Ramos,-0.142,0.3,0.56,in,in,r
11,11,11,11,11,27628,CH,20210926,83.5,2.21,5.61,124.0,642721,663465,,swinging_strike,9.0,R,L,BAL,TEX,S,,,0.52,2.08,Charlie Ramos,-0.053,0.48,0.5800000000000001,in,in,r
12,12,12,12,12,27629,FF,20210926,91.5,2.14,5.39,141.0,642721,663465,,ball,14.0,R,L,BAL,TEX,B,,,0.79,1.04,Charlie Ramos,0.038,0.2099999999999999,0.4599999999999999,in,out,r
13,13,13,13,13,27630,CU,20210926,75.0,2.11,5.68,333.0,642721,663465,,called_strike,3.0,R,L,BAL,TEX,S,,,0.53,3.06,Charlie Ramos,-0.032,0.47,0.4399999999999999,in,in,r
14,14,14,14,14,27631,FF,20210926,91.2,2.08,5.52,65.0,642721,663465,,ball,12.0,R,L,BAL,TEX,B,,,1.0,3.14,Charlie Ramos,0.026,0.0,0.3599999999999999,in,in,w
15,15,15,15,15,27632,CH,20210926,83.7,2.34,5.57,125.0,642162,663465,field_out,hit_into_play,9.0,R,L,BAL,TEX,X,4.0,ground_ball,0.78,1.44,Charlie Ramos,-0.241,0.2199999999999999,0.06,in,out,w
16,16,16,16,16,27633,FF,20210926,90.4,2.16,5.46,,600474,663465,home_run,hit_into_play,13.0,R,L,BAL,TEX,X,,line_drive,-0.86,2.19,Charlie Ramos,1.637,0.14,0.69,in,in,r
17,17,17,17,17,27634,CU,20210926,74.5,2.06,5.77,335.0,600474,663465,,called_strike,5.0,R,L,BAL,TEX,S,,,-0.09,2.61,Charlie Ramos,-0.057,0.91,0.8900000000000001,in,in,r
18,18,18,18,18,27635,FF,20210926,90.4,2.21,5.45,,641820,663465,single,hit_into_play,5.0,R,L,BAL,TEX,X,7.0,ground_ball,-0.25,2.5,Charlie Ramos,0.403,0.75,,in,in,r
19,19,19,19,19,27636,SI,20210926,87.4,-0.33,5.67,171.0,663993,664045,field_out,hit_into_play,14.0,L,R,BAL,TEX,X,5.0,ground_ball,1.05,2.24,Charlie Ramos,-0.061,0.05,0.7400000000000002,out,in,w
20,20,20,20,20,27637,SI,20210926,87.5,-0.19,5.78,253.0,663993,664045,,foul,3.0,L,R,BAL,TEX,S,,,0.81,2.99,Charlie Ramos,-0.024,0.1899999999999999,0.5099999999999998,in,in,r
21,21,21,21,21,27638,CH,20210926,81.7,-0.44,5.62,230.0,663993,664045,,called_strike,7.0,L,R,BAL,TEX,S,,,-0.67,1.98,Charlie Ramos,-0.018,0.3299999999999999,0.48,in,in,r
22,22,22,22,22,27639,SI,20210926,87.0,-0.42,5.67,192.0,666969,664045,strikeout,swinging_strike,11.0,R,R,BAL,TEX,S,2.0,,-0.88,2.76,Charlie Ramos,-0.142,0.12,0.7400000000000002,in,in,r
23,23,23,23,23,27640,CH,20210926,79.8,-0.38,5.69,228.0,666969,664045,,ball,11.0,R,R,BAL,TEX,B,,,-1.39,3.44,Charlie Ramos,0.028,0.3899999999999999,0.06,out,in,r
24,24,24,24,24,27641,SI,20210926,88.0,-0.4,5.7,202.0,666969,664045,,foul,13.0,R,R,BAL,TEX,S,,,-1.12,2.05,Charlie Ramos,0.0,0.1200000000000001,0.5499999999999998,out,in,r
25,25,25,25,25,27642,SL,20210926,78.8,-0.59,5.67,118.0,666969,664045,,foul,8.0,R,R,BAL,TEX,S,,,-0.19,1.62,Charlie Ramos,0.0,0.81,0.1200000000000001,in,in,r
26,26,26,26,26,27643,SI,20210926,86.8,-0.46,5.7,191.0,666969,664045,,foul,13.0,R,R,BAL,TEX,S,,,-1.07,2.31,Charlie Ramos,-0.043,0.07,0.81,out,in,r
27,27,27,27,27,27644,SL,20210926,78.2,-0.57,5.69,102.0,666969,664045,,ball,14.0,R,R,BAL,TEX,B,,,1.45,1.49,Charlie Ramos,0.021,0.4499999999999999,0.01,out,out,r
28,28,28,28,28,27645,SI,20210926,87.8,-0.48,5.72,,666969,664045,,called_strike,8.0,R,R,BAL,TEX,S,,,0.16,1.71,Charlie Ramos,-0.027,0.84,0.2099999999999999,in,in,r
29,29,29,29,29,27646,SI,20210926,87.1,-0.46,5.67,203.0,643396,664045,field_out,hit_into_play,8.0,R,R,BAL,TEX,X,4.0,ground_ball,-0.21,1.87,Charlie Ramos,-0.349,0.79,0.3700000000000001,in,in,r
30,30,30,30,30,27647,SI,20210926,87.0,-0.48,5.74,200.0,643396,664045,,ball,13.0,R,R,BAL,TEX,B,,,-0.97,1.62,Charlie Ramos,0.07,0.03,0.1200000000000001,in,in,w
31,31,31,31,31,27648,SI,20210926,86.0,-0.56,5.69,200.0,643396,664045,,ball,11.0,R,R,BAL,TEX,B,,,-1.09,2.37,Charlie Ramos,0.038,0.09,0.8700000000000001,out,in,r
32,32,32,32,32,27649,SL,20210926,84.3,-1.83,5.23,60.0,623993,607359,field_out,hit_into_play,7.0,L,R,BAL,TEX,X,1.0,ground_ball,-0.63,1.64,Charlie Ramos,-0.073,0.37,0.1399999999999999,in,in,r
33,33,33,33,33,27650,SL,20210926,84.3,-1.82,5.24,97.0,623993,607359,,foul,14.0,L,R,BAL,TEX,S,,,0.41,1.43,Charlie Ramos,0.0,0.5900000000000001,0.07,in,out,r
34,34,34,34,34,27651,FF,20210926,94.0,-1.7,5.25,217.0,623993,607359,,ball,11.0,L,R,BAL,TEX,B,,,-1.96,3.12,Charlie Ramos,0.011,0.96,0.3799999999999999,out,in,r
35,35,35,35,35,27652,FS,20210926,87.4,-1.73,5.16,242.0,623993,607359,,swinging_strike,13.0,L,R,BAL,TEX,S,,,-0.24,0.34,Charlie Ramos,-0.024,0.76,1.16,in,out,r
36,36,36,36,36,27653,FF,20210926,93.8,-1.75,5.34,214.0,623993,607359,,swinging_strike,4.0,L,R,BAL,TEX,S,,,-0.3,2.29,Charlie Ramos,-0.018,0.7,0.79,in,in,r
37,37,37,37,37,27654,FF,20210926,94.4,-1.62,5.34,217.0,669720,607359,strikeout,swinging_strike,6.0,R,R,BAL,TEX,S,2.0,,0.3,2.67,Charlie Ramos,-0.101,0.7,0.8300000000000001,in,in,r
38,38,38,38,38,27655,FF,20210926,94.7,-1.62,5.29,217.0,669720,607359,,called_strike,5.0,R,R,BAL,TEX,S,,,0.24,2.11,Charlie Ramos,-0.035,0.76,0.6099999999999999,in,in,r
39,39,39,39,39,27656,FF,20210926,94.5,-1.6,5.31,215.0,669720,607359,,foul,1.0,R,R,BAL,TEX,S,,,-0.67,3.24,Charlie Ramos,-0.027,0.3299999999999999,0.2599999999999998,in,in,r
40,40,40,40,40,27657,SL,20210926,85.7,-1.85,5.19,72.0,663624,607359,field_out,hit_into_play,14.0,R,R,BAL,TEX,X,9.0,fly_ball,0.73,1.4,Charlie Ramos,-0.317,0.27,0.1,in,out,w
41,41,41,41,41,27658,SL,20210926,84.3,-1.85,5.25,61.0,663624,607359,,ball,14.0,R,R,BAL,TEX,B,,,1.83,1.05,Charlie Ramos,0.101,0.8300000000000001,0.4499999999999999,out,out,r
42,42,42,42,42,27659,FF,20210926,94.2,-1.64,5.33,219.0,663624,607359,,ball,12.0,R,R,BAL,TEX,B,,,0.94,3.65,Charlie Ramos,0.043,0.06,0.1499999999999999,in,out,r
43,43,43,43,43,27660,FF,20210926,93.1,-1.47,5.31,,663624,607359,,foul,1.0,R,R,BAL,TEX,S,,,-0.79,3.44,Charlie Ramos,0.0,0.2099999999999999,0.06,in,in,r
44,44,44,44,44,27661,SL,20210926,84.6,-1.83,5.29,70.0,663624,607359,,foul,14.0,R,R,BAL,TEX,S,,,0.84,2.08,Charlie Ramos,-0.057,0.16,0.5800000000000001,in,in,r
45,45,45,45,45,27662,SL,20210926,83.5,-1.86,5.26,86.0,663624,607359,,foul,9.0,R,R,BAL,TEX,S,,,0.55,1.62,Charlie Ramos,-0.049,0.4499999999999999,0.1200000000000001,in,in,r
46,46,46,46,46,27663,FF,20210926,93.1,-1.75,5.35,221.0,663624,607359,,ball,13.0,R,R,BAL,TEX,B,,,-1.12,2.37,Charlie Ramos,0.038,0.1200000000000001,0.8700000000000001,out,in,r
47,47,47,47,47,27664,SI,20210926,90.9,0.46,6.3,152.0,660634,472551,grounded_into_double_play,hit_into_play,4.0,R,L,BAL,TEX,X,6.0,ground_ball,-0.43,2.16,Charlie Ramos,-0.428,0.5700000000000001,0.6600000000000001,in,in,r
48,48,48,48,48,27665,FF,20210926,93.9,0.65,6.19,240.0,660634,472551,,ball,14.0,R,L,BAL,TEX,B,,,0.51,0.81,Charlie Ramos,0.117,0.49,0.69,in,out,r
49,49,49,49,49,27666,FF,20210926,93.4,0.68,6.27,143.0,660634,472551,,ball,12.0,R,L,BAL,TEX,B,,,1.5,3.37,Charlie Ramos,0.051,0.5,0.1299999999999999,out,in,r
50,50,50,50,50,27667,KC,20210926,74.6,0.89,6.44,330.0,660634,472551,,blocked_ball,13.0,R,L,BAL,TEX,B,,,-0.59,0.1,Charlie Ramos,0.022,0.41,1.4,in,out,r
51,51,51,51,51,27668,CH,20210926,78.4,0.75,6.47,157.0,660634,472551,,foul,5.0,R,L,BAL,TEX,S,,,0.08,2.06,Charlie Ramos,-0.064,0.92,0.56,in,in,r
52,52,52,52,52,27669,SI,20210926,90.6,0.72,6.45,142.0,660634,472551,,foul,9.0,R,L,BAL,TEX,S,,,0.48,1.68,Charlie Ramos,-0.048,0.52,0.1799999999999999,in,in,r
53,53,53,53,53,27670,SI,20210926,90.9,0.69,6.37,145.0,665750,472551,fielders_choice_out,hit_into_play,9.0,R,L,BAL,TEX,X,1.0,ground_ball,0.37,2.07,Charlie Ramos,-0.351,0.63,0.5699999999999998,in,in,r
54,54,54,54,54,27671,SI,20210926,92.1,0.85,6.55,146.0,665750,472551,,ball,14.0,R,L,BAL,TEX,B,,,1.84,1.9,Charlie Ramos,0.054,0.8400000000000001,0.3999999999999999,out,in,r
55,55,55,55,55,27672,KC,20210926,76.9,0.85,6.26,314.0,518586,472551,double,hit_into_play,8.0,R,L,BAL,TEX,X,7.0,line_drive,-0.14,1.77,Charlie Ramos,0.762,0.86,0.27,in,in,r
56,56,56,56,56,27673,KC,20210926,78.3,0.66,6.26,335.0,518586,472551,,blocked_ball,13.0,R,L,BAL,TEX,B,,,-1.97,0.77,Charlie Ramos,0.093,0.97,0.73,out,out,r
57,57,57,57,57,27674,CH,20210926,80.1,0.74,6.43,148.0,518586,472551,,ball,14.0,R,L,BAL,TEX,B,,,0.91,1.28,Charlie Ramos,0.023,0.0899999999999999,0.2199999999999999,in,out,r
58,58,58,58,58,27675,CH,20210926,76.5,0.99,6.46,146.0,518586,472551,,ball,12.0,R,L,BAL,TEX,B,,,1.82,2.49,Charlie Ramos,-0.007,0.8200000000000001,0.9900000000000002,out,in,r
59,59,59,59,59,27676,SI,20210926,93.1,0.76,6.42,150.0,518586,472551,,foul,14.0,R,L,BAL,TEX,S,,,1.12,1.83,Charlie Ramos,-0.061,0.1200000000000001,0.33,out,in,r
60,60,60,60,60,27677,KC,20210926,78.2,0.89,6.48,333.0,518586,472551,,foul,7.0,R,L,BAL,TEX,S,,,-0.78,1.48,Charlie Ramos,-0.067,0.2199999999999999,0.02,in,out,r
61,61,61,61,61,27678,SI,20210926,92.9,0.37,6.38,153.0,641432,472551,triple,hit_into_play,4.0,L,L,BAL,TEX,X,9.0,line_drive,-0.34,2.23,Charlie Ramos,1.645,0.6599999999999999,0.73,in,in,r
62,62,62,62,62,27679,SI,20210926,93.4,0.56,6.27,142.0,641432,472551,,ball,8.0,L,L,BAL,TEX,B,,,-0.06,1.5,Charlie Ramos,0.258,0.94,0.0,in,in,w
63,63,63,63,63,27680,SI,20210926,93.9,0.34,6.27,149.0,641432,472551,,ball,13.0,L,L,BAL,TEX,B,,,-0.99,1.18,Charlie Ramos,0.096,0.01,0.32,in,out,r
64,64,64,64,64,27681,SI,20210926,93.7,0.32,6.38,146.0,641432,472551,,ball,13.0,L,L,BAL,TEX,B,,,-1.3,2.11,Charlie Ramos,0.064,0.3,0.6099999999999999,out,in,r
65,65,65,65,65,27682,SI,20210926,91.9,0.48,6.35,139.0,641432,472551,,foul_tip,7.0,L,L,BAL,TEX,S,,,-0.55,1.77,Charlie Ramos,-0.113,0.4499999999999999,0.27,in,in,r
66,66,66,66,66,27683,SI,20210926,91.3,0.66,6.32,141.0,641432,472551,,called_strike,7.0,L,L,BAL,TEX,S,,,-0.79,2.05,Charlie Ramos,-0.1,0.2099999999999999,0.5499999999999998,in,in,r
67,67,67,67,67,27684,SI,20210926,95.8,-1.89,5.85,230.0,624431,641632,walk,blocked_ball,14.0,R,R,BAL,TEX,B,,,1.19,0.69,Charlie Ramos,0.504,0.1899999999999999,0.81,out,out,r
68,68,68,68,68,27685,SI,20210926,96.4,-1.83,6.04,233.0,624431,641632,,foul,6.0,R,R,BAL,TEX,S,,,0.6,2.13,Charlie Ramos,0.0,0.4,0.6299999999999999,in,in,r
69,69,69,69,69,27686,SL,20210926,85.0,-1.86,6.1,148.0,624431,641632,,foul,4.0,R,R,BAL,TEX,S,,,-0.46,2.52,Charlie Ramos,0.0,0.54,0.98,in,in,r
70,70,70,70,70,27687,SL,20210926,84.7,-1.95,6.03,157.0,624431,641632,,ball,12.0,R,R,BAL,TEX,B,,,1.25,2.89,Charlie Ramos,0.172,0.25,0.6099999999999999,out,in,r
71,71,71,71,71,27688,FF,20210926,97.9,-1.69,6.22,227.0,624431,641632,,foul,11.0,R,R,BAL,TEX,S,,,-2.01,3.09,Charlie Ramos,0.0,1.0099999999999998,0.4100000000000001,out,in,r
72,72,72,72,72,27689,CU,20210926,78.7,-1.74,6.34,62.0,624431,641632,,foul,7.0,R,R,BAL,TEX,S,,,-0.43,2.03,Charlie Ramos,-0.109,0.5700000000000001,0.5299999999999998,in,in,r
73,73,73,73,73,27690,SI,20210926,94.9,-2.06,5.97,230.0,624431,641632,,ball,13.0,R,R,BAL,TEX,B,,,-1.13,1.51,Charlie Ramos,0.076,0.1299999999999999,0.01,out,in,r
74,74,74,74,74,27691,FF,20210926,94.0,-2.01,5.96,233.0,624431,641632,,swinging_strike,2.0,R,R,BAL,TEX,S,,,-0.24,2.93,Charlie Ramos,-0.073,0.76,0.5699999999999998,in,in,r
75,75,75,75,75,27692,CU,20210926,79.0,-1.62,6.27,58.0,624431,641632,,blocked_ball,14.0,R,R,BAL,TEX,B,,,1.34,0.77,Charlie Ramos,0.055,0.3400000000000001,0.73,out,out,r
76,76,76,76,76,27693,SI,20210926,94.9,-1.64,6.12,226.0,628451,641632,single,hit_into_play,7.0,R,R,BAL,TEX,X,6.0,ground_ball,-0.28,1.81,Charlie Ramos,0.441,0.72,0.31,in,in,r
77,77,77,77,77,27694,FF,20210926,94.8,-1.79,6.13,230.0,628451,641632,,called_strike,5.0,R,R,BAL,TEX,S,,,-0.18,2.38,Charlie Ramos,-0.038,0.8200000000000001,0.8799999999999999,in,in,r
78,78,78,78,78,27695,SL,20210926,81.8,-2.24,5.88,63.0,663630,642701,strikeout,swinging_strike,4.0,R,R,BAL,TEX,S,2.0,,-0.47,2.21,Charlie Ramos,-0.459,0.53,0.71,in,in,r
