,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
17087,14542,CU,20200924,65.1,-1.02,6.21,213.0,669720,624407,home_run,hit_into_play,7.0,R,R,BOS,BAL,X,,fly_ball,-0.54,1.75,Ryan Wills,1.0
17088,14543,FF,20200924,91.3,-2.8,5.98,214.0,660620,542888,strikeout,swinging_strike,11.0,L,R,BOS,BAL,S,2.0,,-1.0,2.75,Ryan Wills,-0.135
17089,14544,FF,20200924,91.7,-2.82,6.0,218.0,660620,542888,,foul,1.0,L,R,BOS,BAL,S,,,-0.72,2.77,Ryan Wills,0.0
17090,14545,SL,20200924,79.9,-2.57,6.24,74.0,660620,542888,,ball,11.0,L,R,BOS,BAL,B,,,-2.35,3.64,Ryan Wills,0.039
17091,14546,FF,20200924,93.5,-2.67,6.05,206.0,660620,542888,,foul,8.0,L,R,BOS,BAL,S,,,-0.04,2.05,Ryan Wills,0.0
17092,14547,FF,20200924,94.2,-2.65,6.08,207.0,660620,542888,,ball,11.0,L,R,BOS,BAL,B,,,-0.83,4.21,Ryan Wills,0.018
17093,14548,FF,20200924,93.1,-2.82,6.11,206.0,660620,542888,,ball,11.0,L,R,BOS,BAL,B,,,-1.47,4.52,Ryan Wills,0.011
17094,14549,SL,20200924,81.7,-2.55,6.19,64.0,660620,542888,,swinging_strike,14.0,L,R,BOS,BAL,S,,,0.27,0.72,Ryan Wills,-0.027
17095,14550,FF,20200924,93.0,-2.75,6.05,209.0,660620,542888,,called_strike,7.0,L,R,BOS,BAL,S,,,-0.47,1.58,Ryan Wills,-0.017
17096,14551,FF,20200924,92.5,-2.58,6.1,207.0,657077,542888,field_out,hit_into_play,6.0,L,R,BOS,BAL,X,9.0,line_drive,0.61,2.28,Ryan Wills,-0.118
17097,14552,SL,20200924,80.3,-2.65,6.19,74.0,657077,542888,,ball,13.0,L,R,BOS,BAL,B,,,-1.06,1.49,Ryan Wills,0.015
17098,14553,FF,20200924,93.6,-2.65,6.06,207.0,657077,542888,,foul,6.0,L,R,BOS,BAL,S,,,0.43,2.47,Ryan Wills,-0.039
17099,14554,SL,20200924,80.1,-2.59,6.25,68.0,657077,542888,,called_strike,7.0,L,R,BOS,BAL,S,,,-0.48,2.15,Ryan Wills,-0.026
17100,14555,FF,20200924,91.6,-2.76,6.0,209.0,624414,542888,field_out,hit_into_play,1.0,R,R,BOS,BAL,X,8.0,fly_ball,-0.63,2.77,Ryan Wills,-0.291
17101,14556,FF,20200924,92.5,-2.81,6.01,216.0,624414,542888,,ball,11.0,R,R,BOS,BAL,B,,,-0.83,3.27,Ryan Wills,0.041
17102,14557,SI,20200924,92.0,-1.77,4.47,246.0,600474,570488,force_out,hit_into_play,8.0,R,R,BOS,BAL,X,6.0,ground_ball,-0.01,1.89,Ryan Wills,-0.521
17103,14558,SI,20200924,93.1,-1.73,4.45,245.0,600474,570488,,ball,12.0,R,R,BOS,BAL,B,,,0.91,3.1,Ryan Wills,0.055
17104,14559,SI,20200924,92.6,-1.89,4.43,252.0,663624,570488,single,hit_into_play,5.0,R,R,BOS,BAL,X,8.0,ground_ball,-0.14,2.76,Ryan Wills,0.897
17105,14560,CH,20200924,84.8,-1.89,4.49,257.0,592407,570488,walk,ball,11.0,R,R,BOS,BAL,B,,,-1.87,2.9,Ryan Wills,0.2
17106,14561,SI,20200924,90.6,-1.83,4.37,252.0,592407,570488,,foul,1.0,R,R,BOS,BAL,S,,,-0.31,2.97,Ryan Wills,-0.084
17107,14562,SI,20200924,91.3,-1.92,4.36,247.0,592407,570488,,ball,14.0,R,R,BOS,BAL,B,,,1.45,1.34,Ryan Wills,0.082
17108,14563,SI,20200924,92.7,-1.68,4.41,252.0,592407,570488,,ball,14.0,R,R,BOS,BAL,B,,,1.1,1.95,Ryan Wills,0.046
17109,14564,CH,20200924,85.6,-2.03,4.53,250.0,592407,570488,,ball,11.0,R,R,BOS,BAL,B,,,-1.77,2.95,Ryan Wills,0.023
17110,14565,SI,20200924,92.5,-1.78,4.39,253.0,592407,570488,,swinging_strike,13.0,R,R,BOS,BAL,S,,,-0.32,1.13,Ryan Wills,-0.041
17111,14566,CH,20200924,85.2,-2.14,4.66,247.0,593643,570488,hit_by_pitch,hit_by_pitch,11.0,R,R,BOS,BAL,B,,,-2.63,3.33,Ryan Wills,0.139
17112,14567,CH,20200924,86.4,-2.17,4.44,255.0,656775,570488,field_out,hit_into_play,13.0,L,R,BOS,BAL,X,4.0,ground_ball,-1.05,1.84,Ryan Wills,-0.162
17113,14568,CH,20200924,87.1,-2.07,4.46,255.0,656775,570488,,ball,14.0,L,R,BOS,BAL,B,,,1.39,1.2,Ryan Wills,0.02
17114,14569,SI,20200924,92.4,-2.02,4.45,251.0,656775,570488,,called_strike,2.0,L,R,BOS,BAL,S,,,-0.25,2.84,Ryan Wills,-0.026
17115,14570,SI,20200924,97.8,-1.98,5.44,228.0,602104,593619,field_out,hit_into_play,5.0,R,R,BOS,BAL,X,1.0,line_drive,0.0,2.56,Ryan Wills,-0.291
17116,14571,FF,20200924,97.7,-1.99,5.53,236.0,602104,593619,,ball,1.0,R,R,BOS,BAL,B,,,-0.74,3.27,Ryan Wills,0.041
17117,14572,SI,20200924,92.9,-1.87,6.05,213.0,656308,502171,grounded_into_double_play,hit_into_play,13.0,R,R,BOS,BAL,X,6.0,ground_ball,-0.89,2.0,Ryan Wills,-0.653
17118,14573,FS,20200924,87.7,-2.0,6.04,222.0,666915,502171,strikeout,swinging_strike,13.0,R,R,BOS,BAL,S,2.0,,-0.42,1.28,Ryan Wills,-0.41
17119,14574,SI,20200924,92.1,-1.86,6.1,210.0,666915,502171,,foul_tip,7.0,R,R,BOS,BAL,S,,,-0.46,2.09,Ryan Wills,-0.078
17120,14575,KC,20200924,81.3,-1.85,6.09,32.0,666915,502171,,called_strike,5.0,R,R,BOS,BAL,S,,,-0.07,3.0,Ryan Wills,-0.096
17121,14576,FS,20200924,86.2,-2.02,6.2,232.0,598265,502171,field_error,hit_into_play,8.0,L,R,BOS,BAL,X,6.0,ground_ball,-0.06,1.83,Ryan Wills,0.66
17122,14577,FS,20200924,86.0,-1.93,6.18,232.0,598265,502171,,ball,11.0,L,R,BOS,BAL,B,,,-0.64,3.81,Ryan Wills,0.039
17123,14578,SI,20200924,92.5,-1.87,6.15,211.0,543877,502171,single,hit_into_play,4.0,R,R,BOS,BAL,X,8.0,fly_ball,-0.48,2.46,Ryan Wills,0.439
17124,14579,SI,20200924,93.1,-1.74,6.07,211.0,543877,502171,,called_strike,9.0,R,R,BOS,BAL,S,,,0.36,2.0,Ryan Wills,-0.042
17125,14580,CU,20200924,80.5,-1.94,6.28,63.0,547004,592229,field_out,hit_into_play,5.0,L,R,BOS,BAL,X,6.0,ground_ball,-0.19,2.27,Ryan Wills,-0.135
17126,14581,CH,20200924,83.3,-1.88,6.33,223.0,547004,592229,,ball,11.0,L,R,BOS,BAL,B,,,-1.43,3.32,Ryan Wills,0.039
17127,14582,CU,20200924,79.7,-1.85,6.22,46.0,547004,592229,,ball,14.0,L,R,BOS,BAL,B,,,1.0,-0.53,Ryan Wills,0.018
17128,14583,CU,20200924,79.8,-1.85,6.27,33.0,547004,592229,,swinging_strike,14.0,L,R,BOS,BAL,S,,,0.4,0.85,Ryan Wills,-0.029
17129,14584,SL,20200924,85.8,-1.9,6.3,156.0,547004,592229,,ball,11.0,L,R,BOS,BAL,B,,,-0.98,4.03,Ryan Wills,0.013
17130,14585,CH,20200924,82.7,-1.94,6.32,228.0,547004,592229,,swinging_strike,13.0,L,R,BOS,BAL,S,,,-1.0,1.78,Ryan Wills,-0.017
17131,14586,CU,20200924,80.5,-1.82,6.29,55.0,642162,592229,home_run,hit_into_play,5.0,R,R,BOS,BAL,X,,fly_ball,-0.1,2.62,Ryan Wills,1.0
