,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,0,0,870,FC,20200927,91.1,-1.56,6.19,159.0,660271,445276,field_out,hit_into_play,3.0,L,R,LAD,LAA,X,3.0,ground_ball,0.56,3.14,Malachi Moore,-0.108,0.4399999999999999,0.3599999999999999,in,in,r
1,1,1,1,1,871,FC,20200927,89.5,-1.66,6.18,161.0,660271,445276,,called_strike,9.0,L,R,LAD,LAA,S,,,0.65,2.12,Malachi Moore,-0.022,0.35,0.6200000000000001,in,in,r
2,2,2,2,2,872,FC,20200927,89.2,-1.73,6.17,155.0,660271,445276,,ball,14.0,L,R,LAD,LAA,B,,,1.2,1.62,Malachi Moore,0.018,0.1999999999999999,0.1200000000000001,out,in,r
3,3,3,3,3,873,SI,20200927,90.1,-1.25,6.17,175.0,621493,445276,strikeout,swinging_strike,2.0,R,R,LAD,LAA,S,2.0,,0.26,3.15,Malachi Moore,-0.118,0.74,0.3500000000000001,in,in,r
4,4,4,4,4,874,FC,20200927,88.8,-1.56,6.24,150.0,621493,445276,,ball,12.0,R,R,LAD,LAA,B,,,0.04,3.72,Malachi Moore,0.015,0.96,0.2200000000000002,in,out,r
5,5,5,5,5,875,SL,20200927,81.6,-1.89,6.17,72.0,621493,445276,,foul,7.0,R,R,LAD,LAA,S,,,-0.83,1.87,Malachi Moore,-0.039,0.17,0.3700000000000001,in,in,r
6,6,6,6,6,876,FC,20200927,89.0,-1.69,6.25,169.0,621493,445276,,called_strike,2.0,R,R,LAD,LAA,S,,,0.15,3.41,Malachi Moore,-0.026,0.85,0.0899999999999998,in,in,r
7,7,7,7,7,877,FC,20200927,89.0,-1.69,6.22,151.0,665120,445276,field_out,hit_into_play,6.0,L,R,LAD,LAA,X,8.0,line_drive,0.44,2.19,Malachi Moore,-0.291,0.56,0.69,in,in,r
8,8,8,8,8,878,FC,20200927,88.7,-1.8,6.22,167.0,665120,445276,,ball,1.0,L,R,LAD,LAA,B,,,-0.72,3.47,Malachi Moore,0.041,0.28,0.0299999999999998,in,in,w
9,9,9,9,9,879,SL,20200927,88.9,-0.89,4.96,186.0,571771,570663,field_out,hit_into_play,7.0,R,R,LAD,LAA,X,5.0,ground_ball,-0.69,1.99,Malachi Moore,-0.095,0.31,0.49,in,in,r
10,10,10,10,10,880,FF,20200927,95.4,-0.85,5.04,221.0,571771,570663,,called_strike,9.0,R,R,LAD,LAA,S,,,0.38,1.83,Malachi Moore,-0.017,0.62,0.33,in,in,r
11,11,11,11,11,881,CH,20200927,88.8,-0.75,5.11,224.0,621035,570663,strikeout,swinging_strike,14.0,R,R,LAD,LAA,S,2.0,,0.35,1.27,Malachi Moore,-0.208,0.65,0.2299999999999999,in,out,r
12,12,12,12,12,882,FF,20200927,96.4,-0.83,4.91,222.0,621035,570663,,ball,14.0,R,R,LAD,LAA,B,,,1.18,2.05,Malachi Moore,0.06,0.1799999999999999,0.5499999999999998,out,in,r
13,13,13,13,13,883,FF,20200927,96.2,-0.91,5.16,226.0,621035,570663,,ball,11.0,R,R,LAD,LAA,B,,,-0.28,3.81,Malachi Moore,0.03,0.72,0.31,in,out,r
14,14,14,14,14,884,FF,20200927,95.5,-0.95,5.0,214.0,621035,570663,,foul_tip,6.0,R,R,LAD,LAA,S,,,0.3,2.25,Malachi Moore,-0.044,0.7,0.75,in,in,r
15,15,15,15,15,885,CH,20200927,88.5,-1.09,5.07,238.0,621035,570663,,ball,13.0,R,R,LAD,LAA,B,,,-0.59,0.66,Malachi Moore,0.02,0.41,0.84,in,out,r
16,16,16,16,16,886,SL,20200927,90.4,-1.08,5.11,184.0,621035,570663,,foul,8.0,R,R,LAD,LAA,S,,,-0.07,1.75,Malachi Moore,-0.026,0.93,0.25,in,in,r
17,17,17,17,17,887,SL,20200927,88.4,-0.97,5.09,180.0,669257,570663,field_out,hit_into_play,4.0,R,R,LAD,LAA,X,6.0,ground_ball,-0.43,2.58,Malachi Moore,-0.209,0.5700000000000001,0.92,in,in,r
18,18,18,18,18,888,SI,20200927,94.6,-1.13,5.1,268.0,669257,570663,,called_strike,6.0,R,R,LAD,LAA,S,,,0.77,2.06,Malachi Moore,-0.042,0.2299999999999999,0.56,in,in,r
19,19,19,19,19,889,SI,20200927,99.4,-1.47,6.39,224.0,664058,660813,field_out,hit_into_play,4.0,R,R,LAD,LAA,X,1.0,ground_ball,-0.5,2.67,Malachi Moore,-0.096,0.5,0.8300000000000001,in,in,r
20,20,20,20,20,890,SL,20200927,91.9,-1.67,6.37,120.0,664058,660813,,foul,4.0,R,R,LAD,LAA,S,,,-0.29,2.35,Malachi Moore,0.0,0.71,0.8500000000000001,in,in,r
21,21,21,21,21,891,SI,20200927,99.2,-1.34,6.51,216.0,664058,660813,,foul,5.0,R,R,LAD,LAA,S,,,-0.22,2.62,Malachi Moore,-0.032,0.78,0.8799999999999999,in,in,r
22,22,22,22,22,892,SI,20200927,100.2,-1.35,6.48,214.0,664058,660813,,called_strike,6.0,R,R,LAD,LAA,S,,,0.37,2.31,Malachi Moore,-0.028,0.63,0.81,in,in,r
23,23,23,23,23,893,SL,20200927,90.4,-1.47,6.34,82.0,664058,660813,,ball,14.0,R,R,LAD,LAA,B,,,1.7,2.0,Malachi Moore,0.027,0.7,0.5,out,in,r
24,24,24,24,24,894,SI,20200927,100.4,-1.59,6.3,217.0,664058,660813,,ball,11.0,R,R,LAD,LAA,B,,,-1.6,4.15,Malachi Moore,0.018,0.6000000000000001,0.6500000000000004,out,out,r
25,25,25,25,25,895,SI,20200927,100.6,-1.57,6.22,220.0,519303,660813,field_out,hit_into_play,6.0,R,R,LAD,LAA,X,3.0,ground_ball,0.54,2.59,Malachi Moore,-0.103,0.4599999999999999,0.91,in,in,r
26,26,26,26,26,896,SL,20200927,89.9,-1.55,6.43,69.0,519303,660813,,swinging_strike,8.0,R,R,LAD,LAA,S,,,0.23,1.39,Malachi Moore,-0.039,0.77,0.1100000000000001,in,out,r
27,27,27,27,27,897,SI,20200927,101.0,-1.46,6.36,214.0,519303,660813,,called_strike,2.0,R,R,LAD,LAA,S,,,-0.03,2.77,Malachi Moore,-0.026,0.97,0.73,in,in,r
28,28,28,28,28,898,SI,20200927,99.7,-1.59,6.26,217.0,663330,660813,strikeout,called_strike,3.0,R,R,LAD,LAA,S,2.0,,0.36,2.94,Malachi Moore,-0.215,0.64,0.56,in,in,r
29,29,29,29,29,899,SI,20200927,100.4,-1.31,6.45,214.0,663330,660813,,foul,6.0,R,R,LAD,LAA,S,,,0.34,2.38,Malachi Moore,-0.076,0.6599999999999999,0.8799999999999999,in,in,r
30,30,30,30,30,900,SL,20200927,92.2,-1.56,6.35,124.0,663330,660813,,ball,11.0,R,R,LAD,LAA,B,,,-1.03,3.14,Malachi Moore,0.051,0.03,0.3599999999999999,out,in,r
31,31,31,31,31,901,SI,20200927,100.5,-1.38,6.42,210.0,663330,660813,,foul,4.0,R,R,LAD,LAA,S,,,-0.36,2.75,Malachi Moore,-0.05,0.64,0.75,in,in,r
