Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,call
16288,FF,20200924,96.2,-1.03,6.19,197.0,607054,621052,,swinging_strike,11.0,L,R,STL,MIL,S,,,-0.31,3.48,Dan Merzel,-0.042,
16289,FF,20200924,95.2,-2.22,5.32,220.0,502671,605143,force_out,hit_into_play,1.0,R,R,STL,MIL,X,6.0,ground_ball,-0.8,3.14,Dan Merzel,-0.25,
16290,FF,20200924,95.3,-2.21,5.27,216.0,669242,605143,single,hit_into_play,8.0,L,R,STL,MIL,X,9.0,ground_ball,-0.15,1.88,Dan Merzel,0.143,
16291,FF,20200924,97.3,-2.19,5.4,213.0,669242,605143,,ball,11.0,L,R,STL,MIL,B,,,-0.84,2.72,Dan Merzel,0.013,w
16292,SL,20200924,79.1,-2.0,5.61,80.0,669242,605143,,called_strike,7.0,L,R,STL,MIL,S,,,-0.35,1.85,Dan Merzel,-0.017,r
16293,SL,20200924,81.5,-2.09,5.57,71.0,543939,605143,field_out,hit_into_play,5.0,L,R,STL,MIL,X,6.0,popup,-0.01,2.32,Dan Merzel,-0.162,
16294,FF,20200924,96.1,-2.33,5.28,218.0,543939,605143,,ball,11.0,L,R,STL,MIL,B,,,-2.42,2.93,Dan Merzel,0.02,r
16295,SL,20200924,80.8,-2.16,5.52,101.0,543939,605143,,called_strike,5.0,L,R,STL,MIL,S,,,-0.07,2.49,Dan Merzel,-0.026,r
16296,FF,20200924,95.5,-2.2,5.32,221.0,666185,605143,strikeout,called_strike,3.0,L,R,STL,MIL,S,2.0,,0.72,3.03,Dan Merzel,-0.215,r
16297,FF,20200924,95.6,-2.27,5.33,222.0,666185,605143,,called_strike,7.0,L,R,STL,MIL,S,,,-0.45,2.13,Dan Merzel,-0.076,r
16298,FF,20200924,93.0,-2.25,5.21,219.0,666185,605143,,foul,5.0,L,R,STL,MIL,S,,,0.08,2.39,Dan Merzel,-0.059,
16299,FF,20200924,94.7,-2.31,5.29,217.0,666185,605143,,ball,11.0,L,R,STL,MIL,B,,,-1.12,2.8,Dan Merzel,0.06,r
16300,FF,20200924,95.6,-2.32,5.36,219.0,666185,605143,,ball,11.0,L,R,STL,MIL,B,,,-2.1,4.41,Dan Merzel,0.041,r
16301,SL,20200924,86.2,-1.16,6.19,76.0,669374,621052,field_out,hit_into_play,5.0,R,R,STL,MIL,X,3.0,popup,0.08,2.51,Dan Merzel,-0.234,
16302,FF,20200924,97.5,-1.21,6.26,196.0,669374,621052,,ball,12.0,R,R,STL,MIL,B,,,0.11,3.88,Dan Merzel,0.023,r
16303,FF,20200924,97.8,-1.29,6.24,200.0,669374,621052,,swinging_strike,1.0,R,R,STL,MIL,S,,,-0.43,3.39,Dan Merzel,-0.041,
16304,FF,20200924,98.2,-1.31,6.3,200.0,576397,621052,walk,ball,11.0,R,R,STL,MIL,B,,,-1.84,5.18,Dan Merzel,0.116,r
16305,SL,20200924,88.2,-1.29,6.26,95.0,576397,621052,,ball,14.0,R,R,STL,MIL,B,,,0.53,0.06,Dan Merzel,0.039,r
16306,SL,20200924,87.5,-1.21,6.24,98.0,576397,621052,,ball,9.0,R,R,STL,MIL,B,,,0.81,1.4,Dan Merzel,0.018,r
16307,SL,20200924,87.1,-1.26,6.14,86.0,576397,621052,,swinging_strike,7.0,R,R,STL,MIL,S,,,-0.3,1.8,Dan Merzel,-0.029,
16308,FF,20200924,97.0,-1.09,6.24,201.0,576397,621052,,called_strike,2.0,R,R,STL,MIL,S,,,-0.25,2.63,Dan Merzel,-0.022,r
16309,FF,20200924,98.1,-1.2,6.25,202.0,576397,621052,,ball,11.0,R,R,STL,MIL,B,,,-0.57,3.47,Dan Merzel,0.018,w
16310,FF,20200924,99.2,-1.2,6.28,196.0,460075,621052,strikeout,foul_tip,11.0,R,R,STL,MIL,S,2.0,,-0.97,3.58,Dan Merzel,-0.148,
16311,FF,20200924,98.5,-1.31,6.27,204.0,460075,621052,,foul,1.0,R,R,STL,MIL,S,,,-0.61,3.05,Dan Merzel,0.0,
16312,SL,20200924,87.3,-1.23,6.21,22.0,460075,621052,,ball,14.0,R,R,STL,MIL,B,,,0.85,2.33,Dan Merzel,0.03,w
16313,SL,20200924,87.6,-1.25,6.23,66.0,460075,621052,,swinging_strike,14.0,R,R,STL,MIL,S,,,1.06,0.74,Dan Merzel,-0.044,
16314,CU,20200924,83.7,-1.2,6.22,18.0,460075,621052,,ball,14.0,R,R,STL,MIL,B,,,2.23,-1.25,Dan Merzel,0.02,r
16315,SL,20200924,87.3,-1.36,6.24,83.0,460075,621052,,called_strike,5.0,R,R,STL,MIL,S,,,0.19,2.93,Dan Merzel,-0.026,r
16316,FF,20200924,95.3,0.9,6.26,153.0,592885,650893,field_out,hit_into_play,12.0,L,L,STL,MIL,X,6.0,popup,0.84,2.74,Dan Merzel,-0.351,
16317,FF,20200924,95.8,0.98,6.32,154.0,592885,650893,,ball,11.0,L,L,STL,MIL,B,,,-0.18,3.7,Dan Merzel,0.06,r
16318,FF,20200924,95.9,1.13,6.24,151.0,592885,650893,,ball,11.0,L,L,STL,MIL,B,,,-1.25,3.0,Dan Merzel,0.041,r
16319,SI,20200924,97.3,-1.18,5.12,245.0,451594,623437,strikeout,swinging_strike,1.0,L,R,STL,MIL,S,2.0,,-0.49,3.04,Dan Merzel,-0.442,
16320,SL,20200924,83.5,-1.56,4.98,77.0,451594,623437,,ball,13.0,L,R,STL,MIL,B,,,-1.88,2.53,Dan Merzel,0.11,r
16321,SI,20200924,97.8,-1.33,5.12,246.0,451594,623437,,foul,5.0,L,R,STL,MIL,S,,,-0.06,2.63,Dan Merzel,0.0,
16322,SL,20200924,81.8,-1.35,5.19,65.0,451594,623437,,foul,14.0,L,R,STL,MIL,S,,,1.41,1.74,Dan Merzel,0.0,
16323,SL,20200924,83.5,-1.43,5.15,73.0,451594,623437,,foul,8.0,L,R,STL,MIL,S,,,0.26,2.18,Dan Merzel,0.0,
16324,SI,20200924,98.7,-1.09,5.2,243.0,451594,623437,,ball,14.0,L,R,STL,MIL,B,,,1.67,1.98,Dan Merzel,-0.013,r
16325,SI,20200924,97.5,-1.18,5.1,242.0,451594,623437,,called_strike,12.0,L,R,STL,MIL,S,,,0.85,3.25,Dan Merzel,-0.134,r
16326,SL,20200924,83.3,-1.45,5.15,66.0,451594,623437,,called_strike,7.0,L,R,STL,MIL,S,,,-0.32,2.25,Dan Merzel,-0.119,r
16327,SI,20200924,96.8,-1.23,5.09,243.0,657557,623437,double,hit_into_play,6.0,R,R,STL,MIL,X,9.0,line_drive,0.59,2.31,Dan Merzel,0.737,
16328,SL,20200924,83.3,-1.28,5.13,61.0,543543,623437,strikeout,swinging_strike,14.0,L,R,STL,MIL,S,2.0,,1.01,1.01,Dan Merzel,-0.206,
16329,SL,20200924,84.1,-1.41,5.02,84.0,543543,623437,,called_strike,2.0,L,R,STL,MIL,S,,,-0.26,2.84,Dan Merzel,-0.056,r
16330,SI,20200924,98.0,-1.22,5.05,248.0,543543,623437,,foul,6.0,L,R,STL,MIL,S,,,0.37,2.36,Dan Merzel,-0.062,
16331,SI,20200924,97.5,-1.04,5.15,240.0,543543,623437,,ball,12.0,L,R,STL,MIL,B,,,1.82,2.65,Dan Merzel,0.031,r
16332,SI,20200924,98.3,-1.2,5.11,239.0,425877,623437,single,hit_into_play,5.0,R,R,STL,MIL,X,8.0,line_drive,-0.14,2.26,Dan Merzel,0.285,
16333,SL,20200924,83.4,-1.34,5.05,71.0,425877,623437,,ball,14.0,R,R,STL,MIL,B,,,0.98,1.05,Dan Merzel,0.03,r
16334,SL,20200924,82.3,-1.38,5.14,62.0,425877,623437,,foul,14.0,R,R,STL,MIL,S,,,0.9,1.02,Dan Merzel,0.0,
16335,SI,20200924,98.6,-1.23,5.16,244.0,425877,623437,,foul,4.0,R,R,STL,MIL,S,,,-0.4,2.41,Dan Merzel,0.0,
16336,SI,20200924,98.3,-1.05,5.19,243.0,425877,623437,,ball,14.0,R,R,STL,MIL,B,,,1.39,2.5,Dan Merzel,0.015,r
16337,SL,20200924,83.4,-1.41,5.1,80.0,425877,623437,,swinging_strike,8.0,R,R,STL,MIL,S,,,0.11,1.86,Dan Merzel,-0.039,
16338,SI,20200924,98.2,-1.11,5.14,323.0,425877,623437,,foul,7.0,R,R,STL,MIL,S,,,-0.44,1.98,Dan Merzel,-0.026,
16339,SL,20200924,84.6,-1.49,5.09,72.0,572761,623437,strikeout,swinging_strike,9.0,L,R,STL,MIL,S,2.0,,0.82,1.81,Dan Merzel,-0.215,
16340,SI,20200924,98.3,-1.3,5.09,247.0,572761,623437,,foul,9.0,L,R,STL,MIL,S,,,0.38,2.06,Dan Merzel,0.0,
16341,SI,20200924,99.2,-1.06,5.22,250.0,572761,623437,,ball,12.0,L,R,STL,MIL,B,,,1.43,2.7,Dan Merzel,0.035,r
16342,SI,20200924,97.6,-1.11,5.22,236.0,572761,623437,,called_strike,3.0,L,R,STL,MIL,S,,,0.61,3.07,Dan Merzel,-0.06,r
16343,SL,20200924,84.1,-1.65,5.11,83.0,572761,623437,,ball,12.0,L,R,STL,MIL,B,,,0.88,2.84,Dan Merzel,0.032,w
16344,SI,20200924,97.8,-1.08,5.26,242.0,572761,623437,,called_strike,12.0,L,R,STL,MIL,S,,,0.86,2.89,Dan Merzel,-0.042,r
16345,CH,20200924,89.2,1.38,6.04,135.0,541645,650893,field_out,hit_into_play,14.0,R,L,STL,MIL,X,6.0,ground_ball,0.65,1.6,Dan Merzel,-0.284,
16346,CU,20200924,80.8,1.21,6.1,326.0,541645,650893,,ball,13.0,R,L,STL,MIL,B,,,-0.93,2.04,Dan Merzel,0.033,w
16347,CH,20200924,89.1,1.3,6.05,140.0,641924,650893,strikeout,foul_tip,13.0,R,L,STL,MIL,S,2.0,,-0.44,1.35,Dan Merzel,-0.206,
16348,FF,20200924,96.1,0.78,6.3,149.0,641924,650893,,ball,11.0,R,L,STL,MIL,B,,,-1.95,3.13,Dan Merzel,0.016,r
16349,FF,20200924,95.8,1.1,6.22,148.0,641924,650893,,foul_tip,1.0,R,L,STL,MIL,S,,,-0.58,3.06,Dan Merzel,-0.059,
16350,CH,20200924,89.5,1.4,6.07,134.0,641924,650893,,called_strike,12.0,R,L,STL,MIL,S,,,0.84,3.41,Dan Merzel,-0.044,r
16351,FF,20200924,95.6,0.72,6.35,152.0,649966,650893,single,hit_into_play,12.0,R,L,STL,MIL,X,4.0,ground_ball,1.11,3.6,Dan Merzel,0.285,
16352,FF,20200924,95.5,0.72,6.34,154.0,649966,650893,,ball,13.0,R,L,STL,MIL,B,,,-2.06,1.91,Dan Merzel,0.03,r
16353,CH,20200924,88.6,1.28,6.11,141.0,649966,650893,,swinging_strike,9.0,R,L,STL,MIL,S,,,0.57,1.85,Dan Merzel,-0.044,
16354,FF,20200924,96.3,0.96,6.24,151.0,649966,650893,,called_strike,5.0,R,L,STL,MIL,S,,,0.07,2.48,Dan Merzel,-0.033,r
16355,FF,20200924,96.6,1.19,6.22,148.0,649966,650893,,ball,11.0,R,L,STL,MIL,B,,,-1.08,3.03,Dan Merzel,0.027,r
16356,FF,20200924,96.7,1.17,6.25,144.0,606115,650893,field_out,hit_into_play,3.0,R,L,STL,MIL,X,9.0,line_drive,0.34,3.01,Dan Merzel,-0.25,
16357,SI,20200924,99.3,-1.13,5.2,239.0,502671,623437,strikeout,called_strike,6.0,R,R,STL,MIL,S,2.0,,0.56,2.81,Dan Merzel,-0.369,r
16358,SI,20200924,99.9,-1.11,5.19,243.0,502671,623437,,ball,14.0,R,R,STL,MIL,B,,,0.73,0.98,Dan Merzel,0.07,r
16359,SI,20200924,99.4,-1.22,5.2,237.0,502671,623437,,swinging_strike,14.0,R,R,STL,MIL,S,,,0.05,1.13,Dan Merzel,-0.07,
16360,SL,20200924,85.9,-1.34,5.06,66.0,502671,623437,,ball,14.0,R,R,STL,MIL,B,,,2.37,1.53,Dan Merzel,0.04,r
16361,SI,20200924,98.7,-1.27,5.17,239.0,502671,623437,,foul_tip,13.0,R,R,STL,MIL,S,,,-1.04,2.16,Dan Merzel,-0.025,
16362,SI,20200924,99.7,-1.2,5.28,242.0,502671,623437,,ball,3.0,R,R,STL,MIL,B,,,0.33,3.06,Dan Merzel,0.01,w
16363,KC,20200924,79.2,-2.56,6.07,40.0,669242,608349,field_out,hit_into_play,9.0,L,R,STL,MIL,X,4.0,ground_ball,0.73,1.81,Dan Merzel,-0.207,
16364,FF,20200924,95.0,-2.29,6.09,205.0,669242,608349,,called_strike,9.0,L,R,STL,MIL,S,,,0.66,1.76,Dan Merzel,-0.07,r
16365,KC,20200924,78.2,-2.67,6.0,48.0,669242,608349,,called_strike,8.0,L,R,STL,MIL,S,,,0.2,1.62,Dan Merzel,-0.045,r
16366,FF,20200924,94.5,-2.43,6.06,206.0,543939,608349,field_out,hit_into_play,3.0,L,R,STL,MIL,X,6.0,popup,0.5,3.14,Dan Merzel,-0.227,
16367,FF,20200924,94.0,-2.59,6.08,197.0,543939,608349,,foul_bunt,12.0,L,R,STL,MIL,S,,,0.42,3.97,Dan Merzel,-0.107,
16368,FF,20200924,93.7,-2.61,6.19,199.0,543939,608349,,ball,11.0,L,R,STL,MIL,B,,,-0.37,4.74,Dan Merzel,0.047,r
16369,FF,20200924,93.7,-2.62,6.11,199.0,543939,608349,,foul_bunt,4.0,L,R,STL,MIL,S,,,-0.29,2.09,Dan Merzel,-0.067,
16370,FF,20200924,95.7,-2.39,6.09,204.0,666185,608349,double,hit_into_play,5.0,L,R,STL,MIL,X,8.0,line_drive,-0.2,2.68,Dan Merzel,0.939,
16371,KC,20200924,79.2,-2.35,6.0,32.0,666185,608349,,blocked_ball,14.0,L,R,STL,MIL,B,,,1.25,0.22,Dan Merzel,0.16,r
16372,FF,20200924,94.2,-2.46,6.23,210.0,666185,608349,,ball,12.0,L,R,STL,MIL,B,,,1.1,4.32,Dan Merzel,0.069,r
16373,FF,20200924,93.6,-2.52,6.06,202.0,666185,608349,,swinging_strike,2.0,L,R,STL,MIL,S,,,-0.09,3.3,Dan Merzel,-0.08,
16374,FF,20200924,94.0,-2.54,6.1,200.0,666185,608349,,foul,2.0,L,R,STL,MIL,S,,,0.08,2.85,Dan Merzel,-0.071,
16375,FF,20200924,93.7,-2.5,6.1,200.0,666185,608349,,ball,11.0,L,R,STL,MIL,B,,,-0.32,3.95,Dan Merzel,0.039,r
16376,FF,20200924,95.8,-2.5,6.04,241.0,451594,608349,walk,ball,12.0,L,R,STL,MIL,B,,,0.56,4.2,Dan Merzel,0.332,r
16377,FF,20200924,95.1,-2.52,6.04,200.0,451594,608349,,ball,14.0,L,R,STL,MIL,B,,,0.78,1.23,Dan Merzel,0.103,r
16378,FF,20200924,95.3,-2.56,6.08,206.0,451594,608349,,ball,11.0,L,R,STL,MIL,B,,,-0.86,4.52,Dan Merzel,0.035,r
16379,KC,20200924,79.5,-2.52,6.01,339.0,451594,608349,,ball,14.0,L,R,STL,MIL,B,,,1.41,0.5,Dan Merzel,0.027,r
16380,FF,20200924,94.2,-2.54,6.08,182.0,451594,608349,,swinging_strike,11.0,L,R,STL,MIL,S,,,-0.17,3.81,Dan Merzel,-0.056,
16381,KC,20200924,77.7,-2.78,5.94,321.0,451594,608349,,called_strike,13.0,L,R,STL,MIL,S,,,-1.1,2.02,Dan Merzel,-0.042,w
16382,SL,20200924,88.2,-1.94,6.52,326.0,621438,606149,strikeout,swinging_strike_blocked,14.0,R,R,STL,MIL,S,2.0,,0.9,0.44,Dan Merzel,-0.078,
16383,SL,20200924,87.1,-2.1,6.6,27.0,621438,606149,,foul,8.0,R,R,STL,MIL,S,,,0.26,1.68,Dan Merzel,0.0,
16384,FF,20200924,93.2,-2.23,6.62,219.0,621438,606149,,ball,12.0,R,R,STL,MIL,B,,,0.0,4.21,Dan Merzel,0.011,r
16385,FF,20200924,93.8,-2.12,6.62,205.0,621438,606149,,called_strike,7.0,R,R,STL,MIL,S,,,-0.28,2.14,Dan Merzel,-0.027,r
16386,FF,20200924,94.7,-2.04,6.63,208.0,621438,606149,,called_strike,14.0,R,R,STL,MIL,S,,,1.01,1.89,Dan Merzel,-0.017,w
16387,SL,20200924,86.5,-2.08,6.53,338.0,669374,606149,strikeout,swinging_strike_blocked,14.0,R,R,STL,MIL,S,2.0,,0.81,0.34,Dan Merzel,-0.208,
16388,SL,20200924,86.9,-1.94,6.58,26.0,669374,606149,,ball,14.0,R,R,STL,MIL,B,,,1.06,-0.74,Dan Merzel,0.06,r
16389,FF,20200924,95.5,-1.93,6.65,206.0,669374,606149,,foul,14.0,R,R,STL,MIL,S,,,0.88,2.1,Dan Merzel,0.0,
16390,FF,20200924,94.9,-2.0,6.6,212.0,669374,606149,,foul,2.0,R,R,STL,MIL,S,,,0.21,3.04,Dan Merzel,0.0,
16391,SL,20200924,85.3,-2.01,6.6,41.0,669374,606149,,foul,6.0,R,R,STL,MIL,S,,,0.32,2.16,Dan Merzel,0.0,
16392,SL,20200924,87.5,-1.89,6.49,293.0,669374,606149,,ball,14.0,R,R,STL,MIL,B,,,1.14,-1.39,Dan Merzel,0.03,r
16393,SL,20200924,86.7,-2.07,6.58,334.0,669374,606149,,swinging_strike,14.0,R,R,STL,MIL,S,,,1.1,1.27,Dan Merzel,-0.044,
16394,SL,20200924,85.9,-2.04,6.58,47.0,669374,606149,,ball,13.0,R,R,STL,MIL,B,,,-0.32,0.07,Dan Merzel,0.02,r
16395,FF,20200924,95.5,-1.83,6.65,213.0,669374,606149,,foul,2.0,R,R,STL,MIL,S,,,0.08,3.1,Dan Merzel,-0.026,
16396,FF,20200924,94.8,-1.96,6.66,208.0,576397,606149,field_out,hit_into_play,5.0,R,R,STL,MIL,X,8.0,fly_ball,0.18,2.02,Dan Merzel,-0.215,
16397,FF,20200924,94.8,-2.02,6.65,213.0,576397,606149,,foul,11.0,R,R,STL,MIL,S,,,-0.3,3.32,Dan Merzel,0.0,
16398,SL,20200924,86.4,-2.21,6.52,101.0,576397,606149,,swinging_strike,13.0,R,R,STL,MIL,S,,,-0.14,1.13,Dan Merzel,-0.076,
16399,FF,20200924,95.1,-1.83,6.63,211.0,576397,606149,,ball,14.0,R,R,STL,MIL,B,,,1.54,2.12,Dan Merzel,0.051,r
16400,FF,20200924,93.9,-2.19,6.65,208.0,576397,606149,,ball,12.0,R,R,STL,MIL,B,,,0.05,4.27,Dan Merzel,0.032,r
16401,SL,20200924,87.0,-2.2,6.56,22.0,576397,606149,,called_strike,6.0,R,R,STL,MIL,S,,,0.29,2.33,Dan Merzel,-0.042,r
16402,SI,20200924,87.6,-2.65,2.58,296.0,657557,642233,field_out,hit_into_play,4.0,R,R,STL,MIL,X,4.0,popup,-0.61,2.61,Dan Merzel,-0.63,
16403,CU,20200924,73.9,-2.69,2.29,99.0,657557,642233,,ball,11.0,R,R,STL,MIL,B,,,-1.61,2.51,Dan Merzel,0.074,r
16404,SI,20200924,88.1,-2.79,2.57,299.0,543543,642233,force_out,hit_into_play,7.0,L,R,STL,MIL,X,4.0,ground_ball,-0.74,1.49,Dan Merzel,-0.614,
16405,CU,20200924,73.2,-2.8,2.29,102.0,543543,642233,,ball,13.0,L,R,STL,MIL,B,,,-1.59,1.69,Dan Merzel,0.079,r
16406,CU,20200924,74.2,-2.67,2.36,99.0,543543,642233,,ball,11.0,L,R,STL,MIL,B,,,-0.58,3.64,Dan Merzel,0.074,r
16407,CU,20200924,74.0,-2.74,2.37,93.0,543543,642233,,called_strike,11.0,L,R,STL,MIL,S,,,-1.06,2.54,Dan Merzel,-0.078,w
16408,SI,20200924,87.1,-2.62,2.49,295.0,425877,642233,field_out,hit_into_play,13.0,R,R,STL,MIL,X,4.0,popup,-2.02,2.01,Dan Merzel,-0.457,
16409,SI,20200924,87.5,-2.68,2.6,302.0,425877,642233,,foul,13.0,R,R,STL,MIL,S,,,-0.96,1.54,Dan Merzel,-0.091,
16410,SI,20200924,86.7,-2.69,2.55,301.0,572761,642233,walk,ball,13.0,L,R,STL,MIL,B,,,-1.39,1.19,Dan Merzel,0.341,r
16411,SI,20200924,88.4,-2.76,2.6,302.0,572761,642233,,ball,13.0,L,R,STL,MIL,B,,,-1.01,1.97,Dan Merzel,0.213,r
16412,SI,20200924,87.5,-2.65,2.59,295.0,572761,642233,,foul,8.0,L,R,STL,MIL,S,,,-0.23,1.77,Dan Merzel,-0.096,
16413,SI,20200924,87.6,-2.81,2.55,294.0,572761,642233,,blocked_ball,13.0,L,R,STL,MIL,B,,,-1.43,0.57,Dan Merzel,0.108,r
16414,CU,20200924,74.6,-2.68,2.34,85.0,572761,642233,,ball,12.0,L,R,STL,MIL,B,,,0.72,3.71,Dan Merzel,0.039,r
16415,SI,20200924,87.2,-2.67,2.48,350.0,502671,642233,walk,ball,14.0,R,R,STL,MIL,B,,,0.93,1.42,Dan Merzel,0.332,r
16416,SI,20200924,87.0,-2.72,2.61,298.0,502671,642233,,foul,13.0,R,R,STL,MIL,S,,,-0.73,1.51,Dan Merzel,-0.094,
16417,SI,20200924,85.8,-2.66,2.49,207.0,502671,642233,,ball,6.0,R,R,STL,MIL,B,,,0.81,2.27,Dan Merzel,0.122,w
16418,SI,20200924,87.2,-2.66,2.51,313.0,502671,642233,,ball,14.0,R,R,STL,MIL,B,,,0.14,1.02,Dan Merzel,0.051,r
16419,SI,20200924,87.3,-2.66,2.67,300.0,502671,642233,,ball,14.0,R,R,STL,MIL,B,,,1.21,1.86,Dan Merzel,0.032,r
16420,SI,20200924,88.0,-2.6,2.59,300.0,502671,642233,,called_strike,6.0,R,R,STL,MIL,S,,,0.35,2.31,Dan Merzel,-0.042,r
16421,SL,20200924,84.9,1.91,5.68,241.0,460075,547942,field_out,hit_into_play,4.0,R,L,STL,MIL,X,9.0,fly_ball,-0.3,2.56,Dan Merzel,-0.471,
16422,SL,20200924,84.4,1.64,5.76,226.0,460075,547942,,blocked_ball,13.0,R,L,STL,MIL,B,,,-0.94,-0.18,Dan Merzel,0.099,r
16423,FF,20200924,90.1,1.68,5.72,173.0,460075,547942,,foul,13.0,R,L,STL,MIL,S,,,-1.0,2.54,Dan Merzel,-0.113,
16424,SL,20200924,83.2,1.86,5.69,236.0,460075,547942,,called_strike,9.0,R,L,STL,MIL,S,,,0.63,2.09,Dan Merzel,-0.105,r
16425,FF,20200924,89.8,1.61,5.72,173.0,460075,547942,,ball,13.0,R,L,STL,MIL,B,,,-1.42,2.38,Dan Merzel,0.061,r
