Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,call
16258,SL,20200924,80.3,2.64,5.51,290.0,592885,453192,strikeout,swinging_strike,6.0,L,L,STL,MIL,S,2.0,,0.58,2.79,Dan Merzel,-0.471,
16259,FF,20200924,89.3,2.79,5.42,125.0,592885,453192,,ball,11.0,L,L,STL,MIL,B,,,-0.93,2.64,Dan Merzel,0.099,w
16260,SL,20200924,81.3,2.93,5.09,277.0,592885,453192,,foul,8.0,L,L,STL,MIL,S,,,-0.17,2.1,Dan Merzel,-0.113,
16261,SI,20200924,91.4,2.8,5.39,123.0,592885,453192,,ball,14.0,L,L,STL,MIL,B,,,1.82,2.02,Dan Merzel,0.058,r
16262,SL,20200924,80.2,2.7,5.23,279.0,592885,453192,,called_strike,6.0,L,L,STL,MIL,S,,,0.44,2.34,Dan Merzel,-0.103,r
16263,SI,20200924,90.1,2.31,5.43,135.0,592885,453192,,ball,13.0,L,L,STL,MIL,B,,,-1.34,1.53,Dan Merzel,0.055,r
16264,FF,20200924,89.4,2.5,5.47,139.0,541645,453192,strikeout,called_strike,4.0,R,L,STL,MIL,S,2.0,,-0.68,2.61,Dan Merzel,-0.37,r
16265,SL,20200924,81.0,2.82,5.39,288.0,541645,453192,,ball,14.0,R,L,STL,MIL,B,,,1.58,2.09,Dan Merzel,0.091,r
16266,SL,20200924,81.3,2.78,5.28,285.0,541645,453192,,foul,8.0,R,L,STL,MIL,S,,,0.27,2.26,Dan Merzel,-0.115,
16267,SL,20200924,80.6,2.74,5.22,280.0,541645,453192,,foul,13.0,R,L,STL,MIL,S,,,-0.95,2.4,Dan Merzel,-0.078,
16268,FF,20200924,89.9,2.69,5.42,136.0,519299,453192,single,hit_into_play,12.0,L,L,STL,MIL,X,7.0,line_drive,0.42,3.16,Dan Merzel,1.054,
16269,SL,20200924,77.8,2.69,5.31,288.0,519299,453192,,foul,3.0,L,L,STL,MIL,S,,,0.32,2.79,Dan Merzel,0.0,
16270,SL,20200924,78.8,2.63,5.25,286.0,519299,453192,,foul,4.0,L,L,STL,MIL,S,,,-0.28,2.32,Dan Merzel,-0.098,
16271,SL,20200924,78.6,2.57,5.18,280.0,519299,453192,,called_strike,3.0,L,L,STL,MIL,S,,,0.41,2.55,Dan Merzel,-0.061,r
16272,SL,20200924,79.9,2.65,5.13,284.0,519299,453192,,ball,13.0,L,L,STL,MIL,B,,,-2.64,1.75,Dan Merzel,0.056,r
16273,CH,20200924,92.0,-1.11,6.08,216.0,596129,621052,single,hit_into_play,7.0,L,R,STL,MIL,X,8.0,line_drive,-0.71,1.62,Dan Merzel,0.59,
16274,SI,20200924,97.8,-1.3,6.07,208.0,596129,621052,,foul,4.0,L,R,STL,MIL,S,,,-0.42,2.21,Dan Merzel,0.0,
16275,CH,20200924,90.4,-1.13,6.19,220.0,596129,621052,,swinging_strike,13.0,L,R,STL,MIL,S,,,-0.88,2.09,Dan Merzel,-0.056,
16276,CH,20200924,90.7,-1.17,6.12,219.0,596129,621052,,ball,13.0,L,R,STL,MIL,B,,,-0.51,1.18,Dan Merzel,0.013,r
16277,FF,20200924,96.4,-1.21,6.04,209.0,596129,621052,,called_strike,1.0,L,R,STL,MIL,S,,,-0.62,3.03,Dan Merzel,-0.044,r
16278,FF,20200924,96.2,-1.29,6.05,198.0,606115,621052,strikeout,swinging_strike,11.0,R,R,STL,MIL,S,2.0,,-0.57,3.74,Dan Merzel,-0.267,
16279,CH,20200924,89.4,-1.12,6.09,225.0,606115,621052,,foul,13.0,R,R,STL,MIL,S,,,-0.59,1.46,Dan Merzel,-0.08,
16280,FF,20200924,96.8,-1.16,6.16,202.0,606115,621052,,swinging_strike,5.0,R,R,STL,MIL,S,,,0.06,2.43,Dan Merzel,-0.071,
16281,SL,20200924,85.8,-1.39,6.12,78.0,606115,621052,,ball,12.0,R,R,STL,MIL,B,,,0.71,4.1,Dan Merzel,0.039,r
16282,SI,20200924,97.3,-1.2,6.01,202.0,607054,621052,single,hit_into_play,7.0,L,R,STL,MIL,X,8.0,ground_ball,-0.39,1.62,Dan Merzel,0.329,
16283,CH,20200924,91.3,-1.1,6.11,223.0,607054,621052,,ball,14.0,L,R,STL,MIL,B,,,0.63,0.73,Dan Merzel,0.103,r
16284,FF,20200924,98.0,-1.24,6.15,210.0,607054,621052,,foul,1.0,L,R,STL,MIL,S,,,-0.56,3.19,Dan Merzel,0.0,
16285,FF,20200924,96.5,-1.2,6.21,200.0,607054,621052,,ball,11.0,L,R,STL,MIL,B,,,-0.84,5.72,Dan Merzel,0.035,r
16286,CH,20200924,89.6,-1.06,6.07,223.0,607054,621052,,ball,13.0,L,R,STL,MIL,B,,,-0.75,1.11,Dan Merzel,0.027,r
16287,CH,20200924,89.7,-1.16,6.1,220.0,607054,621052,,swinging_strike,7.0,L,R,STL,MIL,S,,,-0.58,1.65,Dan Merzel,-0.056,
