,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,0,0,88839,FF,20200906,91.3,2.4,6.14,132.0,641924,543272,grounded_into_double_play,hit_into_play,7.0,R,L,CLE,MIL,X,6.0,ground_ball,-0.66,1.99,Jeremy Riggs,-0.273,0.3399999999999999,0.49,in,in,r
1,1,1,1,1,88840,SL,20200906,79.0,2.45,6.07,308.0,641924,543272,,swinging_strike,13.0,R,L,CLE,MIL,S,,,-0.81,1.37,Jeremy Riggs,-0.056,0.1899999999999999,0.1299999999999999,in,out,r
2,2,2,2,2,88841,SL,20200906,79.0,2.45,6.19,308.0,641924,543272,,called_strike,4.0,R,L,CLE,MIL,S,,,-0.5,2.49,Jeremy Riggs,-0.062,0.5,0.9900000000000002,in,in,r
3,3,3,3,3,88842,SL,20200906,79.0,2.42,6.15,309.0,641924,543272,,ball,13.0,R,L,CLE,MIL,B,,,-1.2,1.15,Jeremy Riggs,0.031,0.1999999999999999,0.3500000000000001,out,out,r
4,4,4,4,4,88843,FF,20200906,91.5,2.48,6.16,130.0,621438,543272,field_out,hit_into_play,4.0,R,L,CLE,MIL,X,9.0,fly_ball,-0.78,2.2,Jeremy Riggs,-0.28,0.2199999999999999,0.7000000000000002,in,in,r
5,5,5,5,5,88844,SL,20200906,78.0,2.42,6.21,304.0,621438,543272,,foul,4.0,R,L,CLE,MIL,S,,,-0.34,2.31,Jeremy Riggs,-0.08,0.6599999999999999,0.81,in,in,r
6,6,6,6,6,88845,FF,20200906,90.3,2.53,6.12,131.0,621438,543272,,foul,5.0,R,L,CLE,MIL,S,,,-0.08,2.23,Jeremy Riggs,-0.071,0.92,0.73,in,in,r
7,7,7,7,7,88846,SI,20200906,89.6,2.53,6.19,139.0,621438,543272,,ball,12.0,R,L,CLE,MIL,B,,,1.77,3.16,Jeremy Riggs,0.039,0.77,0.3399999999999998,out,in,r
8,8,8,8,8,88847,SI,20200906,89.9,2.42,6.23,136.0,460075,543272,single,hit_into_play,9.0,R,L,CLE,MIL,X,7.0,line_drive,0.51,1.93,Jeremy Riggs,0.297,0.49,0.4299999999999999,in,in,r
9,9,9,9,9,88848,FF,20200906,90.3,2.42,6.18,131.0,460075,543272,,ball,13.0,R,L,CLE,MIL,B,,,-1.19,2.47,Jeremy Riggs,0.06,0.1899999999999999,0.9700000000000002,out,in,r
