,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
162046,158867,FC,20190822,87.4,-1.72,5.51,157.0,593643,641941,field_out,hit_into_play,14.0,R,R,BAL,TB,X,6.0,ground_ball,0.89,2.28,John Bacon,-0.115
162047,158868,FC,20190822,87.6,-1.8,5.51,165.0,607054,641941,field_out,hit_into_play,13.0,L,R,BAL,TB,X,1.0,ground_ball,-0.21,1.21,John Bacon,-0.106
162048,158869,FF,20190822,95.2,-1.74,5.6,196.0,607054,641941,,foul,3.0,L,R,BAL,TB,S,,,0.53,3.15,John Bacon,-0.041
162049,158870,FF,20190822,94.6,-1.88,5.54,197.0,607054,641941,,foul,2.0,L,R,BAL,TB,S,,,0.21,2.79,John Bacon,-0.03
162050,158871,FF,20190822,95.3,-1.61,5.61,200.0,592859,641941,field_out,hit_into_play,7.0,L,R,BAL,TB,X,8.0,fly_ball,-0.51,1.93,John Bacon,-0.217
162051,158872,FF,20190822,94.9,-1.71,5.6,200.0,592859,641941,,foul,13.0,L,R,BAL,TB,S,,,-1.39,2.31,John Bacon,0.0
162052,158873,FF,20190822,94.4,-1.73,5.67,185.0,592859,641941,,ball,11.0,L,R,BAL,TB,B,,,-0.91,4.76,John Bacon,0.042
162053,158874,FC,20190822,87.7,-1.73,5.55,137.0,592859,641941,,ball,14.0,L,R,BAL,TB,B,,,0.5,0.28,John Bacon,0.019
162054,158875,FC,20190822,87.7,-1.65,5.58,195.0,592859,641941,,swinging_strike,14.0,L,R,BAL,TB,S,,,0.09,0.2,John Bacon,-0.052
162055,158876,FF,20190822,93.5,-1.67,5.73,198.0,592859,641941,,called_strike,6.0,L,R,BAL,TB,S,,,0.38,2.25,John Bacon,-0.039
162056,158877,SI,20190822,93.8,-1.3,5.55,250.0,518595,593679,strikeout,called_strike,3.0,R,R,BAL,TB,S,2.0,,0.65,2.93,John Bacon,-0.137
162057,158878,FF,20190822,93.7,-1.39,5.52,228.0,518595,593679,,foul,5.0,R,R,BAL,TB,S,,,0.25,2.64,John Bacon,0.0
162058,158879,SL,20190822,81.9,-1.56,5.45,85.0,518595,593679,,ball,14.0,R,R,BAL,TB,B,,,1.19,0.5,John Bacon,0.038
162059,158880,FF,20190822,93.9,-1.12,5.59,219.0,518595,593679,,ball,12.0,R,R,BAL,TB,B,,,1.47,2.47,John Bacon,0.019
162060,158881,SL,20190822,81.9,-1.59,5.35,81.0,518595,593679,,ball,14.0,R,R,BAL,TB,B,,,0.5,0.81,John Bacon,0.011
162061,158882,SI,20190822,93.8,-1.24,5.58,249.0,518595,593679,,foul,13.0,R,R,BAL,TB,S,,,-1.32,2.07,John Bacon,-0.026
162062,158883,FF,20190822,93.8,-1.28,5.71,224.0,518595,593679,,foul,2.0,R,R,BAL,TB,S,,,-0.25,2.84,John Bacon,-0.019
162063,158884,SI,20190822,93.6,-1.54,5.42,249.0,596847,593679,field_out,hit_into_play,7.0,L,R,BAL,TB,X,5.0,ground_ball,-0.52,1.64,John Bacon,-0.292
162064,158885,CH,20190822,86.8,-1.61,5.32,246.0,596847,593679,,ball,14.0,L,R,BAL,TB,B,,,1.21,1.85,John Bacon,0.083
162065,158886,FF,20190822,93.5,-1.3,5.53,228.0,596847,593679,,ball,12.0,L,R,BAL,TB,B,,,1.51,3.28,John Bacon,0.04
162066,158887,FF,20190822,93.8,-1.51,5.41,230.0,596847,593679,,foul,5.0,L,R,BAL,TB,S,,,0.06,2.25,John Bacon,-0.037
162067,158888,SL,20190822,84.3,-1.43,5.55,52.0,596847,593679,,ball,14.0,L,R,BAL,TB,B,,,0.91,0.22,John Bacon,0.034
162068,158889,SL,20190822,86.0,-1.87,5.31,110.0,502054,593679,field_out,hit_into_play,6.0,R,R,BAL,TB,X,1.0,ground_ball,0.8,2.18,John Bacon,-0.263
162069,158890,SI,20190822,94.2,-1.58,5.51,238.0,502054,593679,,ball,11.0,R,R,BAL,TB,B,,,-2.11,3.07,John Bacon,0.017
162070,158891,SL,20190822,85.9,-1.99,5.34,149.0,502054,593679,,called_strike,9.0,R,R,BAL,TB,S,,,0.56,2.0,John Bacon,-0.064
162071,158892,SI,20190822,94.8,-1.45,5.46,238.0,640457,593679,double,hit_into_play,1.0,L,R,BAL,TB,X,8.0,line_drive,-0.42,2.88,John Bacon,0.566
162072,158893,SI,20190822,94.4,-1.4,5.45,245.0,640457,593679,,foul,11.0,L,R,BAL,TB,S,,,-1.27,3.24,John Bacon,0.0
162073,158894,SL,20190822,82.6,-1.32,5.6,88.0,640457,593679,,ball,14.0,L,R,BAL,TB,B,,,0.36,0.73,John Bacon,0.102
162074,158895,SL,20190822,83.6,-1.39,5.62,98.0,640457,593679,,swinging_strike,14.0,L,R,BAL,TB,S,,,0.96,1.62,John Bacon,-0.073
