Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,call
14130,FF,20190926,90.7,-2.86,5.68,179.0,641857,607457,field_out,hit_into_play,5.0,L,R,SF,COL,X,4.0,ground_ball,0.02,2.83,Alex Tosi,-0.243,
14131,FF,20190926,95.1,-2.75,5.72,197.0,641658,607457,field_out,hit_into_play,5.0,R,R,SF,COL,X,9.0,fly_ball,-0.01,2.6,Alex Tosi,-0.386,
14132,FF,20190926,94.3,-2.81,5.77,193.0,641658,607457,,ball,11.0,R,R,SF,COL,B,,,-1.05,3.45,Alex Tosi,0.105,r
14133,FF,20190926,95.4,-2.82,5.8,196.0,641658,607457,,foul,5.0,R,R,SF,COL,S,,,0.04,2.45,Alex Tosi,-0.086,
14134,FF,20190926,93.3,-2.81,5.76,185.0,641658,607457,,foul,3.0,R,R,SF,COL,S,,,0.33,2.86,Alex Tosi,-0.075,
14135,FF,20190926,93.4,-2.82,5.79,190.0,641658,607457,,ball,14.0,R,R,SF,COL,B,,,1.21,2.36,Alex Tosi,0.077,r
14136,FF,20190926,91.3,-2.86,5.71,184.0,641658,607457,,ball,12.0,R,R,SF,COL,B,,,1.13,2.62,Alex Tosi,0.043,r
14137,CU,20190926,80.6,-2.78,5.78,66.0,658069,607457,field_error,hit_into_play,9.0,R,R,SF,COL,X,5.0,ground_ball,0.39,1.59,Alex Tosi,0.38,
14138,CU,20190926,80.6,-2.78,5.85,75.0,658069,607457,,swinging_strike,14.0,R,R,SF,COL,S,,,1.62,1.59,Alex Tosi,-0.041,
14139,CU,20190926,79.1,-2.76,5.81,73.0,658069,607457,,called_strike,7.0,R,R,SF,COL,S,,,-0.39,1.84,Alex Tosi,-0.03,r
14140,CH,20190926,89.1,-2.69,5.91,240.0,547172,607457,field_out,hit_into_play,4.0,L,R,SF,COL,X,1.0,ground_ball,-0.4,2.58,Alex Tosi,-0.236,
14141,FF,20190926,90.6,-2.85,5.69,181.0,547172,607457,,ball,11.0,L,R,SF,COL,B,,,-0.38,3.34,Alex Tosi,0.027,w
14142,FF,20190926,92.8,-2.9,5.77,203.0,547172,607457,,foul,2.0,L,R,SF,COL,S,,,0.05,2.68,Alex Tosi,-0.039,
14143,FC,20190926,93.4,-2.63,5.98,161.0,543105,543766,double_play,hit_into_play,6.0,L,R,SF,COL,X,4.0,ground_ball,0.29,2.81,Alex Tosi,-0.606,
14144,FC,20190926,91.2,-2.63,6.09,155.0,543105,543766,,foul,4.0,L,R,SF,COL,S,,,-0.38,2.63,Alex Tosi,-0.188,
14145,FC,20190926,90.8,-2.62,6.02,153.0,543105,543766,,called_strike,1.0,L,R,SF,COL,S,,,-0.29,2.9,Alex Tosi,-0.061,r
14146,FC,20190926,92.4,-2.58,6.07,160.0,543105,543766,,blocked_ball,14.0,L,R,SF,COL,B,,,1.48,0.71,Alex Tosi,0.155,r
14147,CH,20190926,92.5,-2.7,5.94,234.0,543105,543766,,ball,13.0,L,R,SF,COL,B,,,-0.5,1.34,Alex Tosi,0.08,r
14148,FC,20190926,92.9,-2.71,6.13,168.0,543105,543766,,ball,13.0,L,R,SF,COL,B,,,-1.24,1.42,Alex Tosi,0.051,r
14149,SL,20190926,86.8,-2.4,6.12,53.0,605244,543766,single,hit_into_play,9.0,R,R,SF,COL,X,8.0,line_drive,0.8,2.2,Alex Tosi,1.368,
14150,FC,20190926,93.0,-2.42,6.1,163.0,605244,543766,,called_strike,6.0,R,R,SF,COL,S,,,0.53,2.48,Alex Tosi,-0.153,r
14151,FC,20190926,92.1,-2.53,6.11,157.0,542436,543766,walk,ball,14.0,L,R,SF,COL,B,,,0.05,0.97,Alex Tosi,0.225,r
14152,FC,20190926,93.0,-2.47,6.12,162.0,542436,543766,,ball,13.0,L,R,SF,COL,B,,,-0.54,1.13,Alex Tosi,0.232,r
14153,FC,20190926,93.0,-2.48,6.12,157.0,542436,543766,,blocked_ball,14.0,L,R,SF,COL,B,,,1.42,0.73,Alex Tosi,0.126,r
14154,FC,20190926,92.6,-2.37,6.18,140.0,542436,543766,,ball,14.0,L,R,SF,COL,B,,,1.15,1.4,Alex Tosi,0.067,r
14155,SL,20190926,86.7,-2.18,5.51,84.0,573262,641149,double,hit_into_play,5.0,L,R,SF,COL,X,8.0,line_drive,0.12,2.26,Alex Tosi,0.87,
14156,FF,20190926,93.2,-2.29,5.61,208.0,573262,641149,,swinging_strike,11.0,L,R,SF,COL,S,,,-0.77,3.87,Alex Tosi,-0.101,
14157,SL,20190926,87.4,-2.29,5.65,109.0,573262,641149,,foul,9.0,L,R,SF,COL,S,,,0.52,1.48,Alex Tosi,-0.063,
14158,SL,20190926,87.6,-2.23,5.62,47.0,573262,641149,,ball,14.0,L,R,SF,COL,B,,,1.78,1.21,Alex Tosi,0.034,r
14159,SL,20190926,85.9,-2.21,5.61,40.0,446334,641149,strikeout,swinging_strike,14.0,R,R,SF,COL,S,2.0,,0.7,1.27,Alex Tosi,-0.526,
14160,SL,20190926,85.4,-2.3,5.62,79.0,446334,641149,,foul,13.0,R,R,SF,COL,S,,,-1.16,1.68,Alex Tosi,-0.141,
