,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
189138,176185,FC,20200816,81.0,-1.66,5.56,101.0,456781,596043,field_out,hit_into_play,9.0,R,R,SF,OAK,X,6.0,ground_ball,0.3,1.34,Lew Williams,-0.853
189139,176186,FF,20200816,91.3,-1.47,5.73,204.0,456781,596043,,ball,11.0,R,R,SF,OAK,B,,,-0.26,4.46,Lew Williams,0.229
189140,176187,CU,20200816,74.4,-1.39,5.57,18.0,456781,596043,,blocked_ball,14.0,R,R,SF,OAK,B,,,1.74,-0.36,Lew Williams,0.137
189141,176188,FF,20200816,91.5,-1.53,5.64,204.0,456781,596043,,foul,1.0,R,R,SF,OAK,S,,,-0.64,2.68,Lew Williams,-0.18
189142,176189,FC,20200816,82.4,-1.57,5.64,137.0,456781,596043,,blocked_ball,14.0,R,R,SF,OAK,B,,,1.05,0.46,Lew Williams,0.075
189143,176190,FF,20200816,90.1,-1.49,5.6,208.0,456781,596043,,called_strike,3.0,R,R,SF,OAK,S,,,0.49,2.87,Lew Williams,-0.107
189144,176191,FF,20200816,89.3,-1.56,5.61,192.0,543105,596043,walk,ball,11.0,L,R,SF,OAK,B,,,-1.17,3.21,Lew Williams,0.076
189145,176192,FF,20200816,89.4,-1.57,5.65,204.0,543105,596043,,called_strike,7.0,L,R,SF,OAK,S,,,-0.54,1.99,Lew Williams,-0.104
189146,176193,FF,20200816,90.1,-1.68,5.55,90.0,543105,596043,,ball,13.0,L,R,SF,OAK,B,,,-1.42,2.39,Lew Williams,0.109
189147,176194,CH,20200816,82.9,-1.55,5.57,234.0,543105,596043,,ball,14.0,L,R,SF,OAK,B,,,1.17,1.45,Lew Williams,0.12
189148,176195,FC,20200816,84.7,-1.89,5.55,50.0,543105,596043,,ball,12.0,L,R,SF,OAK,B,,,1.13,2.73,Lew Williams,0.074
189149,176196,CU,20200816,73.5,-1.41,5.56,26.0,573131,596043,strikeout,swinging_strike_blocked,14.0,R,R,SF,OAK,S,2.0,,0.06,0.82,Lew Williams,-0.523
