,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,11754,CH,20200925,87.9,-1.99,5.68,239.0,663757,656322,home_run,hit_into_play,4.0,L,R,SD,SF,X,,fly_ball,-0.66,2.53,Edwin Moscoso,2.262,0.3399999999999999,0.9700000000000002,in,in,r
1,1,1,11755,SI,20200925,95.6,-1.72,5.84,226.0,663757,656322,,foul_tip,4.0,L,R,SD,SF,S,,,-0.61,2.95,Edwin Moscoso,-0.206,0.39,0.5499999999999998,in,in,r
2,2,2,11756,FF,20200925,97.3,-1.9,5.97,220.0,663757,656322,,ball,11.0,L,R,SD,SF,B,,,-0.66,3.74,Edwin Moscoso,0.204,0.3399999999999999,0.2400000000000002,in,out,w
3,3,3,11757,SI,20200925,95.6,-1.89,5.87,226.0,663757,656322,,called_strike,13.0,L,R,SD,SF,S,,,-1.16,1.74,Edwin Moscoso,-0.088,0.1599999999999999,0.24,out,in,w
4,4,4,11758,FF,20200925,97.2,-1.97,5.93,220.0,663757,656322,,ball,11.0,L,R,SD,SF,B,,,-0.18,3.94,Edwin Moscoso,0.106,0.8200000000000001,0.4399999999999999,in,out,w
5,5,5,11759,SL,20200925,85.8,-1.98,5.67,67.0,663757,656322,,ball,14.0,L,R,SD,SF,B,,,1.65,0.91,Edwin Moscoso,0.056,0.6499999999999999,0.59,out,out,w
6,6,6,11760,SI,20200925,95.7,-1.68,5.84,228.0,594824,656322,walk,ball,11.0,L,R,SD,SF,B,,,-1.36,2.94,Edwin Moscoso,0.235,0.3600000000000001,0.56,out,in,w
7,7,7,11761,SI,20200925,95.8,-1.71,5.88,230.0,594824,656322,,called_strike,11.0,L,R,SD,SF,S,,,-0.96,2.8,Edwin Moscoso,-0.053,0.04,0.7000000000000002,in,in,r
8,8,8,11762,SI,20200925,95.6,-1.73,5.94,228.0,594824,656322,,ball,11.0,L,R,SD,SF,B,,,-1.38,2.86,Edwin Moscoso,0.09,0.3799999999999999,0.6400000000000001,out,in,w
9,9,9,11763,FF,20200925,96.8,-1.62,6.01,226.0,594824,656322,,ball,11.0,L,R,SD,SF,B,,,-1.63,4.92,Edwin Moscoso,0.073,0.6299999999999999,1.42,out,out,w
10,10,10,11764,CH,20200925,90.8,-1.82,5.71,246.0,594824,656322,,blocked_ball,14.0,L,R,SD,SF,B,,,1.18,0.51,Edwin Moscoso,0.031,0.1799999999999999,0.99,out,out,w
