,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
11,11,11,11765,CH,20200925,88.7,-1.87,5.68,245.0,488771,656322,strikeout,swinging_strike,13.0,L,R,SD,SF,S,2.0,,-0.95,1.86,Edwin Moscoso,-0.336,0.05,0.3600000000000001,in,in,r
12,12,12,11766,CH,20200925,88.7,-1.78,5.76,251.0,488771,656322,,called_strike,6.0,L,R,SD,SF,S,,,0.45,2.46,Edwin Moscoso,-0.095,0.55,0.96,in,in,r
13,13,13,11767,CH,20200925,88.7,-1.87,5.79,242.0,488771,656322,,ball,11.0,L,R,SD,SF,B,,,-1.75,3.66,Edwin Moscoso,0.083,0.75,0.1600000000000001,out,out,w
14,14,14,11768,FF,20200925,98.2,-1.75,6.02,231.0,488771,656322,,ball,11.0,L,R,SD,SF,B,,,-1.84,4.9,Edwin Moscoso,0.017,0.8400000000000001,1.4000000000000004,out,out,w
15,15,15,11769,CH,20200925,89.6,-1.93,5.76,245.0,488771,656322,,foul_tip,14.0,L,R,SD,SF,S,,,0.13,1.63,Edwin Moscoso,-0.049,0.87,0.1299999999999999,in,in,r
16,16,16,11770,SI,20200925,95.1,-1.6,5.97,224.0,502054,656322,single,hit_into_play,8.0,R,R,SD,SF,X,6.0,ground_ball,0.18,1.99,Edwin Moscoso,0.357,0.8200000000000001,0.49,in,in,r
17,17,17,11771,SI,20200925,97.0,-1.59,6.07,221.0,502054,656322,,ball,11.0,R,R,SD,SF,B,,,-0.07,3.69,Edwin Moscoso,0.041,0.93,0.1899999999999999,in,out,w
18,18,18,11772,SL,20200925,83.9,-1.82,6.12,61.0,573131,672715,field_out,hit_into_play,6.0,R,R,SD,SF,X,9.0,fly_ball,0.46,2.69,Edwin Moscoso,-0.212,0.54,0.81,in,in,r
19,19,19,11773,FF,20200925,96.5,-1.63,6.13,197.0,573131,672715,,called_strike,9.0,R,R,SD,SF,S,,,0.42,2.19,Edwin Moscoso,-0.041,0.5800000000000001,0.69,in,in,r
20,20,20,11774,FF,20200925,96.8,-1.55,6.2,190.0,621002,672715,strikeout,foul_tip,2.0,R,R,SD,SF,S,2.0,,-0.13,2.85,Edwin Moscoso,-0.19,0.87,0.6499999999999999,in,in,r
21,21,21,11775,CH,20200925,89.1,-1.65,5.98,208.0,621002,672715,,foul,4.0,R,R,SD,SF,S,,,-0.79,2.55,Edwin Moscoso,0.0,0.2099999999999999,0.9500000000000002,in,in,r
22,22,22,11776,SL,20200925,86.5,-1.75,6.11,75.0,621002,672715,,foul,9.0,R,R,SD,SF,S,,,0.67,1.43,Edwin Moscoso,0.0,0.3299999999999999,0.07,in,out,w
23,23,23,11777,FF,20200925,96.0,-1.61,6.08,194.0,621002,672715,,foul,6.0,R,R,SD,SF,S,,,0.72,2.08,Edwin Moscoso,0.0,0.28,0.5800000000000001,in,in,r
24,24,24,11778,FF,20200925,95.7,-1.57,6.24,181.0,621002,672715,,foul,6.0,R,R,SD,SF,S,,,0.79,2.29,Edwin Moscoso,0.0,0.2099999999999999,0.79,in,in,r
25,25,25,11779,FF,20200925,95.9,-1.76,6.18,197.0,621002,672715,,called_strike,7.0,R,R,SD,SF,S,,,-0.38,1.67,Edwin Moscoso,-0.059,0.62,0.1699999999999999,in,in,r
26,26,26,11780,SL,20200925,83.3,-1.71,6.11,63.0,621002,672715,,swinging_strike,13.0,R,R,SD,SF,S,,,-0.1,1.18,Edwin Moscoso,-0.044,0.9,0.32,in,out,w
27,27,27,11781,FF,20200925,96.5,-1.7,6.14,201.0,663698,672715,strikeout,called_strike,7.0,R,R,SD,SF,S,2.0,,-0.69,1.56,Edwin Moscoso,-0.264,0.31,0.06,in,in,r
28,28,28,11782,SL,20200925,82.1,-1.85,6.1,74.0,663698,672715,,swinging_strike,5.0,R,R,SD,SF,S,,,-0.12,2.35,Edwin Moscoso,-0.067,0.88,0.8500000000000001,in,in,r
29,29,29,11783,FF,20200925,94.3,-1.71,6.11,201.0,663698,672715,,swinging_strike,5.0,R,R,SD,SF,S,,,-0.24,2.48,Edwin Moscoso,-0.049,0.76,0.98,in,in,r
30,30,30,11784,FF,20200925,95.5,-1.73,6.1,197.0,643289,672715,walk,blocked_ball,13.0,R,R,SD,SF,B,,,-0.75,0.34,Edwin Moscoso,0.332,0.25,1.16,in,out,w
31,31,31,11785,FF,20200925,95.3,-1.84,6.11,188.0,643289,672715,,foul,12.0,R,R,SD,SF,S,,,1.4,2.66,Edwin Moscoso,0.0,0.3999999999999999,0.8399999999999999,out,in,w
32,32,32,11786,FF,20200925,94.2,-1.84,6.19,171.0,643289,672715,,foul,12.0,R,R,SD,SF,S,,,1.26,2.64,Edwin Moscoso,-0.094,0.26,0.8599999999999999,out,in,w
33,33,33,11787,CH,20200925,88.1,-1.81,5.92,205.0,643289,672715,,ball,14.0,R,R,SD,SF,B,,,1.23,2.09,Edwin Moscoso,0.122,0.2299999999999999,0.5899999999999999,out,in,w
34,34,34,11788,FF,20200925,94.8,-1.73,6.21,,643289,672715,,swinging_strike,14.0,R,R,SD,SF,S,,,0.9,2.39,Edwin Moscoso,-0.059,0.0999999999999999,0.8900000000000001,in,in,r
35,35,35,11789,FF,20200925,94.0,-1.77,6.13,175.0,643289,672715,,ball,14.0,R,R,SD,SF,B,,,0.95,1.93,Edwin Moscoso,0.06,0.05,0.4299999999999999,in,in,r
36,36,36,11790,FF,20200925,94.2,-1.88,6.16,178.0,643289,672715,,ball,12.0,R,R,SD,SF,B,,,1.47,2.61,Edwin Moscoso,0.041,0.47,0.8900000000000001,out,in,w
37,37,37,11791,SL,20200925,80.7,2.14,5.95,287.0,519048,572125,field_out,hit_into_play,4.0,L,L,SD,SF,X,8.0,fly_ball,-0.45,2.8,Edwin Moscoso,-0.36,0.55,0.7000000000000002,in,in,r
38,38,38,11792,FF,20200925,91.3,2.14,5.83,202.0,519048,572125,,foul,4.0,L,L,SD,SF,S,,,-0.41,2.79,Edwin Moscoso,0.0,0.5900000000000001,0.71,in,in,r
39,39,39,11793,SL,20200925,80.8,1.95,5.96,281.0,519048,572125,,ball,13.0,L,L,SD,SF,B,,,-1.76,1.28,Edwin Moscoso,0.043,0.76,0.2199999999999999,out,out,w
40,40,40,11794,SL,20200925,80.7,2.1,5.98,301.0,519048,572125,,swinging_strike,4.0,L,L,SD,SF,S,,,-0.57,2.49,Edwin Moscoso,-0.115,0.43,0.9900000000000002,in,in,r
41,41,41,11795,SL,20200925,80.7,2.14,6.0,276.0,519048,572125,,called_strike,8.0,L,L,SD,SF,S,,,0.15,2.01,Edwin Moscoso,-0.071,0.85,0.5099999999999998,in,in,r
42,42,42,11796,SL,20200925,86.9,-2.99,6.01,138.0,595777,641312,field_out,hit_into_play,5.0,L,R,SD,SF,X,9.0,fly_ball,0.11,2.54,Edwin Moscoso,-0.346,0.89,0.96,in,in,r
43,43,43,11797,FF,20200925,94.2,-2.1,6.4,192.0,543333,641312,single,hit_into_play,12.0,L,R,SD,SF,X,9.0,line_drive,1.0,2.88,Edwin Moscoso,0.503,0.0,0.6200000000000001,in,in,r
44,44,44,11798,FF,20200925,94.7,-2.47,6.24,200.0,592518,641312,walk,ball,3.0,R,R,SD,SF,B,,,0.73,3.06,Edwin Moscoso,0.109,0.27,0.4399999999999999,in,in,r
45,45,45,11799,FF,20200925,93.4,-2.42,6.43,190.0,592518,641312,,ball,3.0,R,R,SD,SF,B,,,0.64,3.56,Edwin Moscoso,0.091,0.36,0.06,in,out,w
46,46,46,11800,FF,20200925,92.9,-2.3,6.4,195.0,592518,641312,,ball,14.0,R,R,SD,SF,B,,,1.0,2.33,Edwin Moscoso,0.04,0.0,0.8300000000000001,in,in,r
47,47,47,11801,SL,20200925,87.7,-2.94,5.88,167.0,592518,641312,,ball,14.0,R,R,SD,SF,B,,,0.35,0.69,Edwin Moscoso,0.027,0.65,0.81,in,out,w
48,48,48,11802,SL,20200925,89.9,-2.78,5.81,117.0,665487,641312,strikeout,swinging_strike_blocked,14.0,R,R,SD,SF,S,2.0,,1.83,1.31,Edwin Moscoso,-0.215,0.8300000000000001,0.1899999999999999,out,out,w
49,49,49,11803,SL,20200925,91.5,-2.56,5.82,215.0,665487,641312,,ball,14.0,R,R,SD,SF,B,,,1.92,1.23,Edwin Moscoso,0.035,0.92,0.27,out,out,w
50,50,50,11804,FF,20200925,95.8,-2.13,6.04,201.0,665487,641312,,foul,12.0,R,R,SD,SF,S,,,1.19,3.06,Edwin Moscoso,0.0,0.1899999999999999,0.4399999999999999,out,in,w
51,51,51,11805,FF,20200925,94.3,-2.29,6.25,201.0,665487,641312,,foul,9.0,R,R,SD,SF,S,,,0.47,2.27,Edwin Moscoso,-0.06,0.53,0.77,in,in,r
52,52,52,11806,FF,20200925,95.3,-2.31,6.27,197.0,665487,641312,,ball,11.0,R,R,SD,SF,B,,,-0.7,4.98,Edwin Moscoso,0.032,0.3,1.4800000000000004,in,out,w
53,53,53,11807,FF,20200925,95.7,-2.26,6.43,203.0,665487,641312,,swinging_strike,3.0,R,R,SD,SF,S,,,0.73,3.29,Edwin Moscoso,-0.042,0.27,0.2099999999999999,in,in,r
54,54,54,11808,SL,20200925,90.1,-2.24,5.34,143.0,543063,656186,field_out,hit_into_play,3.0,L,R,SD,SF,X,9.0,fly_ball,0.64,2.86,Edwin Moscoso,-0.28,0.36,0.6400000000000001,in,in,r
55,55,55,11809,FF,20200925,96.2,-2.04,5.37,216.0,543063,656186,,ball,12.0,L,R,SD,SF,B,,,1.36,3.8,Edwin Moscoso,0.046,0.3600000000000001,0.2999999999999998,out,out,w
56,56,56,11810,FF,20200925,96.6,-2.27,5.38,213.0,543063,656186,,foul,8.0,L,R,SD,SF,S,,,-0.1,1.74,Edwin Moscoso,-0.052,0.9,0.24,in,in,r
57,57,57,11811,FF,20200925,96.5,-2.37,5.32,218.0,543063,656186,,ball,11.0,L,R,SD,SF,B,,,-1.41,2.77,Edwin Moscoso,0.033,0.4099999999999999,0.73,out,in,w
58,58,58,11812,FF,20200925,93.9,2.35,6.4,159.0,446334,519141,walk,ball,3.0,R,L,SD,SF,B,,,0.76,3.67,Edwin Moscoso,0.116,0.24,0.1699999999999999,in,out,w
59,59,59,11813,FF,20200925,93.4,2.35,6.46,165.0,446334,519141,,ball,12.0,R,L,SD,SF,B,,,0.48,4.23,Edwin Moscoso,0.039,0.52,0.7300000000000004,in,out,w
60,60,60,11814,FF,20200925,92.9,2.49,6.4,134.0,446334,519141,,foul,5.0,R,L,SD,SF,S,,,0.27,2.92,Edwin Moscoso,-0.032,0.73,0.5800000000000001,in,in,r
61,61,61,11815,FF,20200925,92.5,2.48,6.38,152.0,446334,519141,,called_strike,6.0,R,L,SD,SF,S,,,0.8,2.39,Edwin Moscoso,-0.028,0.1999999999999999,0.8900000000000001,in,in,r
62,62,62,11816,FF,20200925,93.5,2.47,6.36,160.0,446334,519141,,ball,3.0,R,L,SD,SF,B,,,0.66,3.64,Edwin Moscoso,0.027,0.3399999999999999,0.1400000000000001,in,out,w
63,63,63,11817,KC,20200925,82.8,2.44,6.46,347.0,446334,519141,,ball,13.0,R,L,SD,SF,B,,,-0.5,0.68,Edwin Moscoso,0.018,0.5,0.82,in,out,w
64,64,64,11818,FF,20200925,94.3,2.31,6.32,157.0,527038,519141,home_run,hit_into_play,3.0,R,L,SD,SF,X,,fly_ball,0.41,2.93,Edwin Moscoso,2.58,0.5900000000000001,0.5699999999999998,in,in,r
65,65,65,11819,FF,20200925,94.3,2.38,6.37,153.0,527038,519141,,ball,12.0,R,L,SD,SF,B,,,0.7,4.01,Edwin Moscoso,0.055,0.3,0.5099999999999998,in,out,w
66,66,66,11820,FF,20200925,94.8,2.24,6.41,163.0,596103,519141,walk,ball,12.0,R,L,SD,SF,B,,,0.59,4.14,Edwin Moscoso,0.116,0.41,0.6399999999999997,in,out,w
67,67,67,11821,FF,20200925,94.1,2.26,6.36,167.0,596103,519141,,swinging_strike,2.0,R,L,SD,SF,S,,,0.15,3.23,Edwin Moscoso,-0.033,0.85,0.27,in,in,r
68,68,68,11822,FF,20200925,94.6,2.34,6.42,155.0,596103,519141,,ball,12.0,R,L,SD,SF,B,,,1.08,3.05,Edwin Moscoso,0.064,0.08,0.4500000000000002,out,in,w
69,69,69,11823,FF,20200925,93.2,2.53,6.42,155.0,596103,519141,,ball,12.0,R,L,SD,SF,B,,,0.79,3.61,Edwin Moscoso,0.044,0.2099999999999999,0.1099999999999998,in,out,w
70,70,70,11824,FF,20200925,94.6,2.37,6.42,160.0,596103,519141,,ball,12.0,R,L,SD,SF,B,,,0.99,3.52,Edwin Moscoso,0.033,0.01,0.02,in,out,w
71,71,71,11825,KC,20200925,84.2,2.42,6.39,309.0,456781,519141,single,hit_into_play,6.0,R,L,SD,SF,X,5.0,ground_ball,0.53,2.11,Edwin Moscoso,0.172,0.47,0.6099999999999999,in,in,r
72,72,72,11826,FF,20200925,93.9,2.56,6.4,158.0,456781,519141,,foul,14.0,R,L,SD,SF,S,,,1.11,2.0,Edwin Moscoso,-0.029,0.1100000000000001,0.5,out,in,w
73,73,73,11827,FF,20200925,93.3,2.52,6.41,135.0,456781,519141,,swinging_strike,3.0,R,L,SD,SF,S,,,0.31,2.79,Edwin Moscoso,-0.022,0.69,0.71,in,in,r
74,74,74,11828,FF,20200925,95.0,2.5,6.38,156.0,456781,519141,,ball,14.0,R,L,SD,SF,B,,,1.17,2.31,Edwin Moscoso,0.018,0.1699999999999999,0.81,out,in,w
75,75,75,11829,KC,20200925,85.4,2.41,6.34,340.0,573131,519141,strikeout,swinging_strike_blocked,13.0,R,L,SD,SF,S,2.0,,-0.65,0.55,Edwin Moscoso,-0.118,0.35,0.95,in,out,w
76,76,76,11830,FF,20200925,94.7,2.28,6.47,154.0,573131,519141,,foul,2.0,R,L,SD,SF,S,,,0.09,3.33,Edwin Moscoso,-0.044,0.91,0.1699999999999999,in,in,r
77,77,77,11831,FF,20200925,93.7,2.48,6.39,154.0,573131,519141,,called_strike,14.0,R,L,SD,SF,S,,,1.03,1.62,Edwin Moscoso,-0.033,0.03,0.1200000000000001,out,in,w
78,78,78,11832,FF,20200925,95.0,2.35,6.47,163.0,573131,519141,,ball,12.0,R,L,SD,SF,B,,,0.93,4.57,Edwin Moscoso,0.027,0.0699999999999999,1.0700000000000005,in,out,w
79,79,79,11833,FF,20200925,94.2,2.18,6.4,167.0,573262,519141,strikeout,swinging_strike,1.0,L,L,SD,SF,S,2.0,,-0.44,3.02,Edwin Moscoso,-0.18,0.56,0.48,in,in,r
80,80,80,11834,FF,20200925,94.3,2.29,6.44,165.0,573262,519141,,foul,2.0,L,L,SD,SF,S,,,-0.19,2.94,Edwin Moscoso,0.0,0.81,0.56,in,in,r
81,81,81,11835,FF,20200925,95.2,2.35,6.36,164.0,573262,519141,,called_strike,4.0,L,L,SD,SF,S,,,-0.42,2.79,Edwin Moscoso,-0.06,0.5800000000000001,0.71,in,in,r
82,82,82,11836,FF,20200925,93.7,2.41,6.4,161.0,573262,519141,,foul,2.0,L,L,SD,SF,S,,,0.21,2.98,Edwin Moscoso,-0.05,0.79,0.52,in,in,r
83,83,83,11837,FF,20200925,93.8,2.39,6.41,160.0,573262,519141,,ball,12.0,L,L,SD,SF,B,,,0.07,3.92,Edwin Moscoso,0.041,0.93,0.4199999999999999,in,out,w
84,84,84,11838,SL,20200925,82.5,1.85,5.75,258.0,663757,606424,field_out,hit_into_play,8.0,L,L,SD,SF,X,6.0,ground_ball,-0.17,1.88,Edwin Moscoso,-0.096,0.83,0.3799999999999999,in,in,r
85,85,85,11839,SL,20200925,82.4,1.73,5.72,273.0,663757,606424,,ball,13.0,L,L,SD,SF,B,,,-1.45,1.04,Edwin Moscoso,0.018,0.4499999999999999,0.4599999999999999,out,out,w
86,86,86,11840,FF,20200925,93.6,1.8,5.73,125.0,663757,606424,,called_strike,8.0,L,L,SD,SF,S,,,-0.24,2.21,Edwin Moscoso,-0.029,0.76,0.71,in,in,r
87,87,87,11841,FF,20200925,92.6,2.28,5.52,124.0,663757,606424,,ball,14.0,L,L,SD,SF,B,,,1.44,2.07,Edwin Moscoso,0.013,0.4399999999999999,0.5699999999999998,out,in,w
88,88,88,11842,SL,20200925,84.4,1.76,5.83,223.0,663757,606424,,called_strike,9.0,L,L,SD,SF,S,,,0.51,1.99,Edwin Moscoso,-0.017,0.49,0.49,in,in,r
89,89,89,11843,SL,20200925,84.3,1.62,5.7,246.0,594824,606424,strikeout,swinging_strike,7.0,L,L,SD,SF,S,2.0,,-0.68,1.52,Edwin Moscoso,-0.148,0.3199999999999999,0.02,in,in,r
90,90,90,11844,SL,20200925,84.1,1.72,5.73,252.0,594824,606424,,ball,13.0,L,L,SD,SF,B,,,-1.18,1.89,Edwin Moscoso,0.03,0.1799999999999999,0.3899999999999999,out,in,w
91,91,91,11845,FF,20200925,93.4,1.99,5.69,124.0,594824,606424,,foul,3.0,L,L,SD,SF,S,,,0.41,3.3,Edwin Moscoso,0.0,0.5900000000000001,0.2000000000000001,in,in,r
92,92,92,11846,FF,20200925,92.8,1.77,5.71,128.0,594824,606424,,foul,8.0,L,L,SD,SF,S,,,0.06,1.89,Edwin Moscoso,-0.044,0.94,0.3899999999999999,in,in,r
93,93,93,11847,FF,20200925,93.7,1.93,5.68,131.0,594824,606424,,called_strike,7.0,L,L,SD,SF,S,,,-0.48,2.02,Edwin Moscoso,-0.033,0.52,0.52,in,in,r
94,94,94,11848,FF,20200925,93.8,1.97,5.7,125.0,594824,606424,,ball,13.0,L,L,SD,SF,B,,,-0.48,1.32,Edwin Moscoso,0.027,0.52,0.1799999999999999,in,out,w
95,95,95,11849,FF,20200925,93.8,1.9,5.73,123.0,488771,606424,field_out,hit_into_play,8.0,L,L,SD,SF,X,6.0,ground_ball,0.16,1.95,Edwin Moscoso,-0.153,0.84,0.4499999999999999,in,in,r
96,96,96,11850,SL,20200925,82.8,1.89,5.9,250.0,488771,606424,,called_strike,2.0,L,L,SD,SF,S,,,0.24,3.22,Edwin Moscoso,-0.056,0.76,0.2799999999999998,in,in,r
97,97,97,11851,FF,20200925,91.9,2.12,5.8,119.0,488771,606424,,called_strike,3.0,L,L,SD,SF,S,,,0.7,3.32,Edwin Moscoso,-0.042,0.3,0.1800000000000001,in,in,r
98,98,98,11852,FC,20200925,86.6,-1.64,5.62,136.0,663698,641941,field_out,hit_into_play,14.0,R,R,SD,SF,X,8.0,fly_ball,0.92,2.08,Edwin Moscoso,-0.176,0.0799999999999999,0.5800000000000001,in,in,r
99,99,99,11853,FC,20200925,85.9,-1.59,5.53,191.0,663698,641941,,ball,14.0,R,R,SD,SF,B,,,1.16,1.51,Edwin Moscoso,0.047,0.1599999999999999,0.01,out,in,w
100,100,100,11854,FF,20200925,93.6,-1.46,5.79,208.0,663698,641941,,ball,11.0,R,R,SD,SF,B,,,-1.17,3.94,Edwin Moscoso,0.021,0.1699999999999999,0.4399999999999999,out,out,w
101,101,101,11855,FC,20200925,86.3,-1.53,5.68,141.0,663698,641941,,called_strike,3.0,R,R,SD,SF,S,,,0.29,3.18,Edwin Moscoso,-0.022,0.71,0.3199999999999998,in,in,r
102,102,102,11856,FF,20200925,94.8,-1.46,5.74,207.0,663698,641941,,ball,11.0,R,R,SD,SF,B,,,-0.09,3.63,Edwin Moscoso,0.018,0.91,0.1299999999999999,in,out,w
103,103,103,11857,FF,20200925,94.9,-1.53,5.77,213.0,643289,641941,field_out,hit_into_play,3.0,R,R,SD,SF,X,9.0,line_drive,0.59,3.16,Edwin Moscoso,-0.118,0.41,0.3399999999999998,in,in,r
104,104,104,11858,FC,20200925,87.5,-1.49,5.62,197.0,643289,641941,,ball,14.0,R,R,SD,SF,B,,,1.72,-0.52,Edwin Moscoso,0.015,0.72,2.02,out,out,w
105,105,105,11859,FF,20200925,93.9,-1.31,5.73,208.0,643289,641941,,called_strike,9.0,R,R,SD,SF,S,,,0.69,1.89,Edwin Moscoso,-0.039,0.31,0.3899999999999999,in,in,r
106,106,106,11860,FC,20200925,86.7,-1.72,5.66,187.0,643289,641941,,foul,9.0,R,R,SD,SF,S,,,0.63,1.63,Edwin Moscoso,-0.026,0.37,0.1299999999999999,in,in,r
107,107,107,11861,FF,20200925,94.4,-1.59,5.75,205.0,543063,641941,strikeout,swinging_strike,11.0,L,R,SD,SF,S,2.0,,-0.55,4.07,Edwin Moscoso,-0.18,0.4499999999999999,0.5700000000000003,in,out,w
108,108,108,11862,FC,20200925,86.0,-1.65,5.7,173.0,543063,641941,,called_strike,13.0,L,R,SD,SF,S,,,-0.85,2.12,Edwin Moscoso,-0.06,0.15,0.6200000000000001,in,in,r
109,109,109,11863,FC,20200925,86.4,-1.69,5.7,202.0,543063,641941,,foul,8.0,L,R,SD,SF,S,,,-0.21,1.82,Edwin Moscoso,-0.05,0.79,0.32,in,in,r
110,110,110,11864,FF,20200925,92.8,-1.57,5.85,209.0,543063,641941,,ball,13.0,L,R,SD,SF,B,,,-0.65,0.82,Edwin Moscoso,0.041,0.35,0.68,in,out,w
111,111,111,11865,FF,20200925,94.8,2.38,5.85,158.0,502054,670056,strikeout,called_strike,9.0,R,L,SD,SF,S,2.0,,0.56,1.73,Edwin Moscoso,-0.278,0.4399999999999999,0.2299999999999999,in,in,r
112,112,112,11866,FF,20200925,95.3,2.35,5.66,148.0,502054,670056,,ball,13.0,R,L,SD,SF,B,,,-1.06,1.96,Edwin Moscoso,0.062,0.06,0.4599999999999999,out,in,w
113,113,113,11867,FF,20200925,94.9,2.41,5.66,152.0,502054,670056,,ball,13.0,R,L,SD,SF,B,,,-1.41,1.61,Edwin Moscoso,0.039,0.4099999999999999,0.1100000000000001,out,in,w
114,114,114,11868,FF,20200925,95.5,2.46,5.78,157.0,502054,670056,,ball,11.0,R,L,SD,SF,B,,,-0.78,3.57,Edwin Moscoso,0.018,0.2199999999999999,0.0699999999999998,in,out,w
115,115,115,11869,FF,20200925,94.7,2.57,5.69,157.0,502054,670056,,called_strike,8.0,R,L,SD,SF,S,,,-0.22,2.11,Edwin Moscoso,-0.053,0.78,0.6099999999999999,in,in,r
116,116,116,11870,FF,20200925,94.6,2.42,5.73,157.0,502054,670056,,called_strike,4.0,R,L,SD,SF,S,,,-0.74,2.64,Edwin Moscoso,-0.041,0.26,0.8599999999999999,in,in,r
117,117,117,11871,FF,20200925,94.5,2.51,5.71,210.0,519048,670056,field_out,hit_into_play,4.0,L,L,SD,SF,X,7.0,fly_ball,-0.56,2.33,Edwin Moscoso,-0.33,0.4399999999999999,0.8300000000000001,in,in,r
118,118,118,11872,SL,20200925,84.7,2.48,5.73,353.0,519048,670056,,ball,13.0,L,L,SD,SF,B,,,-1.19,2.07,Edwin Moscoso,0.031,0.1899999999999999,0.5699999999999998,out,in,w
119,119,119,11873,FF,20200925,94.9,2.39,5.78,148.0,595777,670056,strikeout,called_strike,13.0,R,L,SD,SF,S,2.0,,-0.84,2.33,Edwin Moscoso,-0.264,0.16,0.8300000000000001,in,in,r
120,120,120,11874,FF,20200925,95.4,2.47,5.78,143.0,595777,670056,,foul,11.0,R,L,SD,SF,S,,,-0.14,3.47,Edwin Moscoso,0.0,0.86,0.0299999999999998,in,in,r
121,121,121,11875,FF,20200925,94.6,2.38,5.75,150.0,595777,670056,,foul,5.0,R,L,SD,SF,S,,,0.16,2.3,Edwin Moscoso,-0.067,0.84,0.7999999999999998,in,in,r
122,122,122,11876,CU,20200925,77.7,2.61,5.93,344.0,595777,670056,,called_strike,12.0,R,L,SD,SF,S,,,0.9,2.58,Edwin Moscoso,-0.049,0.0999999999999999,0.92,in,in,r
123,123,123,11877,FF,20200925,93.7,2.25,5.75,137.0,543333,670056,single,hit_into_play,8.0,L,L,SD,SF,X,8.0,ground_ball,-0.09,2.18,Edwin Moscoso,0.397,0.91,0.6800000000000002,in,in,r
124,124,124,11878,FC,20200925,86.0,-1.49,5.84,182.0,446334,641941,field_out,hit_into_play,9.0,R,R,SD,SF,X,5.0,ground_ball,0.53,1.83,Edwin Moscoso,-0.372,0.47,0.33,in,in,r
125,125,125,11879,SL,20200925,84.8,-1.44,6.25,63.0,446334,659275,,ball,14.0,R,R,SD,SF,B,,,1.57,1.35,Edwin Moscoso,0.04,0.5700000000000001,0.1499999999999999,out,out,w
126,126,126,11880,SL,20200925,85.4,-1.34,6.23,127.0,527038,659275,force_out,hit_into_play,9.0,R,R,SD,SF,X,5.0,ground_ball,0.57,1.57,Edwin Moscoso,-0.611,0.43,0.07,in,in,r
127,127,127,11881,FF,20200925,95.3,-1.18,6.21,203.0,527038,659275,,ball,12.0,R,R,SD,SF,B,,,1.34,2.71,Edwin Moscoso,0.131,0.3400000000000001,0.79,out,in,w
