,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
92568,FF,20200905,92.8,2.89,5.56,132.0,596142,643316,,foul,1.0,R,L,BAL,NYY,S,,,-0.54,2.81,Jose Navas,-0.039
92569,FF,20200905,93.0,2.95,5.53,137.0,596142,643316,,called_strike,9.0,R,L,BAL,NYY,S,,,0.65,1.98,Jose Navas,-0.026
92570,FF,20200905,92.7,2.82,5.54,131.0,640449,643316,home_run,hit_into_play,9.0,R,L,BAL,NYY,X,,fly_ball,0.39,2.17,Jose Navas,0.934
92571,FF,20200905,92.9,3.02,5.62,137.0,640449,643316,,ball,14.0,R,L,BAL,NYY,B,,,1.57,2.34,Jose Navas,0.04
92572,SL,20200905,85.2,2.97,5.51,334.0,640449,643316,,ball,14.0,R,L,BAL,NYY,B,,,0.26,-0.03,Jose Navas,0.027
92573,CH,20200905,89.8,2.87,5.64,136.0,650402,643316,field_out,hit_into_play,9.0,R,L,BAL,NYY,X,6.0,ground_ball,0.39,1.88,Jose Navas,-0.241
92574,FF,20200905,91.8,2.69,5.62,133.0,650402,643316,,ball,11.0,R,L,BAL,NYY,B,,,-2.21,2.68,Jose Navas,0.032
92575,FF,20200905,92.1,2.93,5.68,145.0,650402,643316,,called_strike,9.0,R,L,BAL,NYY,S,,,0.46,1.85,Jose Navas,-0.042
92576,FF,20200905,91.5,-1.27,6.28,203.0,578428,664337,double_play,hit_into_play,14.0,R,R,BAL,NYY,X,8.0,line_drive,1.29,2.4,Jose Navas,-0.361
92577,CH,20200905,88.9,-1.19,6.05,223.0,578428,664337,,foul,9.0,R,R,BAL,NYY,S,,,0.36,1.8,Jose Navas,0.0
92578,FC,20200905,90.5,-1.23,6.32,207.0,578428,664337,,foul,1.0,R,R,BAL,NYY,S,,,-0.74,3.38,Jose Navas,0.0
92579,CU,20200905,79.5,-1.3,6.34,34.0,578428,664337,,ball,11.0,R,R,BAL,NYY,B,,,-1.1,3.71,Jose Navas,0.091
92580,FC,20200905,90.6,-1.3,6.34,201.0,578428,664337,,foul,14.0,R,R,BAL,NYY,S,,,1.55,1.98,Jose Navas,0.0
92581,FF,20200905,92.2,-1.13,6.34,210.0,578428,664337,,foul,9.0,R,R,BAL,NYY,S,,,0.64,1.93,Jose Navas,-0.115
92582,FF,20200905,92.2,-1.22,6.43,203.0,578428,664337,,called_strike,2.0,R,R,BAL,NYY,S,,,-0.09,2.93,Jose Navas,-0.078
92583,CU,20200905,81.8,-1.26,6.2,31.0,642082,664337,hit_by_pitch,hit_by_pitch,14.0,L,R,BAL,NYY,B,,,1.44,1.62,Jose Navas,0.502
92584,CH,20200905,88.5,-1.34,6.06,227.0,642082,664337,,swinging_strike,14.0,L,R,BAL,NYY,S,,,0.12,1.32,Jose Navas,-0.056
92585,FF,20200905,92.6,-1.08,6.31,209.0,642082,664337,,ball,12.0,L,R,BAL,NYY,B,,,0.83,4.14,Jose Navas,0.013
92586,CH,20200905,89.7,-1.29,6.09,227.0,642082,664337,,foul,9.0,L,R,BAL,NYY,S,,,0.58,1.93,Jose Navas,-0.044
92587,CU,20200905,82.1,-1.25,6.3,23.0,593643,664337,single,hit_into_play,14.0,R,R,BAL,NYY,X,1.0,ground_ball,1.59,1.84,Jose Navas,0.271
92588,FF,20200905,93.0,-1.06,6.46,202.0,593643,664337,,foul,12.0,R,R,BAL,NYY,S,,,0.39,3.75,Jose Navas,-0.033
92589,FC,20200905,91.5,-1.19,6.24,218.0,593643,664337,,ball,14.0,R,R,BAL,NYY,B,,,2.3,0.31,Jose Navas,0.027
92590,CH,20200905,89.7,-1.2,6.07,221.0,592863,664337,strikeout,swinging_strike,8.0,L,R,BAL,NYY,S,2.0,,-0.03,1.83,Jose Navas,-0.319
92591,CH,20200905,88.9,-1.28,6.17,225.0,592863,664337,,ball,14.0,L,R,BAL,NYY,B,,,0.9,0.87,Jose Navas,0.103
92592,CU,20200905,81.4,-1.08,6.28,25.0,592863,664337,,ball,14.0,L,R,BAL,NYY,B,,,1.8,0.44,Jose Navas,0.035
92593,FF,20200905,93.5,-1.02,6.39,208.0,592863,664337,,foul,3.0,L,R,BAL,NYY,S,,,0.55,3.23,Jose Navas,-0.06
92594,CH,20200905,89.6,-1.22,6.1,229.0,592863,664337,,foul,5.0,L,R,BAL,NYY,S,,,0.09,2.21,Jose Navas,-0.05
92595,CH,20200905,89.1,-1.11,6.17,226.0,592863,664337,,ball,14.0,L,R,BAL,NYY,B,,,0.97,0.29,Jose Navas,0.041
92596,FC,20200905,90.9,-1.08,6.4,207.0,621466,664337,home_run,hit_into_play,9.0,L,R,BAL,NYY,X,,fly_ball,0.54,1.89,Jose Navas,0.959
92597,CU,20200905,79.9,-1.18,6.35,26.0,621466,664337,,ball,13.0,L,R,BAL,NYY,B,,,-0.1,1.02,Jose Navas,0.041
92598,FF,20200905,91.8,2.88,5.75,131.0,572228,643316,force_out,hit_into_play,6.0,R,L,BAL,NYY,X,5.0,ground_ball,0.74,2.35,Jose Navas,-0.466
92599,SI,20200905,92.3,-1.13,5.66,230.0,543305,622253,walk,ball,13.0,L,R,BAL,NYY,B,,,-1.07,1.83,Jose Navas,0.116
92600,SL,20200905,85.0,-1.19,5.69,194.0,543305,622253,,ball,9.0,L,R,BAL,NYY,B,,,0.64,1.59,Jose Navas,0.082
92601,CH,20200905,83.1,-1.21,5.54,250.0,543305,622253,,swinging_strike,5.0,L,R,BAL,NYY,S,,,0.18,2.63,Jose Navas,-0.05
92602,SI,20200905,92.2,-1.27,5.65,229.0,543305,622253,,ball,13.0,L,R,BAL,NYY,B,,,-1.46,1.86,Jose Navas,0.044
92603,SI,20200905,91.9,-1.24,5.65,226.0,543305,622253,,ball,11.0,L,R,BAL,NYY,B,,,-1.54,3.71,Jose Navas,0.033
92604,FF,20200905,95.3,-0.97,6.0,228.0,642180,622253,hit_by_pitch,hit_by_pitch,12.0,L,R,BAL,NYY,B,,,2.28,3.6,Jose Navas,0.173
92605,SL,20200905,87.5,-1.89,5.68,216.0,642180,622253,,swinging_strike,14.0,L,R,BAL,NYY,S,,,0.12,1.04,Jose Navas,-0.029
92606,CH,20200905,84.1,-1.54,5.72,254.0,642180,622253,,ball,11.0,L,R,BAL,NYY,B,,,-1.95,3.3,Jose Navas,0.013
92607,FF,20200905,95.2,-1.26,5.79,229.0,642180,622253,,called_strike,5.0,L,R,BAL,NYY,S,,,-0.22,2.0,Jose Navas,-0.017
92608,SI,20200905,94.7,-1.98,5.61,228.0,642731,622253,strikeout,swinging_strike,7.0,R,R,BAL,NYY,S,2.0,,-0.33,1.52,Jose Navas,-0.208
92609,SI,20200905,94.9,-2.03,5.56,233.0,642731,622253,,foul,8.0,R,R,BAL,NYY,S,,,0.04,1.89,Jose Navas,0.0
92610,CH,20200905,85.1,-2.01,5.54,249.0,642731,622253,,ball,13.0,R,R,BAL,NYY,B,,,-1.07,0.95,Jose Navas,0.06
92611,SL,20200905,87.9,-1.95,5.76,189.0,642731,622253,,ball,14.0,R,R,BAL,NYY,B,,,1.35,1.76,Jose Navas,0.03
92612,SL,20200905,86.6,-2.01,5.82,171.0,642731,622253,,called_strike,9.0,R,R,BAL,NYY,S,,,0.59,1.62,Jose Navas,-0.044
92613,SL,20200905,85.4,-2.06,5.8,169.0,642731,622253,,foul,6.0,R,R,BAL,NYY,S,,,0.37,2.67,Jose Navas,-0.033
92614,SI,20200905,95.4,-1.85,5.62,233.0,642731,622253,,ball,14.0,R,R,BAL,NYY,B,,,0.98,1.45,Jose Navas,0.027
92615,CH,20200905,83.1,-1.96,5.6,247.0,543309,622253,strikeout,swinging_strike,13.0,R,R,BAL,NYY,S,2.0,,-1.16,1.9,Jose Navas,-0.215
92616,SI,20200905,93.2,-2.06,5.75,234.0,543309,622253,,foul,4.0,R,R,BAL,NYY,S,,,-0.71,2.2,Jose Navas,0.0
92617,SL,20200905,86.6,-1.95,5.79,185.0,543309,622253,,ball,14.0,R,R,BAL,NYY,B,,,2.25,0.38,Jose Navas,0.035
92618,SL,20200905,86.8,-1.93,5.82,170.0,543309,622253,,ball,14.0,R,R,BAL,NYY,B,,,1.37,1.2,Jose Navas,0.027
92619,SI,20200905,92.2,-1.74,5.83,226.0,543309,622253,,called_strike,8.0,R,R,BAL,NYY,S,,,-0.14,1.91,Jose Navas,-0.056
92620,FF,20200905,93.2,-1.89,5.76,235.0,543309,622253,,foul,2.0,R,R,BAL,NYY,S,,,-0.12,2.99,Jose Navas,-0.042
92621,KC,20200905,85.1,-1.79,5.81,38.0,642162,543037,field_out,hit_into_play,14.0,R,R,BAL,NYY,X,5.0,line_drive,0.36,1.28,Jose Navas,-0.25
92622,KC,20200905,85.2,-1.97,5.83,43.0,642162,543037,,foul,13.0,R,R,BAL,NYY,S,,,-0.18,1.34,Jose Navas,-0.075
92623,SL,20200905,88.7,-2.09,5.72,127.0,642162,543037,,foul,8.0,R,R,BAL,NYY,S,,,-0.01,1.99,Jose Navas,-0.048
92624,FF,20200905,98.8,-1.78,5.72,215.0,642162,543037,,ball,14.0,R,R,BAL,NYY,B,,,1.61,2.21,Jose Navas,0.04
92625,SL,20200905,92.2,-2.13,5.66,189.0,547004,543037,double,hit_into_play,6.0,L,R,BAL,NYY,X,,ground_ball,0.31,2.66,Jose Navas,1.698
92626,KC,20200905,84.7,-1.83,5.78,46.0,547004,543037,,blocked_ball,14.0,L,R,BAL,NYY,B,,,0.08,0.71,Jose Navas,0.008
92627,FF,20200905,98.4,-1.69,5.86,217.0,663624,543037,single,hit_into_play,12.0,R,R,BAL,NYY,X,8.0,line_drive,0.01,4.01,Jose Navas,1.842
92628,FF,20200905,97.6,-1.75,5.79,214.0,663624,543037,,swinging_strike,3.0,R,R,BAL,NYY,S,,,0.6,3.53,Jose Navas,-0.109
92629,KC,20200905,84.3,-1.79,5.89,39.0,663624,543037,,foul,7.0,R,R,BAL,NYY,S,,,-0.28,1.87,Jose Navas,-0.107
92630,FF,20200905,98.0,-1.65,5.74,213.0,600474,543037,walk,ball,14.0,R,R,BAL,NYY,B,,,1.7,1.84,Jose Navas,0.166
92631,FF,20200905,98.9,-1.74,5.9,220.0,600474,543037,,ball,12.0,R,R,BAL,NYY,B,,,1.77,3.02,Jose Navas,0.102
92632,KC,20200905,85.2,-1.78,5.78,42.0,600474,543037,,blocked_ball,14.0,R,R,BAL,NYY,B,,,0.58,0.7,Jose Navas,0.058
92633,FF,20200905,97.5,-1.76,5.76,210.0,600474,543037,,foul,6.0,R,R,BAL,NYY,S,,,0.75,2.24,Jose Navas,-0.103
92634,SL,20200905,90.0,-1.87,5.81,194.0,600474,543037,,ball,14.0,R,R,BAL,NYY,B,,,1.41,1.16,Jose Navas,0.055
92635,SL,20200905,89.2,-1.88,5.79,151.0,578428,543037,walk,ball,14.0,R,R,BAL,NYY,B,,,0.9,0.64,Jose Navas,0.116
92636,FF,20200905,95.6,-1.73,5.76,210.0,578428,543037,,called_strike,12.0,R,R,BAL,NYY,S,,,0.67,3.29,Jose Navas,-0.033
92637,KC,20200905,82.3,-1.68,5.99,42.0,578428,543037,,ball,11.0,R,R,BAL,NYY,B,,,-0.63,3.83,Jose Navas,0.064
92638,KC,20200905,82.4,-1.78,5.88,43.0,578428,543037,,ball,14.0,R,R,BAL,NYY,B,,,0.68,1.26,Jose Navas,0.044
92639,FF,20200905,96.1,-1.64,5.92,211.0,578428,543037,,ball,12.0,R,R,BAL,NYY,B,,,1.61,2.8,Jose Navas,0.033
92640,SL,20200905,91.2,-1.87,5.69,152.0,642082,543037,strikeout,swinging_strike,14.0,L,R,BAL,NYY,S,2.0,,1.51,0.96,Jose Navas,-0.206
92641,KC,20200905,85.2,-1.81,5.91,38.0,642082,543037,,swinging_strike,9.0,L,R,BAL,NYY,S,,,0.39,1.98,Jose Navas,-0.056
92642,FF,20200905,96.5,-1.87,5.83,221.0,642082,543037,,ball,11.0,L,R,BAL,NYY,B,,,-1.22,4.72,Jose Navas,0.013
92643,FF,20200905,96.6,-1.95,5.69,220.0,642082,543037,,swinging_strike,1.0,L,R,BAL,NYY,S,,,-0.73,3.35,Jose Navas,-0.044
92644,KC,20200905,82.9,-1.62,5.93,50.0,593643,543037,field_error,hit_into_play,14.0,R,R,BAL,NYY,X,5.0,ground_ball,0.94,0.83,Jose Navas,0.342
92645,SL,20200905,89.4,-1.68,5.9,153.0,593643,543037,,ball,14.0,R,R,BAL,NYY,B,,,2.04,1.75,Jose Navas,0.015
92646,FF,20200905,96.9,-1.7,5.79,214.0,593643,543037,,called_strike,9.0,R,R,BAL,NYY,S,,,0.68,1.81,Jose Navas,-0.039
92647,CH,20200905,88.5,-1.8,5.71,237.0,593643,543037,,foul,2.0,R,R,BAL,NYY,S,,,-0.21,2.96,Jose Navas,-0.026
92648,KC,20200905,86.0,-1.83,5.83,42.0,592863,543037,field_out,hit_into_play,9.0,L,R,BAL,NYY,X,4.0,ground_ball,0.41,1.57,Jose Navas,-0.319
92649,FF,20200905,96.6,-1.75,5.81,225.0,592863,543037,,foul,1.0,L,R,BAL,NYY,S,,,-0.55,3.24,Jose Navas,-0.094
92650,CH,20200905,89.8,-1.88,5.68,234.0,592863,543037,,ball,13.0,L,R,BAL,NYY,B,,,-1.42,1.89,Jose Navas,0.122
92651,FF,20200905,97.2,-1.97,5.63,219.0,592863,543037,,ball,11.0,L,R,BAL,NYY,B,,,-1.2,2.95,Jose Navas,0.051
92652,CH,20200905,89.1,-1.79,5.62,237.0,592863,543037,,foul,4.0,L,R,BAL,NYY,S,,,-0.68,2.31,Jose Navas,-0.05
92653,FF,20200905,95.4,-1.74,5.83,212.0,592863,543037,,ball,11.0,L,R,BAL,NYY,B,,,-1.3,3.52,Jose Navas,0.041
92654,FF,20200905,96.0,-1.67,5.87,222.0,621466,543037,home_run,hit_into_play,6.0,L,R,BAL,NYY,X,,fly_ball,0.47,2.47,Jose Navas,0.959
92655,KC,20200905,83.4,-1.75,6.01,42.0,621466,543037,,ball,14.0,L,R,BAL,NYY,B,,,0.99,0.89,Jose Navas,0.041
92656,SL,20200905,85.2,-1.87,5.74,200.0,543309,622253,other_out,blocked_ball,14.0,R,R,BAL,NYY,B,2.0,,2.29,-0.81,Jose Navas,-0.433
92657,SI,20200905,93.4,-1.95,5.8,233.0,543309,622253,,ball,11.0,R,R,BAL,NYY,B,,,-1.56,3.39,Jose Navas,0.06
92658,SI,20200905,92.8,-1.91,5.86,229.0,543309,622253,,ball,7.0,R,R,BAL,NYY,B,,,-0.59,1.51,Jose Navas,0.04
92659,SI,20200905,93.7,-1.88,5.73,228.0,609280,622253,field_out,hit_into_play,5.0,R,R,BAL,NYY,X,2.0,ground_ball,-0.07,2.17,Jose Navas,-0.329
92660,SI,20200905,93.3,-2.02,5.79,231.0,609280,622253,,called_strike,4.0,R,R,BAL,NYY,S,,,-0.71,2.47,Jose Navas,-0.062
92661,SI,20200905,91.4,-2.07,5.79,231.0,609280,622253,,ball,11.0,R,R,BAL,NYY,B,,,-2.58,2.89,Jose Navas,0.031
92662,FF,20200905,90.8,2.56,5.93,139.0,596142,669211,strikeout,swinging_strike,2.0,R,L,BAL,NYY,S,2.0,,0.07,3.3,Jose Navas,-0.336
92663,FF,20200905,91.7,2.69,6.01,145.0,596142,669211,,swinging_strike,12.0,R,L,BAL,NYY,S,,,0.92,3.29,Jose Navas,-0.095
92664,CH,20200905,81.0,2.64,5.64,116.0,596142,669211,,swinging_strike,7.0,R,L,BAL,NYY,S,,,-0.37,1.96,Jose Navas,-0.096
92665,FF,20200905,90.9,2.66,5.9,137.0,596142,669211,,ball,14.0,R,L,BAL,NYY,B,,,1.62,1.97,Jose Navas,0.108
92666,FF,20200905,91.4,2.55,6.0,138.0,596142,669211,,ball,11.0,R,L,BAL,NYY,B,,,-0.05,4.03,Jose Navas,0.039
92667,FF,20200905,90.6,2.51,5.86,136.0,640449,669211,single,hit_into_play,4.0,R,L,BAL,NYY,X,9.0,line_drive,-0.52,2.49,Jose Navas,0.407
92668,FF,20200905,91.3,2.49,5.95,140.0,640449,669211,,ball,11.0,R,L,BAL,NYY,B,,,-0.52,4.13,Jose Navas,0.032
92669,CH,20200905,81.2,2.78,5.6,117.0,640449,669211,,foul,8.0,R,L,BAL,NYY,S,,,0.06,1.51,Jose Navas,-0.042
92670,FF,20200905,97.1,-1.85,5.79,217.0,642162,543037,field_out,hit_into_play,11.0,R,R,BAL,NYY,X,7.0,fly_ball,-0.92,2.95,Jose Navas,-0.095
92671,KC,20200905,83.2,-1.59,5.97,38.0,642162,543037,,swinging_strike,14.0,R,R,BAL,NYY,S,,,1.12,1.16,Jose Navas,-0.017
92672,FF,20200905,97.6,-1.89,5.68,220.0,547004,543037,field_out,hit_into_play,5.0,L,R,BAL,NYY,X,6.0,popup,0.21,2.19,Jose Navas,-0.162
92673,CH,20200905,89.6,-1.74,5.64,234.0,547004,543037,,ball,13.0,L,R,BAL,NYY,B,,,-0.18,1.23,Jose Navas,0.02
92674,FF,20200905,96.7,-1.7,5.79,216.0,547004,543037,,foul,2.0,L,R,BAL,NYY,S,,,-0.16,2.98,Jose Navas,-0.026
92675,SL,20200905,88.7,-1.72,5.92,144.0,663624,543037,field_out,hit_into_play,3.0,R,R,BAL,NYY,X,4.0,ground_ball,0.6,3.42,Jose Navas,-0.153
92676,KC,20200905,83.1,-1.58,5.99,42.0,663624,543037,,swinging_strike,14.0,R,R,BAL,NYY,S,,,0.52,0.24,Jose Navas,-0.056
92677,FF,20200905,96.1,-1.79,5.76,218.0,663624,543037,,called_strike,5.0,R,R,BAL,NYY,S,,,-0.07,2.98,Jose Navas,-0.042
92678,FF,20200905,90.8,2.59,5.89,139.0,650402,669211,field_out,hit_into_play,5.0,R,L,BAL,NYY,X,9.0,line_drive,0.08,2.37,Jose Navas,-0.474
92679,FF,20200905,91.7,2.65,5.8,138.0,572228,669211,walk,blocked_ball,14.0,R,L,BAL,NYY,B,,,0.19,0.74,Jose Navas,0.116
92680,FF,20200905,91.9,2.44,5.89,141.0,572228,669211,,ball,13.0,R,L,BAL,NYY,B,,,-0.11,1.13,Jose Navas,0.082
92681,CH,20200905,81.5,2.66,5.6,122.0,572228,669211,,ball,13.0,R,L,BAL,NYY,B,,,-0.45,1.39,Jose Navas,0.046
92682,FF,20200905,92.2,2.55,5.93,137.0,572228,669211,,ball,11.0,R,L,BAL,NYY,B,,,-1.01,2.54,Jose Navas,0.023
92683,CU,20200905,77.0,2.68,5.62,318.0,572228,669211,,swinging_strike,14.0,R,L,BAL,NYY,S,,,0.29,1.44,Jose Navas,-0.041
92684,SL,20200905,81.3,2.7,5.61,311.0,543305,669211,walk,ball,13.0,R,L,BAL,NYY,B,,,-0.64,0.39,Jose Navas,0.116
92685,CU,20200905,76.2,2.65,5.65,318.0,543305,669211,,called_strike,2.0,R,L,BAL,NYY,S,,,-0.01,3.47,Jose Navas,-0.041
92686,FF,20200905,93.3,2.63,5.86,140.0,543305,669211,,called_strike,7.0,R,L,BAL,NYY,S,,,-0.43,2.14,Jose Navas,-0.023
92687,FF,20200905,91.4,2.53,5.92,139.0,543305,669211,,ball,11.0,R,L,BAL,NYY,B,,,-0.98,3.15,Jose Navas,0.042
92688,FF,20200905,92.0,2.55,5.9,137.0,543305,669211,,ball,14.0,R,L,BAL,NYY,B,,,1.13,2.21,Jose Navas,0.027
92689,CH,20200905,80.4,2.71,5.65,117.0,543305,669211,,ball,12.0,R,L,BAL,NYY,B,,,1.59,4.23,Jose Navas,0.018
92690,FF,20200905,91.0,2.54,5.91,141.0,642180,669211,field_out,hit_into_play,8.0,L,L,BAL,NYY,X,6.0,ground_ball,-0.14,1.88,Jose Navas,-0.195
92691,FF,20200905,90.8,2.57,5.91,141.0,642180,669211,,called_strike,4.0,L,L,BAL,NYY,S,,,-0.68,2.75,Jose Navas,-0.039
92692,SL,20200905,78.6,2.77,5.66,314.0,642180,669211,,ball,13.0,L,L,BAL,NYY,B,,,-1.7,1.61,Jose Navas,0.04
92693,SL,20200905,78.3,2.79,5.69,304.0,642180,669211,,ball,13.0,L,L,BAL,NYY,B,,,-0.93,1.73,Jose Navas,0.027
92694,CU,20200905,75.8,2.66,5.6,308.0,642731,669211,strikeout,swinging_strike,14.0,R,L,BAL,NYY,S,2.0,,0.78,1.13,Jose Navas,-0.18
92695,CH,20200905,80.0,2.76,5.55,123.0,642731,669211,,foul,12.0,R,L,BAL,NYY,S,,,1.21,2.88,Jose Navas,0.0
92696,FF,20200905,91.1,2.45,5.86,139.0,642731,669211,,called_strike,1.0,R,L,BAL,NYY,S,,,-0.64,2.77,Jose Navas,-0.06
92697,FF,20200905,90.4,2.57,5.88,139.0,642731,669211,,foul_tip,1.0,R,L,BAL,NYY,S,,,-0.39,2.93,Jose Navas,-0.05
92698,CH,20200905,79.4,2.85,5.6,118.0,642731,669211,,ball,14.0,R,L,BAL,NYY,B,,,1.45,1.91,Jose Navas,0.041
92699,KC,20200905,84.5,-1.72,5.92,43.0,600474,543037,strikeout,swinging_strike_blocked,13.0,R,R,BAL,NYY,S,2.0,,-0.09,0.89,Jose Navas,-0.263
92700,FF,20200905,97.0,-1.91,5.86,212.0,600474,543037,,ball,11.0,R,R,BAL,NYY,B,,,-0.74,5.02,Jose Navas,0.013
92701,KC,20200905,83.3,-1.79,5.95,43.0,600474,543037,,swinging_strike,2.0,R,R,BAL,NYY,S,,,-0.03,3.36,Jose Navas,-0.075
