,#,Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
0,1,KC,43122.0,-19,6,10,7,-1,11,-85,25,-47,6873,5468,.796,2102,-1,-35.4,6.5,6.2,33.8,34.4,80.9,3.2,101.9
1,2,STL,43104.0,-25,0,3,-3,9,-4,147,16,159,6559,5429,.828,1914,3,-19.9,6.7,4.2,65.3,13.6,89.8,3.8,101.8
2,3,OAK,43911.0,-4,-10,8,-6,0,-12,-6,23,-2,6800,5626,.827,1988,9,-0.1,2.4,-4.7,42.6,53.8,94.1,3.3,100.1
3,4,CLE,43551.0,35,10,1,3,4,4,2,19,77,6330,5225,.825,1845,19,25.3,22.8,6.1,18.5,34.5,81.9,4.6,90.9
4,5,COL,43419.0,-10,2,4,7,-18,14,119,21,140,6813,5527,.811,2027,6,-3.4,-4.0,6.5,11.2,39.2,52.9,1.7,58.9
5,6,MIL,43863.0,29,0,2,-4,-3,18,99,31,165,6016,4886,.812,1976,0,48.7,-0.9,0.4,83.6,-23.4,59.6,2.6,58.6
6,7,CHC,43644.0,-15,9,2,14,18,20,102,18,169,6602,5404,.819,1940,25,-29.9,11.4,13.9,-8.2,31.4,48.5,2.6,49.5
7,8,ARI,43773.0,27,-1,-3,7,-7,22,57,38,132,6444,5257,.816,2228,21,34.7,-5.3,-5.1,41.0,5.2,35.8,1.0,45.8
8,9,TB,44154.0,11,3,-2,7,19,3,73,41,143,6260,5066,.809,2174,21,-4.9,13.2,1.3,44.6,-23.1,36.0,2.3,35.0
9,10,LAA,43443.0,0,-1,-3,10,-32,-3,-58,35,-61,6531,5283,.809,1976,19,6.3,-9.5,5.2,14.0,23.8,33.4,0.8,32.4
10,11,TEX,43290.0,-16,1,-2,0,7,0,-8,17,-11,6975,5615,.805,2045,-10,-19.5,6.3,-1.4,32.4,1.9,39.2,1.6,32.2
11,12,BOS,43854.0,28,7,-2,-14,46,-2,-74,24,9,6288,5029,.800,1914,7,38.9,52.5,-4.7,-15.9,-3.4,28.5,3.5,29.5
12,13,MIA,43248.0,1,-11,5,8,-1,-22,25,25,45,6403,5207,.813,2079,-20,-4.8,14.4,8.7,5.6,-20.4,8.3,1.3,27.3
13,14,HOU,43977.0,6,-4,-1,-1,2,42,167,16,226,6015,4886,.812,2196,-2,13.3,-6.1,-5.0,8.0,15.7,12.6,0.1,12.6
14,15,ATL,43581.0,16,-3,-7,1,4,1,77,37,106,6359,5193,.817,2012,23,23.6,4.5,-1.6,-20.3,22.4,5.0,0.4,-8.0
15,16,NYY,43518.0,18,-3,3,-9,16,-7,-70,17,-62,6069,4861,.801,2008,-4,8.2,12.7,-6.6,-12.1,0.2,-5.7,0.4,-16.7
16,17,PHI,43335.0,-11,-2,9,-2,-4,-17,-95,6,-99,6430,5137,.799,1780,-34,20.5,-0.5,0.3,-43.6,1.5,-42.3,-1.6,-23.3
17,18,SF,44127.0,8,-6,-6,-14,-17,5,-15,34,1,6723,5453,.811,2051,20,3.8,-24.3,-12.0,22.0,-5.4,-19.7,-2.3,-23.7
18,19,SD,43554.0,23,0,-6,-6,-10,-10,48,9,42,6328,5166,.816,1935,9,16.6,-23.4,-5.8,-20.2,28.1,-21.3,-2.3,-24.3
19,20,MIN,43554.0,3,0,-11,-3,26,7,-53,30,-3,6423,5157,.803,2137,-9,6.4,4.2,-4.1,27.2,-52.6,-25.2,-1.2,-35.2
20,21,CIN,43356.0,-6,-1,-4,3,6,6,-27,16,-24,6341,5122,.808,1886,6,-15.7,-11.0,-4.5,-6.9,-7.3,-29.7,-2.0,-40.7
21,22,CHW,43020.0,-30,1,-4,14,9,-30,-67,26,-106,6313,5053,.800,2042,-19,-41.1,0.4,13.1,-16.9,-22.9,-26.3,-0.8,-44.3
22,23,LAD,44211.0,55,0,-1,-7,-1,5,110,39,175,6077,4926,.811,2105,2,32.2,-2.3,-10.7,28.0,-53.6,-38.7,-2.4,-47.7
23,24,DET,42933.0,-20,-2,0,-4,-26,-36,-190,47,-231,6740,5372,.797,2152,-18,-32.2,-29.0,-10.1,-8.0,-4.9,-51.9,-3.4,-51.9
24,25,WAS,43050.0,-33,0,-2,-8,2,13,-18,24,-12,6201,5034,.812,2025,5,-23.4,-7.6,-12.0,-35.6,5.9,-49.3,-2.7,-53.3
25,26,SEA,43605.0,-7,-2,2,12,4,-16,-39,17,-40,6834,5467,.800,2212,11,-6.8,-19.0,12.6,-37.3,-4.7,-48.4,-2.6,-53.4
26,27,PIT,43050.0,-12,-3,8,6,-1,-4,-50,22,-15,6506,5217,.802,1915,1,-6.9,-9.6,3.5,-50.2,-16.0,-72.3,-3.4,-62.3
27,28,TOR,43236.0,19,4,2,-10,5,0,-67,24,-45,6522,5235,.803,2001,-26,30.9,5.1,-0.2,-69.5,-0.6,-65.3,-2.3,-66.3
28,29,NYM,43329.0,-14,-4,-2,-2,8,-8,-39,32,-43,6227,4994,.802,1924,-30,-12.9,7.0,3.0,-71.7,2.9,-58.9,-2.0,-77.9
29,30,BAL,43152.0,-56,7,3,-10,-19,-25,-86,17,-155,6746,5464,.810,2160,-28,-58.8,-17.7,3.8,-61.5,-15.4,-90.8,-4.2,-86.8
