,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
0,LAD,347,200,163,2534,547,4912.1,9.53,2.65,1.08,.270,75.8%,45.0%,13.1%,93.5,3.25,,3.64,3.74,80.1,.304,1.38,21.9%,45.3%,32.9%,8.0%,15.6%,2629,4.90,29576,50709,80285,39.8%,35.2%,25.0%,15.8%,47.8%,36.4%,243.6,166.5,49.1,52.4,51.5,6.3,,0.60,1.19,0.92,0.49,0.76,0.80,
1,HOU,334,212,143,2253,546,4886.1,9.84,3.04,1.18,.277,75.9%,44.1%,14.0%,94.1,3.61,,3.84,3.83,76.0,.291,1.38,21.9%,45.2%,32.9%,8.4%,14.7%,2545,4.72,30175,51191,81366,40.1%,35.2%,24.8%,17.2%,49.8%,33.0%,153.2,144.8,45.7,44.9,7.9,10.4,,0.40,0.90,0.65,0.66,0.09,0.50,
2,NYY,328,218,160,2285,546,4835.1,9.80,3.09,1.31,.292,74.0%,42.5%,14.4%,94.6,3.99,,4.04,3.99,70.5,.280,1.32,22.0%,44.4%,33.5%,9.8%,12.2%,2469,4.64,29425,50265,79690,40.3%,34.6%,25.1%,17.1%,47.2%,35.7%,126.8,136.2,24.0,68.2,48.4,3.1,,0.32,0.93,0.41,0.57,0.60,1.23,
3,TBR,326,220,163,2452,546,4906.0,9.30,2.86,1.10,.284,74.0%,43.4%,12.6%,94.1,3.68,,3.78,3.94,67.6,.304,1.32,21.2%,44.8%,34.0%,10.2%,15.4%,2491,4.66,28618,51751,80369,39.8%,35.6%,24.6%,18.4%,48.4%,33.2%,93.3,144.6,19.8,-5.0,-4.0,-8.0,-0.3,0.22,0.98,0.35,-0.05,-0.06,-1.04,-1.33
4,CLE,299,247,142,2292,546,4839.0,9.42,2.86,1.29,.290,75.3%,41.5%,13.9%,93.4,3.89,,4.03,4.03,64.2,.270,1.30,20.4%,45.0%,34.6%,11.1%,13.1%,2869,5.26,26424,51656,78080,40.5%,34.7%,24.8%,19.0%,47.3%,33.8%,75.5,71.6,28.8,13.8,56.1,-6.2,-1.7,0.16,0.59,0.56,0.17,0.56,-0.58,-8.25
5,MIL,309,238,157,2416,547,4873.2,9.52,3.41,1.17,.284,73.7%,43.6%,14.0%,93.2,3.91,,4.04,4.04,59.6,.288,1.29,22.0%,44.0%,34.0%,9.6%,13.3%,2752,5.11,29514,51018,80532,40.2%,35.0%,24.8%,17.4%,47.7%,34.9%,72.1,88.0,-5.2,-2.5,17.3,17.4,,0.17,0.56,-0.13,-0.03,0.18,0.96,
6,NYM,266,280,131,2289,546,4814.1,9.33,3.14,1.23,.298,72.7%,42.6%,13.6%,94.5,4.18,,4.08,4.13,59.1,.293,1.29,21.4%,44.2%,34.4%,10.1%,15.6%,2426,4.53,30067,51415,81482,40.2%,35.0%,24.8%,17.4%,47.5%,35.2%,51.9,58.4,26.7,11.4,65.3,10.1,,0.12,0.45,0.49,0.21,0.73,0.59,
7,CHW,262,283,123,2370,545,4780.0,8.82,3.65,1.29,.291,71.8%,42.0%,13.5%,94.5,4.42,,4.44,4.50,56.5,.284,1.25,21.7%,43.6%,34.7%,10.4%,14.0%,2508,4.63,30220,52026,82246,39.5%,35.4%,25.1%,18.3%,46.9%,34.8%,33.1,72.0,44.7,14.6,2.1,18.2,,0.08,0.50,0.80,0.14,0.03,1.34,
8,OAK,316,230,145,2356,546,4879.0,8.07,2.87,1.19,.280,74.3%,41.7%,12.2%,93.0,3.92,,4.19,4.44,55.0,.286,1.25,21.7%,43.5%,34.8%,9.6%,12.4%,2384,4.38,28567,51524,80091,38.9%,35.4%,25.6%,16.6%,47.5%,35.9%,9.2,81.4,-0.1,-2.1,26.2,-8.6,0.1,0.02,0.55,0.00,-0.03,0.26,-0.62,2.35
9,CIN,256,290,134,2372,546,4817.1,9.25,3.55,1.34,.293,72.6%,44.2%,15.6%,94.3,4.36,,4.36,4.16,54.6,.277,1.25,20.5%,44.1%,35.4%,10.0%,14.0%,2859,5.27,29086,51181,80267,40.4%,35.0%,24.6%,18.0%,49.4%,32.6%,-0.8,99.7,-11.2,29.2,39.7,-6.3,-1.8,0.00,0.61,-0.22,0.33,0.46,-0.27,-10.84
