Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,36,36,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,73,0,2,0,0,5,0,0.456,100,199,22
Platoon Splits,vs RHP,32,,99,83,20,30,7,1,8,16,0,0,15,29,0.361,0.465,0.759,1.224,63,0,1,0,0,2,0,0.478,121,233,14
Platoon Splits,vs LHP,24,,47,34,3,9,1,0,0,2,2,0,12,12,0.265,0.468,0.294,0.762,10,0,1,0,0,3,0,0.409,48,117,8
Platoon Splits,vs RHP as RHB,32,,99,83,,30,7,1,8,16,0,0,15,29,0.361,0.465,0.759,1.224,63,0,1,0,0,2,0,0.478,121,239,14
Platoon Splits,vs LHP as RHB,24,,47,34,,9,1,0,0,2,0,0,12,12,0.265,0.468,0.294,0.762,10,0,1,0,0,3,0,0.409,48,110,8
Platoon Splits,vs RH Starter,26,26,111,92,19,31,7,0,7,13,1,0,17,32,0.337,0.45,0.641,1.092,59,0,2,0,0,4,0,0.453,99,199,17
Platoon Splits,vs LH Starter,10,10,35,25,4,8,1,1,1,5,1,0,10,9,0.32,0.514,0.56,1.074,14,0,0,0,0,1,0,0.467,100,196,5
Home or Away,Home,18,18,70,54,11,18,2,1,5,11,1,0,15,24,0.333,0.486,0.685,1.171,37,0,1,0,0,3,0,0.52,114,214,10
Home or Away,Away,18,18,76,63,12,21,6,0,3,7,1,0,12,17,0.333,0.447,0.571,1.019,36,0,1,0,0,2,0,0.419,87,186,12
First or Second Half,1st Half,36,36,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,73,0,2,0,0,5,0,0.456,100,202,22
Months,April/March,21,21,88,73,18,31,8,0,6,14,0,0,14,23,0.425,0.523,0.781,1.304,57,0,1,0,0,3,0,0.568,137,270,17
Months,May,15,15,58,44,5,8,0,1,2,4,2,0,13,18,0.182,0.379,0.364,0.743,16,0,1,0,0,2,0,0.25,40,112,5
Game Outcome for Team,in Wins,17,17,74,58,16,24,4,1,5,13,2,0,16,18,0.414,0.541,0.776,1.316,45,0,0,0,0,4,0,0.543,141,210,14
Game Outcome for Team,in Losses,19,19,72,59,7,15,4,0,3,5,0,0,11,23,0.254,0.389,0.475,0.863,28,0,2,0,0,1,0,0.364,60,185,8
Starter or Substitute,as Starter,36,36,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,73,0,2,0,0,5,0,0.456,100,197,22
Defensive Positions,as CF,36,,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,73,0,2,0,0,5,0,0.456,100,201,22
Leading Off Inning,Leadoff Inn.,19,,27,22,,5,3,0,1,1,,,4,9,0.227,0.37,0.5,0.87,11,0,1,0,0,0,0,0.333,60,136,1
Batting Order Positions,Batting 2nd,1,1,5,4,1,1,0,0,0,0,0,0,1,2,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.5,26,76,1
Batting Order Positions,Batting 3rd,35,35,141,113,22,38,8,1,8,18,2,0,26,39,0.336,0.468,0.637,1.105,72,0,2,0,0,5,0,0.455,103,174,21
Swung or Took First Pitch of PA,Swung at 1st Pitch,24,,35,30,,12,3,0,3,5,,,4,7,0.4,0.486,0.8,1.286,24,0,1,0,0,0,0,0.45,133,251,6
Swung or Took First Pitch of PA,Took 1st Pitch,36,,111,87,,27,5,1,5,13,,,23,34,0.31,0.459,0.563,1.023,49,0,1,0,0,5,0,0.458,89,181,16
Count/Balls-Strikes,First Pitch,9,,12,12,5,7,3,0,2,3,0,0,0,0,0.583,0.583,1.333,1.917,16,0,0,0,0,0,0,0.5,239,294,2
Count/Balls-Strikes,1-0 Count,7,,7,7,,3,1,0,0,1,0,0,0,0,0.429,0.429,0.571,1.0,4,0,0,0,0,0,0,0.429,84,127,2
Count/Balls-Strikes,2-0 Count,3,,3,3,1,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2,0,0,0,0,0,0,0.667,150,189,2
Count/Balls-Strikes,3-0 Count,8,,8,0,,0,0,0,0,0,0,0,8,0,,1.0,,,0,0,0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,5,,6,6,1,4,2,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,6,0,0,0,0,0,0,0.667,203,300,2
Count/Balls-Strikes,1-1 Count,9,,10,10,2,5,2,0,0,2,1,0,0,0,0.5,0.5,0.7,1.2,7,0,0,0,0,0,0,0.5,120,169,3
Count/Balls-Strikes,2-1 Count,5,,5,5,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,-25,-8,1
Count/Balls-Strikes,3-1 Count,12,,13,4,2,3,0,0,1,3,0,0,9,0,0.75,0.923,1.5,2.423,6,0,0,0,0,0,0,0.667,339,252,2
Count/Balls-Strikes,0-2 Count,11,,11,11,1,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,14,,16,15,1,2,0,0,0,0,0,0,0,7,0.133,0.188,0.133,0.321,2,0,1,0,0,0,0,0.25,-38,69,2
Count/Balls-Strikes,2-2 Count,19,,25,25,8,8,0,0,4,7,0,0,0,14,0.32,0.32,0.8,1.12,20,0,0,0,0,0,0,0.571,97,364,4
Count/Balls-Strikes,Full Count,22,,30,19,1,4,0,1,1,2,1,0,10,11,0.211,0.5,0.474,0.974,9,0,1,0,0,1,0,0.429,83,144,2
Count/Balls-Strikes,After 1-0,34,,64,43,,18,2,1,4,8,,,20,11,0.419,0.609,0.791,1.4,34,0,1,0,0,4,0,0.5,157,240,11
Count/Balls-Strikes,After 2-0,23,,29,14,,7,0,0,2,2,,,15,3,0.5,0.759,0.929,1.687,13,0,0,0,0,4,0,0.556,212,245,5
Count/Balls-Strikes,After 3-0,14,,15,4,,3,0,0,1,1,,,11,0,0.75,0.933,1.5,2.433,6,0,0,0,0,4,0,0.667,341,344,2
