,Date,Visitor,Home,Result,Score,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,Apr 5,NYY,BAL,L,0-7,8.0,7,7,7,0,7,10,2,0,3.09,38,153,83,6.0,3.0,0,0,31,0,0,0,0,0,0,0,4,Sam Holbrook,"J.Lopez (99-44-L), S.Armstrong (99), P.Fry (99), M.Sceroler (99)"
1,Apr 6,NYY,BAL,L,2-7,8.0,11,7,7,0,5,6,2,0,3.98,39,158,97,3.0,2.0,0,0,34,3,0,0,0,0,0,1,4,Marty Foster,"D.Kremer (99-38-L), A.Plutko (2), T.Wells (1), W.LeBlanc (99)"
2,Apr 7,NYY,BAL,W,4-3,11.0,13,3,2,1,2,10,0,0,3.5,46,189,122,4.0,0.0,0,0,43,2,0,0,1,0,0,1,6,Jim Wolf,"J.Means (4-48), D.Tate (3), T.Scott (4-H), S.Armstrong (1-BSv), C.Valdez (3-W), P.Fry (1-Sv)"
3,Apr 26,BAL,NYY,W,4-2,9.0,4,2,2,0,7,7,0,0,3.99,35,127,73,3.0,1.0,0,0,28,2,0,0,0,0,0,2,4,Will Little,"M.Harvey (5-64-W), T.Lakins (2-H), T.Scott (1-H), C.Valdez (5-Sv)"
4,Apr 27,BAL,NYY,L,1-5,9.0,12,5,5,0,3,7,3,0,4.04,39,141,93,3.0,1.0,0,1,35,2,0,0,0,1,0,1,4,Greg Gibson,"B.Zimmermann (5-29-L), D.Tate (2), C.Sulser (3), J.Flaa (99)"
5,Apr 28,BAL,NYY,L,0-7,9.0,12,7,7,0,1,7,3,0,4.16,39,149,95,2.0,1.0,0,0,37,2,0,0,0,1,0,1,4,Junior Valentine,"D.Kremer (10-23-L), S.Armstrong (3), T.Wells (3), T.Scott (1)"
6,Apr 29,BAL,NYY,W,4-3,10.0,8,3,3,0,7,10,0,1,4.1,44,177,109,3.0,2.0,0,0,36,1,0,1,0,0,0,2,6,Rob Drake,"J.Lopez (5-47), A.Plutko (3), T.Lakins (2), P.Fry (3), C.Valdez (2-BSv), T.Scott (0-W)"
7,May 14,BAL,NYY,L,4-5,9.0,7,5,5,0,2,9,3,0,4.14,35,152,98,2.0,2.0,0,0,33,0,0,0,0,0,0,1,5,Alfonso Marquez,"D.Kremer (4-53), A.Plutko (2-H), C.Sulser (4-H), T.Lakins (3-BL), T.Scott (2)"
8,May 15,BAL,NYY,L,2-8,9.0,13,8,7,1,3,11,1,1,4.21,42,190,135,3.0,3.0,0,1,38,0,0,0,0,0,0,1,4,Roberto Ortiz,"J.Lopez (4-28-L), K.Akin (2), T.Wells (2), S.Armstrong (2)"
9,May 16,BAL,NYY,W,10-6,9.0,10,6,6,0,3,10,3,0,4.26,38,147,96,3.0,0.0,0,0,35,0,0,0,0,0,0,2,5,Tim Timmons,"A.Plutko (1-28), B.Zimmermann (13-W), T.Scott (1-H), P.Fry (5-H), C.Valdez (4)"
10,Aug 2,NYY,BAL,W,7-1,9.0,3,1,1,0,7,5,0,1,5.39,37,152,85,1.0,0.0,0,0,28,1,0,0,0,1,0,1,4,Mark Ripperger,"J.Lopez (4-65-W), C.Valdez (4), P.Fry (1), D.Tate (1)"
11,Aug 3,NYY,BAL,L,1-13,8.0,15,13,13,0,0,5,2,1,5.47,40,164,103,2.0,1.0,0,0,38,5,0,0,0,1,0,0,4,,"A.Wells (4-21-L), A.Plutko (4), K.Akin (1), S.Anderson (1)"
12,Aug 4,NYY,BAL,L,3-10,8.0,12,10,10,0,5,4,1,0,5.52,40,152,99,3.0,3.0,0,0,35,4,0,0,0,0,0,1,6,Tom Hallion,"M.Harvey (4-47), C.Valdez (1), C.Sulser (3-L), P.Fry (1), D.Tate (1), D.Knight (99)"
13,Sep 3,NYY,BAL,L,3-4,10.0,6,4,2,2,3,12,1,0,5.81,40,179,109,1.0,0.0,0,0,36,2,0,0,0,1,1,0,6,John Libka,"J.Means (5-56), C.Greene (1), J.Lopez (1), T.Wells (2), C.Sulser (2), D.Tate (1-L)"
14,Sep 4,NYY,BAL,W,4-3,9.0,4,3,2,1,4,7,1,0,5.78,35,159,95,3.0,2.0,0,0,31,1,0,0,0,0,1,1,5,Mike Estabrook,"C.Ellis (4-64), T.Scott (2-H), M.Diplan (2-H), J.Lopez (0-BSv), C.Sulser (0-W)"
15,Sep 5,NYY,BAL,W,8-7,9.0,7,7,7,0,6,8,2,1,5.79,41,175,103,4.0,2.0,0,0,34,0,0,0,0,0,0,0,6,,"K.Akin (4-43), C.Greene (1), F.Abad (7), M.Diplan (0-W), T.Scott (0-H), T.Wells (1-Sv)"
16,Sep 14,BAL,NYY,L,2-7,9.0,13,7,7,0,3,4,5,1,5.94,41,166,106,0.0,0.0,1,0,37,0,0,0,0,0,0,3,4,Tim Timmons,"A.Wells (6-30-L), E.Hanhold (1), M.Diplan (2), S.Watkins (1)"
17,Sep 15,BAL,NYY,L,3-4,9.0,7,4,4,0,3,6,1,0,5.93,38,156,101,3.0,0.0,2,0,35,1,0,0,0,0,0,0,5,Ryan Additon,"J.Means (5-55), C.Greene (2), C.Sulser (4), T.Wells (3-BL), D.Tate (3)"
18,Sep 16,BAL,NYY,W,3-2,10.0,7,2,2,0,6,8,1,0,5.89,41,175,110,1.0,0.0,0,1,35,2,0,1,0,0,0,1,5,Carlos Torres,"C.Ellis (5-49), F.Abad (3), D.Tate (0), C.Greene (0), C.Sulser (0-W)"
