,Date,Visitor,Home,Result,Score,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
0,Apr 5,NYY,BAL,L,0-7,33,31,0,4,0,0,0,0,2,0,13,0,0,0,0,0,1,0,0.266,0.325,0.329,0.654,6,9,L,J.Montgomery(71)
1,Apr 6,NYY,BAL,L,2-7,34,34,2,7,2,0,1,2,0,0,14,0,0,0,0,0,1,0,0.254,0.304,0.333,0.637,5,9,R,G.Cole(82)
2,Apr 7,NYY,BAL,W,4-3,40,37,4,4,0,0,2,3,2,0,17,0,1,0,1,0,0,0,0.229,0.278,0.322,0.601,3,12,R,J.Taillon(57)
3,Apr 26,BAL,NYY,W,4-2,35,31,4,8,4,0,2,3,3,0,7,1,0,0,0,1,0,0,0.228,0.287,0.378,0.665,7,11,R,D.Garcia(49)
4,Apr 27,BAL,NYY,L,1-5,37,33,1,7,1,0,0,1,3,0,8,1,0,0,0,1,0,0,0.227,0.287,0.373,0.66,9,10,R,C.Kluber(61)
5,Apr 28,BAL,NYY,L,0-7,31,30,0,4,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.224,0.283,0.364,0.646,4,10,R,D.German(76)
6,Apr 29,BAL,NYY,W,4-3,37,32,4,7,1,0,1,4,2,0,8,0,2,1,0,1,0,0,0.224,0.282,0.363,0.645,4,9,L,J.Montgomery(47)
7,May 14,BAL,NYY,L,4-5,35,33,4,9,3,0,1,4,2,0,7,0,0,0,0,1,1,1,0.23,0.292,0.374,0.666,4,10,R,C.Kluber(46)
8,May 15,BAL,NYY,L,2-8,33,31,2,7,1,0,0,2,2,0,7,0,0,0,0,3,0,0,0.23,0.292,0.371,0.663,4,12,R,D.German(64)
9,May 16,BAL,NYY,W,10-6,41,34,10,11,5,0,1,10,6,0,5,0,0,1,0,0,1,0,0.233,0.295,0.376,0.671,7,9,L,J.Montgomery(29)
10,Aug 2,NYY,BAL,W,7-1,38,34,7,11,3,0,4,6,1,0,8,1,0,2,0,2,2,0,0.237,0.302,0.399,0.701,4,10,L,A.Heaney(38)
11,Aug 3,NYY,BAL,L,1-13,36,33,1,7,2,0,0,1,2,0,9,1,0,0,0,1,0,0,0.237,0.302,0.397,0.699,8,11,R,L.Gil(69)
12,Aug 4,NYY,BAL,L,3-10,32,30,3,6,0,0,1,3,1,0,13,0,0,1,0,1,1,0,0.236,0.301,0.397,0.698,2,9,R,J.Taillon(64)
13,Sep 3,NYY,BAL,L,3-4,44,39,3,8,1,0,2,3,5,1,14,0,0,0,0,1,0,0,0.239,0.303,0.403,0.706,8,13,L,N.Cortes(62)
14,Sep 4,NYY,BAL,W,4-3,43,38,4,11,3,0,0,3,4,0,13,0,0,1,0,0,0,0,0.24,0.303,0.403,0.706,12,10,L,J.Montgomery(51)
15,Sep 5,NYY,BAL,W,8-7,44,36,8,11,2,0,2,8,5,0,10,2,0,1,0,0,1,1,0.24,0.304,0.404,0.708,9,10,R,C.Kluber(47)
16,Sep 14,BAL,NYY,L,2-7,38,33,2,6,2,0,0,2,5,0,12,0,0,0,0,1,0,0,0.24,0.305,0.407,0.712,9,11,R,G.Cole(59)
17,Sep 15,BAL,NYY,L,3-4,35,33,3,6,1,0,2,3,2,0,16,0,0,0,0,0,0,0,0.24,0.304,0.407,0.711,5,10,L,N.Cortes(72)
18,Sep 16,BAL,NYY,W,3-2,39,37,3,10,0,0,1,2,2,1,17,0,0,0,0,0,0,1,0.24,0.304,0.406,0.711,8,12,L,J.Montgomery(64)
